zone_code,zone_name,region,season_system,month,is_harvest_season,is_lean_season,is_dry_season,months_since_harvest_start,months_since_lean_start
ET0508,Afder,Somali,somali_gu_deyr,1,True,False,False,0,8
ET0508,Afder,Somali,somali_gu_deyr,2,False,True,False,1,0
ET0508,Afder,Somali,somali_gu_deyr,3,False,True,False,2,1
ET0508,Afder,Somali,somali_gu_deyr,4,False,True,False,3,2
ET0508,Afder,Somali,somali_gu_deyr,5,False,True,False,4,0
ET0508,Afder,Somali,somali_gu_deyr,6,False,True,False,5,1
ET0508,Afder,Somali,somali_gu_deyr,7,True,False,False,0,2
ET0508,Afder,Somali,somali_gu_deyr,8,False,False,True,1,3
ET0508,Afder,Somali,somali_gu_deyr,9,False,False,True,2,4
ET0508,Afder,Somali,somali_gu_deyr,10,False,False,True,3,5
ET0508,Afder,Somali,somali_gu_deyr,11,False,False,True,4,6
ET0508,Afder,Somali,somali_gu_deyr,12,False,False,True,5,7
ET1202,Agnewak,Gambela,national_belg_meher,1,True,False,False,3,9
ET1202,Agnewak,Gambela,national_belg_meher,2,False,False,True,4,10
ET1202,Agnewak,Gambela,national_belg_meher,3,False,False,True,5,11
ET1202,Agnewak,Gambela,national_belg_meher,4,False,True,False,6,0
ET1202,Agnewak,Gambela,national_belg_meher,5,False,True,False,7,1
ET1202,Agnewak,Gambela,national_belg_meher,6,False,True,False,8,2
ET1202,Agnewak,Gambela,national_belg_meher,7,True,False,False,0,3
ET1202,Agnewak,Gambela,national_belg_meher,8,True,False,False,1,4
ET1202,Agnewak,Gambela,national_belg_meher,9,False,False,True,2,5
ET1202,Agnewak,Gambela,national_belg_meher,10,True,False,False,0,6
ET1202,Agnewak,Gambela,national_belg_meher,11,True,False,False,1,7
ET1202,Agnewak,Gambela,national_belg_meher,12,True,False,False,2,8
ET0712,Alle,SNNP,national_belg_meher,1,True,False,False,3,9
ET0712,Alle,SNNP,national_belg_meher,2,False,False,True,4,10
ET0712,Alle,SNNP,national_belg_meher,3,False,False,True,5,11
ET0712,Alle,SNNP,national_belg_meher,4,False,True,False,6,0
ET0712,Alle,SNNP,national_belg_meher,5,False,True,False,7,1
ET0712,Alle,SNNP,national_belg_meher,6,False,True,False,8,2
ET0712,Alle,SNNP,national_belg_meher,7,True,False,False,0,3
ET0712,Alle,SNNP,national_belg_meher,8,True,False,False,1,4
ET0712,Alle,SNNP,national_belg_meher,9,False,False,True,2,5
ET0712,Alle,SNNP,national_belg_meher,10,True,False,False,0,6
ET0712,Alle,SNNP,national_belg_meher,11,True,False,False,1,7
ET0712,Alle,SNNP,national_belg_meher,12,True,False,False,2,8
ET0721,Amaro,SNNP,national_belg_meher,1,True,False,False,3,9
ET0721,Amaro,SNNP,national_belg_meher,2,False,False,True,4,10
ET0721,Amaro,SNNP,national_belg_meher,3,False,False,True,5,11
ET0721,Amaro,SNNP,national_belg_meher,4,False,True,False,6,0
ET0721,Amaro,SNNP,national_belg_meher,5,False,True,False,7,1
ET0721,Amaro,SNNP,national_belg_meher,6,False,True,False,8,2
ET0721,Amaro,SNNP,national_belg_meher,7,True,False,False,0,3
ET0721,Amaro,SNNP,national_belg_meher,8,True,False,False,1,4
ET0721,Amaro,SNNP,national_belg_meher,9,False,False,True,2,5
ET0721,Amaro,SNNP,national_belg_meher,10,True,False,False,0,6
ET0721,Amaro,SNNP,national_belg_meher,11,True,False,False,1,7
ET0721,Amaro,SNNP,national_belg_meher,12,True,False,False,2,8
ET0408,Arsi,Oromia,national_belg_meher,1,True,False,False,3,9
ET0408,Arsi,Oromia,national_belg_meher,2,False,False,True,4,10
ET0408,Arsi,Oromia,national_belg_meher,3,False,False,True,5,11
ET0408,Arsi,Oromia,national_belg_meher,4,False,True,False,6,0
ET0408,Arsi,Oromia,national_belg_meher,5,False,True,False,7,1
ET0408,Arsi,Oromia,national_belg_meher,6,False,True,False,8,2
ET0408,Arsi,Oromia,national_belg_meher,7,True,False,False,0,3
ET0408,Arsi,Oromia,national_belg_meher,8,True,False,False,1,4
ET0408,Arsi,Oromia,national_belg_meher,9,False,False,True,2,5
ET0408,Arsi,Oromia,national_belg_meher,10,True,False,False,0,6
ET0408,Arsi,Oromia,national_belg_meher,11,True,False,False,1,7
ET0408,Arsi,Oromia,national_belg_meher,12,True,False,False,2,8
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,1,True,False,False,3,7
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,2,False,False,True,4,8
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,3,False,False,True,5,9
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,4,False,False,True,6,10
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,5,False,False,True,7,11
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,6,False,True,False,8,0
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,7,False,True,False,9,1
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,8,False,True,False,10,2
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,9,False,True,False,11,3
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,10,True,False,False,0,4
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,11,True,False,False,1,5
ET0603,Asosa,Benishangul Gumz,benishangul_meher_only,12,True,False,False,2,6
ET0309,Awi,Amhara,national_belg_meher,1,True,False,False,3,9
ET0309,Awi,Amhara,national_belg_meher,2,False,False,True,4,10
ET0309,Awi,Amhara,national_belg_meher,3,False,False,True,5,11
ET0309,Awi,Amhara,national_belg_meher,4,False,True,False,6,0
ET0309,Awi,Amhara,national_belg_meher,5,False,True,False,7,1
ET0309,Awi,Amhara,national_belg_meher,6,False,True,False,8,2
ET0309,Awi,Amhara,national_belg_meher,7,True,False,False,0,3
ET0309,Awi,Amhara,national_belg_meher,8,True,False,False,1,4
