year,country_of_origin,country_of_origin_iso3,refugees,asylum_seekers,idps
2008,Burundi,BDI,54,61,0
2008,Cameroon,CMR,0,12,0
2008,Dem. Rep. of the Congo,COD,225,128,0
2008,Djibouti,DJI,52,0,0
2008,Eritrea,ERI,21018,714,0
2008,Kenya,KEN,2645,0,0
2008,Rwanda,RWA,7,5,0
2008,Sudan,SDN,25913,10,0
2008,Somalia,SOM,33625,710,0
2008,Uganda,UGA,34,7,0
2008,Yemen,YEM,0,9,0
2009,Burundi,BDI,78,22,0
2009,Dem. Rep. of the Congo,COD,295,146,0
2009,Congo,COG,0,5,0
2009,Djibouti,DJI,64,14,0
2009,Eritrea,ERI,36164,465,0
2009,Kenya,KEN,2732,1446,0
2009,Rwanda,RWA,10,0,0
2009,Sudan,SDN,23516,120,0
2009,Somalia,SOM,58980,217,0
2009,Uganda,UGA,32,6,0
2009,Yemen,YEM,9,0,0
2010,Burundi,BDI,79,14,0
2010,Dem. Rep. of the Congo,COD,383,108,0
2010,Congo,COG,5,0,0
2010,Djibouti,DJI,62,10,0
2010,Eritrea,ERI,44791,143,0
2010,Kenya,KEN,2425,335,0
2010,Rwanda,RWA,12,7,0
2010,Sudan,SDN,25238,100,0
2010,Somalia,SOM,81247,297,0
2010,Uganda,UGA,34,0,0
2010,Yemen,YEM,12,0,0
2011,Burundi,BDI,64,12,0
2011,Cote d'Ivoire,CIV,5,0,0
2011,Dem. Rep. of the Congo,COD,534,30,0
2011,Djibouti,DJI,70,0,0
2011,Eritrea,ERI,54896,50,0
2011,Kenya,KEN,2454,303,0
2011,Liberia,LBR,0,5,0
2011,Rwanda,RWA,13,7,0
2011,Sudan,SDN,45286,728,0
2011,Somalia,SOM,185466,138,0
2011,Uganda,UGA,29,0,0
2011,Yemen,YEM,22,67,0
2012,Burundi,BDI,66,12,0
2012,Cote d'Ivoire,CIV,5,0,0
2012,Dem. Rep. of the Congo,COD,582,149,0
2012,Djibouti,DJI,74,0,0
2012,Eritrea,ERI,63771,52,0
2012,Ethiopia,ETH,0,0,0
2012,Kenya,KEN,2894,0,0
2012,Liberia,LBR,0,5,0
2012,Rwanda,RWA,12,6,0
2012,Sudan,SDN,27175,271,0
2012,Somalia,SOM,223031,212,0
2012,South Sudan,SSD,58715,21,0
2012,Uganda,UGA,20,0,0
2012,Yemen,YEM,43,109,0
2013,Burundi,BDI,59,21,0
2013,Cote d'Ivoire,CIV,5,0,0
2013,Dem. Rep. of the Congo,COD,516,466,0
2013,Congo,COG,0,5,0
2013,Djibouti,DJI,75,0,0
2013,Eritrea,ERI,84377,9,0
2013,Ethiopia,ETH,0,0,0
2013,Kenya,KEN,2894,0,0
2013,Liberia,LBR,0,5,0
2013,Nigeria,NGA,5,0,0
2013,Rwanda,RWA,11,6,0
2013,Sudan,SDN,33582,309,0
2013,Somalia,SOM,240825,7,0
2013,South Sudan,SSD,71506,27,0
2013,Uganda,UGA,20,0,0
2013,Yemen,YEM,58,75,0
2014,Burundi,BDI,62,44,0
2014,Cote d'Ivoire,CIV,5,0,0
2014,Dem. Rep. of the Congo,COD,427,580,0
2014,Congo,COG,0,5,0
2014,Djibouti,DJI,76,0,0
2014,Egypt,EGY,0,5,0
2014,Eritrea,ERI,123784,14,0
2014,Ethiopia,ETH,0,0,0
2014,Kenya,KEN,2728,348,0
2014,Liberia,LBR,0,5,0
2014,Nigeria,NGA,5,0,0
2014,Rwanda,RWA,11,6,0
2014,Sudan,SDN,35447,278,0
2014,Somalia,SOM,245097,2683,0
2014,South Sudan,SSD,251791,65,0
2014,Syrian Arab Rep.,SYR,0,8,0
2014,Uganda,UGA,22,0,0
2014,Yemen,YEM,65,79,0
2015,Burundi,BDI,52,56,0
2015,Cote d'Ivoire,CIV,5,0,0
2015,Dem. Rep. of the Congo,COD,426,620,0
2015,Cuba,CUB,0,5,0
2015,Djibouti,DJI,76,0,0
2015,Egypt,EGY,5,0,0
2015,Eritrea,ERI,155231,0,0
2015,Iraq,IRQ,0,7,0
2015,Kenya,KEN,3193,346,0
2015,Liberia,LBR,0,5,0
2015,Rwanda,RWA,11,6,0
2015,Sudan,SDN,37785,386,0
2015,Somalia,SOM,256669,0,0
2015,South Sudan,SSD,281508,439,0
2015,Syrian Arab Rep.,SYR,9,15,0
2015,Uganda,UGA,23,5,0
2015,Yemen,YEM,1088,236,0
2016,Burundi,BDI,57,63,0
2016,Cote d'Ivoire,CIV,5,0,0
2016,Dem. Rep. of the Congo,COD,444,587,0
2016,Cuba,CUB,5,0,0
2016,Djibouti,DJI,81,0,0
2016,Egypt,EGY,5,0,0
2016,Eritrea,ERI,165548,78,0
2016,Ethiopia,ETH,0,0,0
2016,Iraq,IRQ,10,0,0
2016,Kenya,KEN,3326,412,0
2016,Rwanda,RWA,11,6,0
2016,Sudan,SDN,39896,447,0
2016,Somalia,SOM,242014,79,0
2016,South Sudan,SSD,338774,47,0
2016,Syrian Arab Rep.,SYR,9,48,0
2016,Uganda,UGA,23,5,0
