year,month,exchange_rate,exchange_rate_lag1,exchange_rate_lag3,exchange_rate_lag6,exchange_rate_lag12,exchange_rate_yoy_change,exchange_rate_yoy_change_lag1,exchange_rate_yoy_change_lag3,exchange_rate_yoy_change_lag6,exchange_rate_yoy_change_lag12
2009,1,10.95,,,,,,,,,
2009,2,11.105,10.95,,,,,,,,
2009,3,11.2,11.105,,,,,,,,
2009,4,11.235,11.2,10.95,,,,,,,
2009,5,11.27,11.235,11.105,,,,,,,
2009,6,11.375,11.27,11.2,,,,,,,
2009,7,11.34,11.375,11.235,10.95,,,,,,
2009,8,12.56,11.34,11.27,11.105,,,,,,
2009,9,12.595,12.56,11.375,11.2,,,,,,
2009,10,12.62,12.595,11.34,11.235,,,,,,
2009,11,12.655,12.62,12.56,11.27,,,,,,
2009,12,12.695,12.655,12.595,11.375,,,,,,
2010,1,12.735,12.695,12.62,11.34,10.95,0.16301369863013693,,,,
2010,2,13.41,12.735,12.655,12.56,11.105,0.20756416028815838,0.16301369863013693,,,
2010,3,13.46,13.41,12.695,12.595,11.2,0.20178571428571446,0.20756416028815838,,,
2010,4,13.505,13.46,12.735,12.62,11.235,0.2020471740097909,0.20178571428571446,0.16301369863013693,,
2010,5,13.555,13.505,13.41,12.655,11.27,0.20275066548358467,0.2020471740097909,0.20756416028815838,,
2010,6,13.595,13.555,13.46,12.695,11.375,0.19516483516483518,0.20275066548358467,0.20178571428571446,,
2010,7,13.6455,13.595,13.505,12.735,11.34,0.20330687830687832,0.19516483516483518,0.2020471740097909,0.16301369863013693,
2010,8,13.6935,13.6455,13.555,13.41,12.56,0.09024681528662426,0.20330687830687832,0.20275066548358467,0.20756416028815838,
2010,9,16.4685,13.6935,13.595,13.46,12.595,0.3075426756649462,0.09024681528662426,0.19516483516483518,0.20178571428571446,
2010,10,16.483,16.4685,13.6455,13.505,12.62,0.30610142630744863,0.3075426756649462,0.20330687830687832,0.2020471740097909,
2010,11,16.488,16.483,13.6935,13.555,12.655,0.3028842354800474,0.30610142630744863,0.09024681528662426,0.20275066548358467,
2010,12,16.608,16.488,16.4685,13.595,12.695,0.3082315872390704,0.3028842354800474,0.3075426756649462,0.19516483516483518,
2011,1,16.661,16.608,16.483,13.6455,12.735,0.30828425598743636,0.3082315872390704,0.30610142630744863,0.20330687830687832,0.16301369863013693
2011,2,16.655,16.661,16.488,13.6935,13.41,0.24198359433258765,0.30828425598743636,0.3028842354800474,0.09024681528662426,0.20756416028815838
2011,3,16.721,16.655,16.608,16.4685,13.46,0.2422734026745914,0.24198359433258765,0.3082315872390704,0.3075426756649462,0.20178571428571446
2011,4,16.838,16.721,16.661,16.483,13.505,0.24679748241392074,0.2422734026745914,0.30828425598743636,0.30610142630744863,0.2020471740097909
2011,5,16.795,16.838,16.655,16.488,13.555,0.23902618959793442,0.24679748241392074,0.24198359433258765,0.3028842354800474,0.20275066548358467
2011,6,16.967,16.795,16.721,16.608,13.595,0.24803236484001445,0.23902618959793442,0.2422734026745914,0.3082315872390704,0.19516483516483518
2011,7,16.962,16.967,16.838,16.661,13.6455,0.24304715840386937,0.24803236484001445,0.24679748241392074,0.30828425598743636,0.20330687830687832
2011,8,17.029,16.962,16.795,16.655,13.6935,0.24358272172928763,0.24304715840386937,0.23902618959793442,0.24198359433258765,0.09024681528662426
