zone_code,month,glofas_exceed_2yr_lead1,glofas_exceed_20yr_lead1,glofas_source_lead1,glofas_exceed_2yr_lead3,glofas_exceed_20yr_lead3,glofas_source_lead3,glofas_reach_count
ET0101,2009-01-01,0.0,0.0,reforecast,0.12,0.08,reforecast,65
ET0101,2009-02-01,0.0,0.0,reforecast,0.24,0.16,reforecast,65
ET0101,2009-03-01,0.0,0.0,reforecast,0.24,0.08,reforecast,65
ET0101,2009-04-01,0.0,0.0,reforecast,0.96,0.96,reforecast,65
ET0101,2009-05-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2009-06-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2009-07-01,0.0,0.0,reforecast,1.0,0.96,reforecast,65
ET0101,2009-08-01,0.0,0.0,reforecast,0.76,0.32,reforecast,65
ET0101,2009-09-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2009-10-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2009-11-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2009-12-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2010-01-01,0.0,0.0,reforecast,0.04,0.0,reforecast,65
ET0101,2010-02-01,0.0,0.0,reforecast,0.16,0.08,reforecast,65
ET0101,2010-03-01,0.0,0.0,reforecast,0.28,0.16,reforecast,65
ET0101,2010-04-01,0.0,0.0,reforecast,0.96,0.96,reforecast,65
ET0101,2010-05-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2010-06-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2010-07-01,0.09090909090909091,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2010-08-01,0.2727272727272727,0.0,reforecast,0.72,0.32,reforecast,65
ET0101,2010-09-01,1.0,0.0,reforecast,0.12,0.04,reforecast,65
ET0101,2010-10-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2010-11-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2010-12-01,0.0,0.0,reforecast,0.08,0.04,reforecast,65
ET0101,2011-01-01,0.0,0.0,reforecast,0.2,0.08,reforecast,65
ET0101,2011-02-01,0.0,0.0,reforecast,0.44,0.4,reforecast,65
ET0101,2011-03-01,0.0,0.0,reforecast,0.4,0.32,reforecast,65
ET0101,2011-04-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2011-05-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2011-06-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2011-07-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2011-08-01,0.0,0.0,reforecast,0.36,0.24,reforecast,65
ET0101,2011-09-01,0.0,0.0,reforecast,0.04,0.0,reforecast,65
ET0101,2011-10-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2011-11-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2011-12-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2012-01-01,0.0,0.0,reforecast,0.04,0.0,reforecast,65
ET0101,2012-02-01,0.0,0.0,reforecast,0.16,0.08,reforecast,65
ET0101,2012-03-01,0.0,0.0,reforecast,0.32,0.2,reforecast,65
ET0101,2012-04-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2012-05-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2012-06-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2012-07-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2012-08-01,0.18181818181818182,0.0,reforecast,0.48,0.28,reforecast,65
ET0101,2012-09-01,1.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2012-10-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2012-11-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2012-12-01,0.0,0.0,reforecast,0.0,0.0,reforecast,65
ET0101,2013-01-01,0.0,0.0,reforecast,0.04,0.04,reforecast,65
ET0101,2013-02-01,0.0,0.0,reforecast,0.12,0.12,reforecast,65
ET0101,2013-03-01,0.0,0.0,reforecast,0.4,0.24,reforecast,65
ET0101,2013-04-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2013-05-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2013-06-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2013-07-01,0.0,0.0,reforecast,1.0,1.0,reforecast,65
ET0101,2013-08-01,0.2727272727272727,0.0,reforecast,0.28,0.12,reforecast,65
