pcode,year,month,seasonal_precip_prob_below_lead1,seasonal_precip_prob_near_lead1,seasonal_precip_prob_above_lead1,seasonal_target_season_lead1,seasonal_overlaps_kiremt_lead1,seasonal_overlaps_belg_lead1,seasonal_overlaps_gu_lead1,seasonal_overlaps_deyr_lead1,seasonal_source_lead1,seasonal_precip_prob_below_lead3,seasonal_precip_prob_near_lead3,seasonal_precip_prob_above_lead3,seasonal_target_season_lead3,seasonal_overlaps_kiremt_lead3,seasonal_overlaps_belg_lead3,seasonal_overlaps_gu_lead3,seasonal_overlaps_deyr_lead3,seasonal_source_lead3
ET0101,2009,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2009,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2009,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,25.0,35.0,40.0,jja,True,False,True,False,legacy_two_tier
ET0101,2009,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,25.0,35.0,40.0,jas,True,False,False,False,legacy_two_tier
ET0101,2009,5,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier,25.0,35.0,40.0,aso,True,False,False,True,legacy_two_tier
ET0101,2009,6,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2009,7,32.80327724547393,33.049180688631516,33.17213241021031,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2009,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2009,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2009,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2009,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2009,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2010,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2010,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2010,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2010,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,25.0,35.0,40.0,jas,True,False,False,False,legacy_two_tier
ET0101,2010,5,32.80327724547393,33.049180688631516,33.17213241021031,jja,True,False,True,False,legacy_two_tier,32.80327724547393,33.049180688631516,33.17213241021031,aso,True,False,False,True,legacy_two_tier
ET0101,2010,6,24.877048278421206,35.0,40.122951721578794,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2010,7,32.80327724547393,33.049180688631516,33.17213241021031,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2010,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2010,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2010,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2010,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2010,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2011,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2011,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2011,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2011,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,25.0,35.0,40.0,jas,True,False,False,False,legacy_two_tier
ET0101,2011,5,32.80327724547393,33.049180688631516,33.17213241021031,jja,True,False,True,False,legacy_two_tier,32.80327724547393,33.049180688631516,33.17213241021031,aso,True,False,False,True,legacy_two_tier
ET0101,2011,6,25.0,35.0,40.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2011,7,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2011,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2011,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2011,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2011,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2011,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2012,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2012,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2012,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2012,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier
ET0101,2012,5,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier
ET0101,2012,6,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2012,7,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2012,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2012,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2012,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2012,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2012,12,,,,jfm,False,True,False,False,legacy_two_tier,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier
ET0101,2013,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
ET0101,2013,2,33.0,33.0,33.0,mam,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier
ET0101,2013,3,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier
ET0101,2013,4,33.0,33.0,33.0,mjj,True,True,True,False,legacy_two_tier,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier
ET0101,2013,5,33.0,33.0,33.0,jja,True,False,True,False,legacy_two_tier,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier
ET0101,2013,6,33.0,33.0,33.0,jas,True,False,False,False,legacy_two_tier,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier
ET0101,2013,7,33.0,33.0,33.0,aso,True,False,False,True,legacy_two_tier,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier
ET0101,2013,8,33.0,33.0,33.0,son,True,False,False,True,legacy_two_tier,,,,ndj,False,False,False,True,legacy_two_tier
ET0101,2013,9,33.0,33.0,33.0,ond,False,False,False,True,legacy_two_tier,,,,djf,False,True,False,True,legacy_two_tier
ET0101,2013,10,,,,ndj,False,False,False,True,legacy_two_tier,,,,jfm,False,True,False,False,legacy_two_tier
ET0101,2013,11,,,,djf,False,True,False,True,legacy_two_tier,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier
ET0101,2013,12,,,,jfm,False,True,False,False,legacy_two_tier,32.80327724547393,33.049180688631516,33.17213241021031,mam,False,True,True,False,legacy_two_tier
ET0101,2014,1,33.0,33.0,33.0,fma,False,True,True,False,legacy_two_tier,33.0,33.0,33.0,amj,True,True,True,False,legacy_two_tier
