year,month,iod,mei,nino34,iod_lag1,iod_lag3,iod_lag6,mei_lag1,mei_lag3,mei_lag6,nino34_lag1,nino34_lag3,nino34_lag6
2009,1,0.031,-1.01,-0.89,-0.053,0.029,0.246,-1.01,-1.09,-0.78,-0.86,-0.35,-0.3
2009,2,0.163,-0.85,-0.79,0.031,-0.128,0.124,-1.01,-0.98,-1.01,-0.89,-0.46,-0.13
2009,3,0.1,-0.95,-0.69,0.163,-0.053,0.086,-0.85,-1.01,-1.02,-0.79,-0.86,-0.25
2009,4,0.126,-0.81,-0.35,0.1,0.031,0.029,-0.95,-1.01,-1.09,-0.69,-0.89,-0.35
2009,5,0.257,-0.72,0.06,0.126,0.163,-0.128,-0.81,-0.85,-0.98,-0.35,-0.79,-0.46
2009,6,0.1,-0.05,0.31,0.257,0.1,-0.053,-0.72,-0.95,-1.01,0.06,-0.69,-0.86
2009,7,-0.192,0.56,0.48,0.1,0.126,0.031,-0.05,-0.81,-1.01,0.31,-0.35,-0.89
2009,8,-0.104,0.56,0.56,-0.192,0.257,0.163,0.56,-0.72,-0.85,0.48,0.06,-0.79
2009,9,-0.103,0.42,0.68,-0.104,0.1,0.1,0.56,-0.05,-0.95,0.56,0.31,-0.69
2009,10,-0.013,0.56,0.89,-0.103,-0.192,0.126,0.42,0.56,-0.81,0.68,0.48,-0.35
2009,11,-0.067,1.04,1.46,-0.013,-0.104,0.257,0.56,0.56,-0.72,0.89,0.56,0.06
2009,12,0.16,0.95,1.74,-0.067,-0.103,0.1,1.04,0.42,-0.05,1.46,0.68,0.31
2010,1,0.294,0.93,1.52,0.16,-0.013,-0.192,0.95,0.56,0.56,1.74,0.89,0.48
2010,2,0.023,1.28,1.25,0.294,-0.067,-0.104,0.93,1.04,0.56,1.52,1.46,0.56
2010,3,0.458,1.33,0.9,0.023,0.16,-0.103,1.28,0.95,0.42,1.25,1.74,0.68
2010,4,0.37,0.49,0.38,0.458,0.294,-0.013,1.33,0.93,0.56,0.9,1.52,0.89
2010,5,-0.029,-0.12,-0.22,0.37,0.023,-0.067,0.49,1.28,1.04,0.38,1.25,1.46
2010,6,-0.14,-1.29,-0.69,-0.029,0.458,0.16,-0.12,1.33,0.95,-0.22,0.9,1.74
2010,7,-0.001,-2.42,-1.07,-0.14,0.37,0.294,-1.29,0.49,0.93,-0.69,0.38,1.52
