year,month,total_refugees_hosted,total_refugees_hosted_yoy_change,total_asylum_seekers_hosted,total_asylum_seekers_hosted_yoy_change,idps_ethiopia,idps_ethiopia_yoy_change
2009,1,,,,,,
2009,2,,,,,,
2009,3,,,,,,
2009,4,,,,,,
2009,5,,,,,,
2009,6,83573.0,,1656.0,,,
2009,7,83573.0,,1656.0,,,
2009,8,83573.0,,1656.0,,,
2009,9,83573.0,,1656.0,,,
2009,10,83573.0,,1656.0,,,
2009,11,83573.0,,1656.0,,,
2009,12,83573.0,,1656.0,,,
2010,1,83573.0,,1656.0,,,
2010,2,83573.0,,1656.0,,,
2010,3,83573.0,,1656.0,,,
2010,4,83573.0,,1656.0,,,
2010,5,83573.0,,1656.0,,,
2010,6,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2010,7,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2010,8,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2010,9,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2010,10,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2010,11,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2010,12,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2011,1,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2011,2,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2011,3,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2011,4,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2011,5,121880.0,0.4583657401313821,2441.0,0.47403381642512077,,
2011,6,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2011,7,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2011,8,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2011,9,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2011,10,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2011,11,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2011,12,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2012,1,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2012,2,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2012,3,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2012,4,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2012,5,154288.0,0.2659008861174925,1014.0,-0.5845964768537484,,
2012,6,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2012,7,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2012,8,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2012,9,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2012,10,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2012,11,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2012,12,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2013,1,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2013,2,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2013,3,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2013,4,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2013,5,288839.0,0.8720768951571087,1340.0,0.3214990138067062,,
2013,6,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2013,7,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2013,8,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2013,9,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2013,10,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2013,11,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2013,12,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2014,1,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2014,2,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2014,3,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2014,4,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2014,5,376388.0,0.3031065749431343,837.0,-0.37537313432835817,0.0,
2014,6,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2014,7,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2014,8,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2014,9,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2014,10,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2014,11,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2014,12,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2015,1,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2015,2,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2015,3,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2015,4,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2015,5,433933.0,0.15288744593345172,930.0,0.11111111111111116,0.0,
2015,6,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2015,7,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2015,8,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2015,9,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2015,10,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2015,11,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2015,12,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2016,1,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2016,2,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2016,3,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2016,4,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2016,5,659520.0,0.5198659700921571,4120.0,3.43010752688172,0.0,
2016,6,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2016,7,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2016,8,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2016,9,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2016,10,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2016,11,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2016,12,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2017,1,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2017,2,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2017,3,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2017,4,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2017,5,736081.0,0.11608594129063565,2126.0,-0.4839805825242719,,
2017,6,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2017,7,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2017,8,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2017,9,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2017,10,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2017,11,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2017,12,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2018,1,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2018,2,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2018,3,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2018,4,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2018,5,791631.0,0.07546723798060273,1948.0,-0.08372530573847603,0.0,
2018,6,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2018,7,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2018,8,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2018,9,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2018,10,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2018,11,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2018,12,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2019,1,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2019,2,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2019,3,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2019,4,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2019,5,889412.0,0.12351840693454408,2593.0,0.3311088295687885,1078429.0,
2019,6,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2019,7,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2019,8,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2019,9,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2019,10,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2019,11,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2019,12,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2020,1,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2020,2,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2020,3,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2020,4,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2020,5,903226.0,0.015531609647722266,2136.0,-0.1762437331276514,2615800.0,1.4255653362437397
2020,6,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2020,7,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2020,8,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2020,9,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2020,10,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2020,11,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2020,12,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2021,1,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2021,2,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2021,3,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2021,4,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2021,5,733123.0,-0.1883282810725112,1677.0,-0.2148876404494382,1733628.0,-0.3372474959859316
2021,6,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2021,7,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2021,8,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2021,9,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2021,10,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2021,11,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2021,12,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2022,1,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2022,2,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2022,3,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2022,4,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2022,5,800454.0,0.09184134176666126,1901.0,0.13357185450208697,2733628.0,0.5768250166702429
2022,6,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2022,7,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2022,8,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2022,9,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2022,10,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2022,11,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2022,12,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2023,1,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2023,2,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2023,3,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2023,4,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2023,5,821283.0,0.026021482808506136,2251.0,0.18411362440820622,3646267.0,0.3338563257326892
2023,6,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2023,7,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2023,8,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2023,9,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2023,10,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2023,11,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2023,12,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2024,1,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2024,2,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2024,3,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2024,4,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2024,5,879598.0,0.07100475719088295,2214.0,-0.016437139049311433,2730000.0,-0.25128905809695234
2024,6,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2024,7,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2024,8,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2024,9,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2024,10,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2024,11,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2024,12,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2025,1,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2025,2,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2025,3,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2025,4,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2025,5,979846.0,0.11397024549851187,63747.0,27.79268292682927,2561497.0,-0.06172271062271062
2025,6,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2025,7,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2025,8,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2025,9,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2025,10,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2025,11,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2025,12,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2026,1,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2026,2,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2026,3,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2026,4,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2026,5,1008826.0,0.02957607624055214,63055.0,-0.010855412803739806,2272533.0,-0.11281059474205901
2026,6,1010466.0,0.001625651995487809,112987.0,0.7918801046705257,2378000.0,0.046409447079536426
2026,7,1010466.0,0.001625651995487809,112987.0,0.7918801046705257,2378000.0,0.046409447079536426
2026,8,1010466.0,0.001625651995487809,112987.0,0.7918801046705257,2378000.0,0.046409447079536426
