zone_code,month,maize_price_etb,maize_price_etb_lag1,maize_price_etb_lag3,maize_price_etb_lag6,maize_price_etb_lag12,maize_price_index,maize_price_index_lag1,maize_price_index_lag3,maize_price_index_lag6,maize_price_index_lag12,maize_n_markets,wheat_price_etb,wheat_price_etb_lag1,wheat_price_etb_lag3,wheat_price_etb_lag6,wheat_price_etb_lag12,wheat_price_index,wheat_price_index_lag1,wheat_price_index_lag3,wheat_price_index_lag6,wheat_price_index_lag12,wheat_n_markets,sorghum_price_etb,sorghum_price_etb_lag1,sorghum_price_etb_lag3,sorghum_price_etb_lag6,sorghum_price_etb_lag12,sorghum_price_index,sorghum_price_index_lag1,sorghum_price_index_lag3,sorghum_price_index_lag6,sorghum_price_index_lag12,sorghum_n_markets,teff_price_etb,teff_price_etb_lag1,teff_price_etb_lag3,teff_price_etb_lag6,teff_price_etb_lag12,teff_price_index,teff_price_index_lag1,teff_price_index_lag3,teff_price_index_lag6,teff_price_index_lag12,teff_n_markets,fuel_diesel_price_etb,fuel_diesel_price_etb_lag1,fuel_diesel_price_etb_lag3,fuel_diesel_price_etb_lag6,fuel_diesel_price_etb_lag12,fuel_diesel_price_index,fuel_diesel_price_index_lag1,fuel_diesel_price_index_lag3,fuel_diesel_price_index_lag6,fuel_diesel_price_index_lag12,fuel_diesel_n_markets,fuel_petrol_price_etb,fuel_petrol_price_etb_lag1,fuel_petrol_price_etb_lag3,fuel_petrol_price_etb_lag6,fuel_petrol_price_etb_lag12,fuel_petrol_price_index,fuel_petrol_price_index_lag1,fuel_petrol_price_index_lag3,fuel_petrol_price_index_lag6,fuel_petrol_price_index_lag12,fuel_petrol_n_markets,livestock_goat_price_etb,livestock_goat_price_etb_lag1,livestock_goat_price_etb_lag3,livestock_goat_price_etb_lag6,livestock_goat_price_etb_lag12,livestock_goat_price_index,livestock_goat_price_index_lag1,livestock_goat_price_index_lag3,livestock_goat_price_index_lag6,livestock_goat_price_index_lag12,livestock_goat_n_markets,livestock_sheep_price_etb,livestock_sheep_price_etb_lag1,livestock_sheep_price_etb_lag3,livestock_sheep_price_etb_lag6,livestock_sheep_price_etb_lag12,livestock_sheep_price_index,livestock_sheep_price_index_lag1,livestock_sheep_price_index_lag3,livestock_sheep_price_index_lag6,livestock_sheep_price_index_lag12,livestock_sheep_n_markets,goat_maize_tot,goat_maize_tot_lag1,goat_maize_tot_lag3,goat_maize_tot_lag6,goat_maize_tot_lag12,sheep_maize_tot,sheep_maize_tot_lag1,sheep_maize_tot_lag3,sheep_maize_tot_lag6,sheep_maize_tot_lag12
ET0101,2006-07-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2006-08-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2006-09-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2006-10-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2006-11-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2006-12-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2007-01-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2007-02-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2007-03-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
ET0101,2007-04-01,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,
