year,western_v_sst_mam,nino34_sst_mam,wvg
1854,25.719215,27.8607,0.3726668
1855,25.327902,27.7492,0.79529923
1856,25.616903,27.648329,0.20643188
1857,25.229881,26.703745,-0.63571304
1858,25.338282,27.558966,0.49228922
1859,25.882349,27.556265,-0.33355284
1860,25.81156,27.038132,-1.0092237
1861,25.376242,26.777147,-0.7459092
1862,25.380373,26.682943,-0.8944354
1863,25.799566,27.019735,-1.0188948
1864,25.827148,27.274712,-0.67543733
1865,25.700531,27.323029,-0.41121536
1866,26.057367,27.28626,-1.0057178
1867,25.898813,27.192907,-0.907238
1868,25.641342,27.214056,-0.486409
1869,26.17766,27.287582,-1.185412
1870,26.0716,26.075106,-2.8565507
1871,25.884636,27.55966,-0.33187905
1872,25.796938,26.95973,-1.1055572
1873,25.806635,26.75859,-1.4240059
1874,25.556425,26.62702,-1.2448127
1875,25.406916,27.188972,-0.1702161
1876,25.921204,26.628595,-1.7933968
1877,25.62294,28.277916,1.1482463
1878,25.869194,28.721994,1.4470416
1879,26.026876,27.080635,-1.2702422
1880,25.967056,27.218277,-0.9719942
1881,25.557785,28.222847,1.1634804
1882,25.678663,28.176428,0.91079336
1883,25.12851,27.929346,1.3685552
1884,25.218073,27.886292,1.1682482
1885,24.84157,27.742098,1.5191296
1886,25.454397,27.237907,-0.16802087
1887,25.697073,26.41645,-1.7752935
1888,25.265747,28.180525,1.5406526
1889,25.739433,28.48142,1.2796688
1890,25.613535,26.668694,-1.2681277
1891,25.674667,27.891062,0.48581013
1892,25.863504,27.252075,-0.76453984
1893,25.993036,26.721367,-1.7617707
1894,25.725275,26.699738,-1.3900115
1895,25.702492,27.418737,-0.26961768
1896,25.86052,27.860392,0.15877363
1897,26.081299,27.659502,-0.47811785
1898,25.764475,26.924774,-1.1093225
1899,25.446625,27.330519,-0.01640062
1900,25.461151,28.5959,1.8728977
1901,25.83507,27.604673,-0.1890253
1902,25.423065,28.101763,1.1840757
1903,25.182022,28.048798,1.4681498
1904,25.097246,26.815985,-0.26585236
1905,25.159933,28.461504,2.1248674
1906,25.375006,27.598265,0.4961784
1907,25.28802,27.06952,-0.17105442
1908,25.418386,27.105722,-0.31328303
1909,25.255735,26.910135,-0.36302993
1910,25.703104,26.282272,-1.9870664
1911,25.393198,26.916792,-0.56060004
1912,25.355444,28.245203,1.5028642
