year,month,wvg,wvg_undated,wvg_lag1yr,wvg_lag2yr,wvg_lag3yr
2009,1,-1.8828508,-0.7516191,-0.12254344,-0.8106827,0.7784375
2009,2,-1.8828508,-0.7516191,-0.12254344,-0.8106827,0.7784375
2009,3,-1.8828508,-0.7516191,-0.12254344,-0.8106827,0.7784375
2009,4,-1.8828508,-0.7516191,-0.12254344,-0.8106827,0.7784375
2009,5,-1.8828508,-0.7516191,-0.12254344,-0.8106827,0.7784375
2009,6,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2009,7,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2009,8,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2009,9,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2009,10,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2009,11,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2009,12,-0.7516191,-0.7516191,-1.8828508,-0.12254344,-0.8106827
2010,1,-0.7516191,0.39334282,-1.8828508,-0.12254344,-0.8106827
2010,2,-0.7516191,0.39334282,-1.8828508,-0.12254344,-0.8106827
2010,3,-0.7516191,0.39334282,-1.8828508,-0.12254344,-0.8106827
2010,4,-0.7516191,0.39334282,-1.8828508,-0.12254344,-0.8106827
2010,5,-0.7516191,0.39334282,-1.8828508,-0.12254344,-0.8106827
2010,6,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2010,7,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2010,8,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2010,9,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2010,10,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2010,11,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2010,12,0.39334282,0.39334282,-0.7516191,-1.8828508,-0.12254344
2011,1,0.39334282,-1.3396366,-0.7516191,-1.8828508,-0.12254344
2011,2,0.39334282,-1.3396366,-0.7516191,-1.8828508,-0.12254344
2011,3,0.39334282,-1.3396366,-0.7516191,-1.8828508,-0.12254344
2011,4,0.39334282,-1.3396366,-0.7516191,-1.8828508,-0.12254344
2011,5,0.39334282,-1.3396366,-0.7516191,-1.8828508,-0.12254344
2011,6,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2011,7,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2011,8,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2011,9,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2011,10,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2011,11,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2011,12,-1.3396366,-1.3396366,0.39334282,-0.7516191,-1.8828508
2012,1,-1.3396366,-1.0126606,0.39334282,-0.7516191,-1.8828508
