feature,importance,lhz,lead
month,0.023047864,p,0
FEWS_HA,0.011619612,p,0
tp,0.0003997462,p,0
wd,0.0010823497,p,0
ds,0.00938612,p,0
SPI_1,0.0075597335,p,0
SPI_3,0.003762073,p,0
SPI_6,0.0082578715,p,0
SPI_12,0.0071873562,p,0
SPI_24,0.0041185594,p,0
SPEI_1,0.00446234,p,0
SPEI_3,0.004673445,p,0
SPEI_6,0.013996741,p,0
SPEI_12,0.03244064,p,0
SPEI_24,0.016707433,p,0
SSMI_1,0.004635909,p,0
SSMI_3,0.00683179,p,0
SSMI_6,0.03810922,p,0
SSMI_12,0.022125771,p,0
SSMI_24,0.009780318,p,0
NDVI_anom,0.0028112638,p,0
NDVI_anom_range,0.0040896307,p,0
NDVI_anom_crop,0.002285919,p,0
WVG,0.015793052,p,0
MEI,0.027974179,p,0
NINA34,0.0108264685,p,0
IOD,0.0085133985,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.0034530312,p,0
acled_count,0.00047678308,p,0
acled_fatalities,0.0012939086,p,0
DL_area,0.0,p,0
CPI_H,0.010487049,p,0
CPI_F,0.01429991,p,0
GDP,0.0145879565,p,0
FEWS_HA_4,0.008200384,p,0
FEWS_HA_12,0.0051560695,p,0
wd_4,0.017872734,p,0
wd_12,0.01826255,p,0
ds_4,0.0108714085,p,0
ds_12,0.008913422,p,0
NDVI_anom_4,0.022855328,p,0
NDVI_anom_12,0.029949093,p,0
NDVI_anom_range_4,0.005566263,p,0
NDVI_anom_range_12,0.014760351,p,0
NDVI_anom_crop_4,0.005573989,p,0
NDVI_anom_crop_12,0.0073942095,p,0
WVG_4,0.011254462,p,0
WVG_12,0.015102553,p,0
MEI_4,0.027336635,p,0
MEI_12,0.018205326,p,0
NINA34_4,0.014711786,p,0
NINA34_12,0.0056619835,p,0
IOD_4,0.010132188,p,0
IOD_12,0.03173405,p,0
Fuel (diesel)_Pewi_4,0.0051632575,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.0049861837,p,0
Maize (white)_Pewi_12,0.001136722,p,0
acled_count_4,0.004858664,p,0
acled_count_12,0.0057159816,p,0
acled_fatalities_4,0.0,p,0
acled_fatalities_12,0.010231401,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.007811499,p,0
CPI_H_12,0.009982637,p,0
CPI_F_4,0.012098221,p,0
CPI_F_12,0.019379245,p,0
GDP_4,0.014400099,p,0
GDP_12,0.0106678335,p,0
OND,0.0,p,0
MAM,0.0,p,0
FEWS_CS_lag1,0.21240658,p,0
FEWS_CS_lag4,0.015102421,p,0
FEWS_CS_lag8,0.006188454,p,0
FEWS_CS_12,0.013870516,p,0
Ethiopia,0.009408093,p,0
Kenya,0.0,p,0
Somalia,0.0,p,0
month,0.0054269833,p,1
FEWS_HA,0.007834681,p,1
tp,0.0052415538,p,1
wd,0.0050260616,p,1
ds,0.00962815,p,1
SPI_1,0.0031700977,p,1
SPI_3,0.008276806,p,1
SPI_6,0.006962252,p,1
SPI_12,0.007381311,p,1
SPI_24,0.009930323,p,1
SPEI_1,0.005236044,p,1
SPEI_3,0.009167742,p,1
SPEI_6,0.060620748,p,1
SPEI_12,0.01806447,p,1
SPEI_24,0.008625493,p,1
SSMI_1,0.0074828416,p,1
SSMI_3,0.015804619,p,1
SSMI_6,0.060867537,p,1
SSMI_12,0.020950256,p,1
SSMI_24,0.0130680315,p,1
NDVI_anom,0.013716582,p,1
NDVI_anom_range,0.004942422,p,1
NDVI_anom_crop,0.006109561,p,1
WVG,0.01867788,p,1
