lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,227,0.41467951601024244,0.511856368672489,0.497991248967943,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,1,227,0.41927285525587416,0.5160939045727327,0.48964482268150755,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,2,227,0.4225997389468597,0.5237658673279,0.47435873563027153,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,3,227,0.4185623949410486,0.5187598337135373,0.4843586342491293,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,4,227,0.44139413692276364,0.5542326246720295,0.4114284863329265,0.6405702890175597,0.8064359664894879,-0.24610558587940723,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,8,227,0.45489152671173355,0.5869402249624056,0.3399105165292302,0.6512604841591626,0.8467056595682206,-0.3736623361810132,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,12,227,0.4791762172614515,0.5961754276173153,0.3189747582527944,0.731789293022718,0.9952208532302699,-0.8978155468196853,0.5866989825166073,0.7618359413469675,-0.11208499390085902
other,0,970,0.2686812051399091,0.43510308494838945,0.6298579799585879,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,1,970,0.2596531900049053,0.42763354651151403,0.6424575600213542,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,2,970,0.25078245069068617,0.4364893012260802,0.6274957156524645,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,3,970,0.2745866191083924,0.4574948984640161,0.5907802582590915,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,4,970,0.2980527714244921,0.5184295068859676,0.47451116941464966,0.2671360330024025,0.5185511012829026,0.4742646402728312,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,8,970,0.30247788652751545,0.5120922499176307,0.48727974784853034,0.27942952581392333,0.5548387581969115,0.3981092793593106,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,12,970,0.31328039304386024,0.5385780902718084,0.4328715557410411,0.3197117921375171,0.6181401343658717,0.25293575690007797,0.2772153559822633,0.5225949356108551,0.46603294906154147
p,0,746,0.3826550122516087,0.4707324392416664,0.4662147334430967,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,1,746,0.3567997892205076,0.4536891077293532,0.5041674510045894,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,2,746,0.3403980897449742,0.44298270091021896,0.5272931881235041,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,3,746,0.33902003690753946,0.43332579714118813,0.5476783072714262,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,4,746,0.368820575120777,0.47282529881012325,0.46145780196283825,0.46512475957009486,0.6620439177302307,-0.055824966244841345,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,8,746,0.4134797026419466,0.521976623316088,0.3436727525692125,0.4976057792397977,0.6880738116841784,-0.1404818672328545,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,12,746,0.4011244943826292,0.48858193547469114,0.4249665105151974,0.5205084045244626,0.7432066979328589,-0.3305694785358335,0.5318756259885532,0.6871099777456932,-0.1372889968669455
