lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,20,0.35,0.05,0.38888888888888884,0.0,0.1,0.0,0.011111111111111112
ap,1,20,0.5,0.05,0.5128205128205129,0.0,0.1,0.0,0.011111111111111112
ap,2,20,0.35,0.06111111111111111,0.36842105263157887,0.0,0.1,0.0,0.011111111111111112
ap,3,20,0.35,0.07222222222222222,0.35,0.0,0.1,0.0,0.011111111111111112
ap,4,20,0.5,0.027777777777777776,0.5714285714285715,0.05,0.05,0.0,0.011111111111111112
ap,8,20,0.1,0.07222222222222222,0.1142857142857143,0.0,0.06111111111111111,0.0,0.011111111111111112
ap,12,20,0.35,0.06111111111111111,0.36842105263157887,0.05,0.044444444444444446,0.0,0.011111111111111112
other,0,33,0.0,0.006134969325153374,0.0,0.0,0.03558282208588957,0.0,0.0
other,1,33,0.0,0.007361963190184049,0.0,0.0,0.03558282208588957,0.0,0.0
other,2,33,0.0,0.006134969325153374,0.0,0.0,0.03558282208588957,0.0,0.0
other,3,33,0.0,0.001226993865030675,0.0,0.0,0.03558282208588957,0.0,0.0
other,4,33,0.0,0.0,0.0,0.12121212121212122,0.026993865030674847,0.0,0.0
other,8,33,0.0,0.0,0.0,0.0,0.029447852760736196,0.0,0.0
other,12,33,0.0,0.0,0.0,0.15151515151515152,0.018404907975460124,0.0,0.0
p,0,93,0.053763440860215055,0.12078152753108348,0.06024096385542168,0.0,0.14742451154529307,0.010752688172043012,0.008880994671403197
p,1,93,0.0967741935483871,0.09769094138543517,0.11464968152866242,0.0,0.14742451154529307,0.010752688172043012,0.008880994671403197
p,2,93,0.15053763440860216,0.09769094138543517,0.17283950617283952,0.0,0.14742451154529307,0.010752688172043012,0.008880994671403197
p,3,93,0.25806451612903225,0.0941385435168739,0.2823529411764706,0.0,0.14742451154529307,0.010752688172043012,0.008880994671403197
p,4,93,0.17204301075268819,0.04440497335701599,0.23880597014925378,0.1827956989247312,0.10301953818827708,0.010752688172043012,0.008880994671403197
p,8,93,0.043010752688172046,0.10479573712255773,0.05128205128205129,0.15053763440860216,0.10657193605683836,0.010752688172043012,0.008880994671403197
p,12,93,0.21505376344086022,0.05150976909413854,0.28169014084507044,0.1935483870967742,0.07282415630550622,0.010752688172043012,0.008880994671403197
