feature,importance,lhz,lead
month,0.018049218,p,0
FEWS_HA,0.017221425,p,0
tp,0.00083434646,p,0
wd,0.0037793242,p,0
ds,0.008705239,p,0
SPI_1,0.004714732,p,0
SPI_3,0.004943941,p,0
SPI_6,0.0095739,p,0
SPI_12,0.005686194,p,0
SPI_24,0.0016229771,p,0
SPEI_1,0.007517503,p,0
SPEI_3,0.005794014,p,0
SPEI_6,0.012093597,p,0
SPEI_12,0.02741769,p,0
SPEI_24,0.014194754,p,0
SSMI_1,0.0031266282,p,0
SSMI_3,0.0075795674,p,0
SSMI_6,0.038900614,p,0
SSMI_12,0.01926684,p,0
SSMI_24,0.0065292055,p,0
NDVI_anom,0.003546242,p,0
NDVI_anom_range,0.0054963473,p,0
NDVI_anom_crop,0.0023196163,p,0
WVG,0.015074535,p,0
MEI,0.02615416,p,0
NINA34,0.009852411,p,0
IOD,0.0061828415,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,9.735081e-06,p,0
acled_count,0.00033056003,p,0
acled_fatalities,0.0007245888,p,0
DL_area,0.0,p,0
CPI_H,0.011838313,p,0
CPI_F,0.01226964,p,0
GDP,0.013740526,p,0
FEWS_HA_4,0.005803392,p,0
FEWS_HA_12,0.006481812,p,0
wd_4,0.01858321,p,0
wd_12,0.018403424,p,0
ds_4,0.013192539,p,0
ds_12,0.008707742,p,0
NDVI_anom_4,0.020475913,p,0
NDVI_anom_12,0.034782566,p,0
NDVI_anom_range_4,0.00788883,p,0
NDVI_anom_range_12,0.014506473,p,0
NDVI_anom_crop_4,0.00070210313,p,0
NDVI_anom_crop_12,0.0067060227,p,0
WVG_4,0.009100562,p,0
WVG_12,0.01447004,p,0
MEI_4,0.026569158,p,0
MEI_12,0.020741576,p,0
NINA34_4,0.016952632,p,0
NINA34_12,0.007815008,p,0
IOD_4,0.012107005,p,0
IOD_12,0.030403642,p,0
Fuel (diesel)_Pewi_4,0.004023313,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.00509155,p,0
Maize (white)_Pewi_12,0.007980933,p,0
acled_count_4,0.0061007375,p,0
acled_count_12,0.0063357837,p,0
acled_fatalities_4,0.0019421345,p,0
acled_fatalities_12,0.011759273,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.01634195,p,0
CPI_H_12,0.01363431,p,0
CPI_F_4,0.010845076,p,0
CPI_F_12,0.010793744,p,0
GDP_4,0.0090532,p,0
GDP_12,0.0075017214,p,0
OND,0.0,p,0
MAM,0.0047468883,p,0
FEWS_CS_lag1,0.21657792,p,0
FEWS_CS_lag4,0.014780305,p,0
FEWS_CS_lag8,0.0038652834,p,0
