country,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,0,736,0.3324134628266601,0.49862113133084235,0.6765522741705114,0.29446273711469945,0.5015637908340136,0.672723294520184,0.3914767332787176,0.6400400833071709,0.46706150816973036
Ethiopia,1,736,0.3243893895312783,0.48673463176539333,0.6917896360615516,0.29446273711469945,0.5015637908340136,0.672723294520184,0.3914767332787176,0.6400400833071709,0.46706150816973036
Ethiopia,2,736,0.32118875780466993,0.4897575067545466,0.6879494551811611,0.29446273711469945,0.5015637908340136,0.672723294520184,0.3914767332787176,0.6400400833071709,0.46706150816973036
Ethiopia,3,736,0.3640072015507969,0.5158917396829262,0.6537578860143143,0.29446273711469945,0.5015637908340136,0.672723294520184,0.3914767332787176,0.6400400833071709,0.46706150816973036
Ethiopia,4,736,0.38717743456989817,0.5984812278050695,0.5340237222818291,0.3393523426499748,0.5676860400180442,0.5807441109018483,0.3914767332787176,0.6400400833071709,0.46706150816973036
Ethiopia,8,736,0.387942704537403,0.5987828028679282,0.5335539924908501,0.35632848335345,0.6243418367385355,0.4928836442593838,0.3914767332787176,0.6400400833071709,0.46706150816973036
Ethiopia,12,736,0.4077483135910365,0.614990960400829,0.5079602298960377,0.4335568062002808,0.714230422715344,0.33634948984949953,0.3914767332787176,0.6400400833071709,0.46706150816973036
Kenya,0,376,0.17032940591076468,0.2765367773780001,0.8094433484172222,0.1299471271589719,0.3286687943213178,0.7308246656156396,0.21308544646932087,0.36081361637046294,0.6755975279246729
Kenya,1,376,0.17386881994677988,0.27890233855982777,0.8061692708527075,0.1299471271589719,0.3286687943213178,0.7308246656156396,0.21308544646932087,0.36081361637046294,0.6755975279246729
Kenya,2,376,0.1607922879437993,0.26188068906307876,0.8291066088498847,0.1299471271589719,0.3286687943213178,0.7308246656156396,0.21308544646932087,0.36081361637046294,0.6755975279246729
Kenya,3,376,0.18049548012208358,0.31063488091937413,0.7595533341745067,0.1299471271589719,0.3286687943213178,0.7308246656156396,0.21308544646932087,0.36081361637046294,0.6755975279246729
Kenya,4,376,0.203718027557721,0.3085378974931344,0.7627887132355711,0.19269164553478632,0.3889562921679583,0.6230186017863992,0.21308544646932087,0.36081361637046294,0.6755975279246729
Kenya,8,376,0.19720207527584488,0.29736113490860033,0.779663356584866,0.21394829647235225,0.3970359174489452,0.6071941825974747,0.21308544646932087,0.36081361637046294,0.6755975279246729
Kenya,12,376,0.20096880517458335,0.31687306170859453,0.7497990477944201,0.21343106440204293,0.4012902610784334,0.5987310478764578,0.21308544646932087,0.36081361637046294,0.6755975279246729
Somalia,0,592,0.40542985349956256,0.5054580627201425,0.4523239039107897,0.46454206598115594,0.6419827990389538,0.11651269585582347,0.6047944584136697,0.7760843486313068,-0.29113418276206793
Somalia,1,592,0.3935033872008893,0.49832305369027197,0.4676766857055671,0.46454206598115594,0.6419827990389538,0.11651269585582347,0.6047944584136697,0.7760843486313068,-0.29113418276206793
Somalia,2,592,0.3754913857750437,0.48605261910449327,0.4935692072288099,0.46454206598115594,0.6419827990389538,0.11651269585582347,0.6047944584136697,0.7760843486313068,-0.29113418276206793
Somalia,3,592,0.3481446248209492,0.4511441288791802,0.5637010690151213,0.46454206598115594,0.6419827990389538,0.11651269585582347,0.6047944584136697,0.7760843486313068,-0.29113418276206793
Somalia,4,592,0.3813924474928252,0.485180633255538,0.495384666495608,0.5438322913420603,0.7446093058189397,-0.18853082057290904,0.6047944584136697,0.7760843486313068,-0.29113418276206793
Somalia,8,592,0.4345894185594519,0.5409686139315208,0.3726676744084235,0.5899313709869687,0.7953063589498266,-0.3558836971696835,0.6047944584136697,0.7760843486313068,-0.29113418276206793
Somalia,12,592,0.4227332598714384,0.5139172934882268,0.43383894319622296,0.643543595745224,0.904720150965128,-0.7546158822669828,0.6047944584136697,0.7760843486313068,-0.29113418276206793
