cluster,lead_end,scenario,n,n_zones,weighted_f1,weighted_f1_3plus,r2
agropastoral,0,ML1,65,5,0.7239437961419386,0.7239437961419386,0.6507931471685371
agropastoral,1,ML1,70,5,0.7168801010310444,0.7168801010310444,0.6109615626409511
agropastoral,2,ML1,70,5,0.685934065934066,0.685934065934066,0.5725775851843591
agropastoral,3,ML1,75,5,0.6804040404040405,0.6804040404040405,0.5453724339210992
agropastoral,4,ML2,60,5,0.7344155844155844,0.7344155844155844,0.5711406082332173
agropastoral,5,ML2,65,5,0.6924298762322098,0.6924298762322098,0.5073475906229572
agropastoral,6,ML2,70,5,0.7007759699624531,0.7007759699624531,0.36436230896786226
agropastoral,7,ML2,75,5,0.6929774872912128,0.6929774872912128,0.3703328916959059
crop_farming,0,ML1,871,67,0.7937620652456455,0.8214854132445812,0.7878307243712989
crop_farming,1,ML1,938,67,0.7925846126817065,0.8187947447071144,0.7791801382436117
crop_farming,2,ML1,938,67,0.7689655549705929,0.8092543307612649,0.7263992957830763
crop_farming,3,ML1,1005,67,0.7603446445986991,0.7996008205576152,0.7178622025906776
crop_farming,4,ML2,804,67,0.7332193600578463,0.7681600355571475,0.6572384317404287
crop_farming,5,ML2,871,67,0.7319322970106032,0.7684313236167032,0.6537930250052053
crop_farming,6,ML2,938,67,0.7380897897990552,0.7637064956198686,0.6133506258487791
crop_farming,7,ML2,1005,67,0.7251486066208317,0.7511673102514754,0.6125861914002174
pastoral,0,ML1,260,20,0.7035002844042519,0.8339544407035219,0.5665459302637277
pastoral,1,ML1,280,20,0.6842377976809071,0.8036810683869509,0.5933095003386766
pastoral,2,ML1,280,20,0.6972898424893723,0.8116786826880285,0.5684301322369185
pastoral,3,ML1,300,20,0.7096046670480246,0.823051085376247,0.5651689877931905
pastoral,4,ML2,240,20,0.7048394660894661,0.836592409240924,0.5247908406284154
pastoral,5,ML2,260,20,0.704731858242933,0.8264370331009908,0.5180575845341946
pastoral,6,ML2,280,20,0.6737802818487174,0.7792268973542897,0.5401985907750354
pastoral,7,ML2,300,20,0.6646189579409918,0.7899152542372881,0.5154202422810404
all_zones,0,ML1,1196,92,0.7714502236578589,0.8193705644897589,0.8197621676919828
all_zones,1,ML1,1288,92,0.7673275991442442,0.8118504526932409,0.8125797508094241
all_zones,2,ML1,1288,92,0.7501707962846634,0.8042562412252334,0.7783674153830217
all_zones,3,ML1,1380,92,0.7456757853644589,0.7986641402553479,0.7721084352678342
all_zones,4,ML2,1104,92,0.7257003412391427,0.779557117265355,0.7385107837359999
all_zones,5,ML2,1196,92,0.7221784523522788,0.7750471143647958,0.7338225296064946
all_zones,6,ML2,1288,92,0.7222512527306465,0.7636278887258128,0.7046824977854879
all_zones,7,ML2,1380,92,0.7114223215926816,0.7575402449104462,0.7006030691525778
