cluster,lead_end,scenario,n,n_zones,weighted_f1,weighted_f1_3plus,r2
agropastoral,0,ML1,10,5,0.6,0.6,0.13123796509776975
agropastoral,1,ML1,10,5,0.6,0.6,0.13123796509776975
agropastoral,2,ML1,10,5,0.6,0.6,0.12649922743692177
agropastoral,3,ML1,10,5,0.6,0.6,0.12649922743692177
agropastoral,4,ML2,5,5,0.6,0.6,-0.36091109837530144
agropastoral,5,ML2,5,5,0.6,0.6,-0.36091109837530144
agropastoral,6,ML2,5,5,0.6,0.6,-0.36091109837530144
agropastoral,7,ML2,5,5,0.6,0.6,-0.36091109837530144
crop_farming,0,ML1,134,67,0.6652475795889163,0.6652475795889163,0.5553240651622204
crop_farming,1,ML1,134,67,0.6652475795889163,0.6652475795889163,0.5553240651622204
crop_farming,2,ML1,134,67,0.6652475795889163,0.6652475795889163,0.5662797155708905
crop_farming,3,ML1,134,67,0.6652475795889163,0.6652475795889163,0.5662797155708905
crop_farming,4,ML2,67,67,0.6321369343757404,0.6321369343757404,0.3756580167453797
crop_farming,5,ML2,67,67,0.6321369343757404,0.6321369343757404,0.3756580167453797
crop_farming,6,ML2,67,67,0.6321369343757404,0.6321369343757404,0.3756580167453797
crop_farming,7,ML2,67,67,0.6321369343757404,0.6321369343757404,0.3756580167453797
pastoral,0,ML1,40,20,0.9368644067796611,0.9368644067796611,0.7761311196291056
pastoral,1,ML1,40,20,0.9368644067796611,0.9368644067796611,0.7761311196291056
pastoral,2,ML1,40,20,0.9368644067796611,0.9368644067796611,0.8415504715240042
pastoral,3,ML1,40,20,0.9368644067796611,0.9368644067796611,0.8415504715240042
pastoral,4,ML2,20,20,0.9519713261648747,0.9519713261648747,0.9086967296911732
pastoral,5,ML2,20,20,0.9519713261648747,0.9519713261648747,0.9086967296911732
pastoral,6,ML2,20,20,0.9519713261648747,0.9519713261648747,0.9086967296911732
pastoral,7,ML2,20,20,0.9519713261648747,0.9519713261648747,0.9086967296911732
all_zones,0,ML1,184,92,0.7261758102981724,0.7261758102981724,0.6923057854881686
all_zones,1,ML1,184,92,0.7261758102981724,0.7261758102981724,0.6923057854881686
all_zones,2,ML1,184,92,0.7261758102981724,0.7261758102981724,0.7051927664365071
all_zones,3,ML1,184,92,0.7261758102981724,0.7261758102981724,0.7051927664365071
all_zones,4,ML2,92,92,0.7032896349558742,0.7032896349558742,0.6058346117904925
all_zones,5,ML2,92,92,0.7032896349558742,0.7032896349558742,0.6058346117904925
all_zones,6,ML2,92,92,0.7032896349558742,0.7032896349558742,0.6058346117904925
all_zones,7,ML2,92,92,0.7032896349558742,0.7032896349558742,0.6058346117904925
