zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0101,crop_farming,ML2,2019-06-01,2020-01-31,7,2020-02-01,1,1,1.1915055081288386,1.1926577294495089
ET0101,crop_farming,ML1,2019-11-01,2020-01-31,2,2020-02-01,1,1,1.1926577294495089,1.1926577294495089
ET0101,crop_farming,ML2,2019-07-01,2020-01-31,6,2020-02-01,1,1,1.1915055081288386,1.1926577294495089
ET0101,crop_farming,ML1,2019-12-01,2020-01-31,1,2020-02-01,1,1,1.1926577294495089,1.1926577294495089
ET0101,crop_farming,ML1,2019-10-01,2020-01-31,3,2020-02-01,1,1,1.1926577294495089,1.1926577294495089
ET0101,crop_farming,ML1,2020-05-01,2020-05-31,0,2020-06-01,1,1,1.398059692232623,1.3975616778440445
ET0101,crop_farming,ML1,2020-04-01,2020-05-31,1,2020-06-01,1,1,1.398059692232623,1.3975616778440445
ET0101,crop_farming,ML1,2020-03-01,2020-05-31,2,2020-06-01,1,1,1.379636361275686,1.3975616778440445
ET0101,crop_farming,ML1,2020-02-01,2020-05-31,3,2020-06-01,1,1,1.379636361275686,1.3975616778440445
ET0101,crop_farming,ML2,2019-12-01,2020-05-31,5,2020-06-01,1,1,1.3858354649854687,1.3975616778440445
ET0101,crop_farming,ML2,2019-11-01,2020-05-31,6,2020-06-01,1,1,1.3858354649854687,1.3975616778440445
ET0101,crop_farming,ML2,2019-10-01,2020-05-31,7,2020-06-01,1,1,1.3858354649854687,1.3975616778440445
ET0101,crop_farming,ML1,2020-09-01,2020-09-30,0,2020-10-01,1,1,1.407587592001538,1.0
ET0101,crop_farming,ML1,2020-08-01,2020-09-30,1,2020-10-01,1,1,1.407587592001538,1.0
ET0101,crop_farming,ML1,2020-07-01,2020-09-30,2,2020-10-01,1,1,1.407587592001538,1.0
ET0101,crop_farming,ML1,2020-06-01,2020-09-30,3,2020-10-01,1,1,1.407587592001538,1.0
ET0101,crop_farming,ML2,2020-05-01,2020-09-30,4,2020-10-01,1,1,1.4080856063901164,1.0
ET0101,crop_farming,ML2,2020-04-01,2020-09-30,5,2020-10-01,1,1,1.4080856063901164,1.0
ET0101,crop_farming,ML2,2020-03-01,2020-09-30,6,2020-10-01,1,1,1.395883370840835,1.0
ET0101,crop_farming,ML2,2020-02-01,2020-09-30,7,2020-10-01,1,1,1.395883370840835,1.0
ET0101,crop_farming,ML2,2020-06-01,2021-01-31,7,2021-02-01,2,3,1.209055760273805,3.175460418449842
ET0101,crop_farming,ML2,2020-07-01,2021-01-31,6,2021-02-01,2,3,1.209055760273805,3.175460418449842
ET0101,crop_farming,ML1,2021-01-01,2021-01-31,0,2021-02-01,3,3,3.175460418449842,3.175460418449842
ET0101,crop_farming,ML1,2020-12-01,2021-01-31,1,2021-02-01,3,3,3.129221876301879,3.175460418449842
ET0101,crop_farming,ML1,2020-11-01,2021-01-31,2,2021-02-01,1,3,1.195342664576499,3.175460418449842
ET0101,crop_farming,ML1,2020-10-01,2021-01-31,3,2021-02-01,1,3,1.195342664576499,3.175460418449842
ET0101,crop_farming,ML2,2020-09-01,2021-01-31,4,2021-02-01,2,3,1.209055760273805,3.175460418449842
ET0101,crop_farming,ML2,2020-08-01,2021-01-31,5,2021-02-01,2,3,1.209055760273805,3.175460418449842
ET0101,crop_farming,ML1,2021-03-01,2021-05-31,2,2021-06-01,4,4,3.6692140760297223,3.982304674611755
ET0101,crop_farming,ML1,2021-02-01,2021-05-31,3,2021-06-01,4,4,3.6692140760297223,3.982304674611755
ET0101,crop_farming,ML2,2020-11-01,2021-05-31,6,2021-06-01,1,4,1.401713489723314,3.982304674611755
ET0101,crop_farming,ML2,2020-10-01,2021-05-31,7,2021-06-01,1,4,1.401713489723314,3.982304674611755
ET0101,crop_farming,ML1,2021-05-01,2021-05-31,0,2021-06-01,4,4,3.6692140760297223,3.982304674611755
ET0101,crop_farming,ML2,2020-12-01,2021-05-31,5,2021-06-01,3,4,2.9481173467539254,3.982304674611755
ET0101,crop_farming,ML2,2021-01-01,2021-05-31,4,2021-06-01,4,4,3.66919208433185,3.982304674611755
ET0101,crop_farming,ML1,2021-04-01,2021-05-31,1,2021-06-01,4,4,3.6692140760297223,3.982304674611755
ET0101,crop_farming,ML2,2021-05-01,2021-09-30,4,2021-10-01,4,4,3.6748361954299607,3.9760835792040994
ET0101,crop_farming,ML2,2021-04-01,2021-09-30,5,2021-10-01,4,4,3.6748361954299607,3.9760835792040994
ET0101,crop_farming,ML2,2021-03-01,2021-09-30,6,2021-10-01,4,4,3.6692140760297223,3.9760835792040994
ET0101,crop_farming,ML2,2021-02-01,2021-09-30,7,2021-10-01,4,4,3.6692140760297223,3.9760835792040994
ET0101,crop_farming,ML1,2021-06-01,2021-09-30,3,2021-10-01,4,4,3.982304674611755,3.9760835792040994
ET0101,crop_farming,ML1,2022-01-01,2022-01-31,0,2022-02-01,4,4,3.9760835792040994,3.9822826829138824
ET0101,crop_farming,ML1,2021-12-01,2022-01-31,1,2022-02-01,4,4,3.9760835792040994,3.9822826829138824
ET0101,crop_farming,ML1,2021-11-01,2022-01-31,2,2022-02-01,4,4,3.9760835792040994,3.9822826829138824
ET0101,crop_farming,ML1,2021-10-01,2022-01-31,3,2022-02-01,4,4,3.9760835792040994,3.9822826829138824
ET0101,crop_farming,ML2,2021-06-01,2022-01-31,7,2022-02-01,4,4,3.964357366345524,3.9822826829138824
ET0101,crop_farming,ML1,2022-04-01,2022-05-31,1,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML2,2022-01-01,2022-05-31,4,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML1,2022-05-01,2022-05-31,0,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML2,2021-12-01,2022-05-31,5,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML2,2021-11-01,2022-05-31,6,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML2,2021-10-01,2022-05-31,7,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML1,2022-02-01,2022-05-31,3,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML1,2022-03-01,2022-05-31,2,2022-06-01,4,4,3.9822826829138824,3.988156785192106
ET0101,crop_farming,ML2,2022-02-01,2022-09-30,7,2022-10-01,4,4,3.988156785192106,3.9817056986043378
ET0101,crop_farming,ML2,2022-04-01,2022-09-30,5,2022-10-01,4,4,3.988156785192106,3.9817056986043378
