zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0101,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,2,1.994377880599762,2.10322301507884
ET0101,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,2,1.994377880599762,2.10322301507884
ET0101,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,2,1.994377880599762,2.10322301507884
ET0101,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,2,1.994377880599762,2.10322301507884
ET0101,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,2,3,2.192719861837256,2.5764374690973666
ET0101,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,2,3,2.192719861837256,2.5764374690973666
ET0101,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,2,3,2.192719861837256,2.5764374690973666
ET0101,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,2,3,2.10322301507884,2.5764374690973666
ET0101,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,2,3,2.10322301507884,2.5764374690973666
ET0101,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,2,3,2.192719861837256,2.5764374690973666
ET0101,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,2,3,2.192719861837256,2.5764374690973666
ET0101,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,2,3,2.192719861837256,2.5764374690973666
ET0102,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,2.0,2.5548342255782797
ET0102,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,2.0,2.5548342255782797
ET0102,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,2.0,2.5548342255782797
ET0102,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,2.0,2.5548342255782797
ET0102,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.3442905609730498,2.999875804150759
ET0102,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.3442905609730498,2.999875804150759
ET0102,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.3442905609730498,2.999875804150759
ET0102,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.5282913520596035,2.999875804150759
ET0102,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.5282913520596035,2.999875804150759
ET0102,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.3442905609730498,2.999875804150759
ET0102,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.7060116679664383,2.999875804150759
ET0102,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.7060116679664383,2.999875804150759
ET0103,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,2.007212219758048,2.3545127991366934
ET0103,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,2.007212219758048,2.3545127991366934
ET0103,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,2.007212219758048,2.3545127991366934
ET0103,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,2.007212219758048,2.3545127991366934
ET0103,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.3084328127212417,2.9999999999999996
ET0103,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.3084328127212417,2.9999999999999996
ET0103,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.3084328127212417,2.9999999999999996
ET0103,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.287508262833928,2.9999999999999996
ET0103,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.287508262833928,2.9999999999999996
ET0103,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.3084328127212417,2.9999999999999996
ET0103,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.479412644362495,2.9999999999999996
ET0103,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.479412644362495,2.9999999999999996
ET0104,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,2.005016049670287,2.420749398480955
ET0104,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,2.005016049670287,2.420749398480955
ET0104,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,2.005016049670287,2.420749398480955
ET0104,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,2.005016049670287,2.420749398480955
ET0104,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.408994554699919,2.95490937914915
ET0104,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.408994554699919,2.95490937914915
ET0104,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.408994554699919,2.95490937914915
ET0104,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.420559200155815,2.95490937914915
ET0104,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.420559200155815,2.95490937914915
