feature,importance,lhz,lead
month,0.022713115,p,0
FEWS_HA,0.012270359,p,0
tp,0.0012326445,p,0
wd,0.0031404884,p,0
ds,0.010585417,p,0
SPI_1,0.0075621908,p,0
SPI_3,0.0043526078,p,0
SPI_6,0.007199717,p,0
SPI_12,0.007386473,p,0
SPI_24,0.0051025427,p,0
SPEI_1,0.004828194,p,0
SPEI_3,0.006403792,p,0
SPEI_6,0.01665998,p,0
SPEI_12,0.031328943,p,0
SPEI_24,0.016380899,p,0
SSMI_1,0.0053129327,p,0
SSMI_3,0.007027578,p,0
SSMI_6,0.03981161,p,0
SSMI_12,0.020766445,p,0
SSMI_24,0.01090312,p,0
NDVI_anom,0.00359811,p,0
NDVI_anom_range,0.005657227,p,0
NDVI_anom_crop,0.0024769804,p,0
WVG,0.013352944,p,0
MEI,0.025915734,p,0
NINA34,0.01282023,p,0
IOD,0.014204241,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.0026119526,p,0
acled_count,0.00042476552,p,0
acled_fatalities,0.0014055028,p,0
DL_area,0.0,p,0
CPI_H,0.009829042,p,0
CPI_F,0.0140058575,p,0
GDP,0.011649286,p,0
FEWS_HA_4,0.008069361,p,0
FEWS_HA_12,0.0043809535,p,0
wd_4,0.019354394,p,0
wd_12,0.018270947,p,0
ds_4,0.00964893,p,0
ds_12,0.009628417,p,0
NDVI_anom_4,0.023494579,p,0
NDVI_anom_12,0.02844443,p,0
NDVI_anom_range_4,0.008628201,p,0
NDVI_anom_range_12,0.015283117,p,0
NDVI_anom_crop_4,0.0043498734,p,0
NDVI_anom_crop_12,0.006883415,p,0
WVG_4,0.015971918,p,0
WVG_12,0.015721155,p,0
MEI_4,0.027111841,p,0
MEI_12,0.018155683,p,0
NINA34_4,0.015893955,p,0
NINA34_12,0.0054851077,p,0
IOD_4,0.0090075005,p,0
IOD_12,0.03199217,p,0
Fuel (diesel)_Pewi_4,0.0044500073,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.005004853,p,0
