lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.2608695652173913,0.058823529411764705,0.2926829268292683,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.43478260869565216,0.04411764705882353,0.47619047619047616,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.30434782608695654,0.04411764705882353,0.358974358974359,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.6086956521739131,0.024509803921568627,0.6666666666666666,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.34782608695652173,0.024509803921568627,0.4444444444444444,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.043478260869565216,0.06862745098039216,0.052631578947368425,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.0,0.0,0.0,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.0,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.006430868167202572,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0010718113612004287,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.061855670103092786,0.09861325115562404,0.0718562874251497,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.10309278350515463,0.06933744221879815,0.13157894736842102,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.061855670103092786,0.08936825885978428,0.07453416149068323,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.13402061855670103,0.08166409861325115,0.15950920245398773,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.23711340206185566,0.05084745762711865,0.3006535947712418,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.030927835051546393,0.02773497688751926,0.05084745762711865,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.25773195876288657,0.06317411402157165,0.30674846625766866,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
