feature,importance,lhz,lead
month,0.01736395,p,0
FEWS_HA,0.010970048,p,0
tp,0.0026066047,p,0
wd,0.0029989197,p,0
ds,0.010428045,p,0
SPI_1,0.006476828,p,0
SPI_3,0.005403576,p,0
SPI_6,0.008114615,p,0
SPI_12,0.0068836547,p,0
SPI_24,0.0112652015,p,0
SPEI_1,0.0053286185,p,0
SPEI_3,0.0058357245,p,0
SPEI_6,0.017332017,p,0
SPEI_12,0.030891623,p,0
SPEI_24,0.0143511705,p,0
SSMI_1,0.0021937415,p,0
SSMI_3,0.009623005,p,0
SSMI_6,0.04465708,p,0
SSMI_12,0.020280682,p,0
SSMI_24,0.009290257,p,0
NDVI_anom,0.0038499592,p,0
NDVI_anom_range,0.0055117887,p,0
NDVI_anom_crop,0.0010943769,p,0
WVG,0.024807284,p,0
MEI,0.009786534,p,0
NINA34,0.019369422,p,0
IOD,0.010589302,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.0044564647,p,0
acled_count,0.0009508082,p,0
acled_fatalities,0.0013652734,p,0
DL_area,0.0,p,0
CPI_H,0.00938812,p,0
CPI_F,0.012428506,p,0
GDP,0.013023587,p,0
FEWS_HA_4,0.009010641,p,0
FEWS_HA_12,0.0032717343,p,0
wd_4,0.020379178,p,0
wd_12,0.015897438,p,0
ds_4,0.006578873,p,0
ds_12,0.010096758,p,0
NDVI_anom_4,0.020088762,p,0
NDVI_anom_12,0.026226351,p,0
NDVI_anom_range_4,0.007136796,p,0
NDVI_anom_range_12,0.0073914705,p,0
NDVI_anom_crop_4,0.009205623,p,0
NDVI_anom_crop_12,0.0054275673,p,0
WVG_4,0.013763159,p,0
WVG_12,0.017330991,p,0
MEI_4,0.027495483,p,0
MEI_12,0.018000653,p,0
NINA34_4,0.014622751,p,0
NINA34_12,0.018054435,p,0
IOD_4,0.0145659465,p,0
IOD_12,0.032574806,p,0
Fuel (diesel)_Pewi_4,0.0,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.004107832,p,0
Maize (white)_Pewi_12,0.0017561442,p,0
acled_count_4,0.0058724685,p,0
acled_count_12,0.0043503195,p,0
acled_fatalities_4,0.003893954,p,0
acled_fatalities_12,0.013898141,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.007604673,p,0
CPI_H_12,0.008623989,p,0
CPI_F_4,0.009128926,p,0
CPI_F_12,0.0095222425,p,0
GDP_4,0.010706386,p,0
GDP_12,0.0065604993,p,0
OND,0.0,p,0
MAM,0.0,p,0
FEWS_CS_lag1,0.21709374,p,0
FEWS_CS_lag4,0.015560242,p,0
FEWS_CS_lag8,0.004836781,p,0
FEWS_CS_12,0.014567304,p,0
Ethiopia,0.005880168,p,0
Kenya,0.0,p,0
Somalia,0.0,p,0
month,0.0044203647,p,1
FEWS_HA,0.0088326335,p,1
tp,0.011606604,p,1
wd,0.0035335089,p,1
ds,0.009248718,p,1
SPI_1,0.003872085,p,1
SPI_3,0.010441313,p,1
SPI_6,0.006108262,p,1
SPI_12,0.0067175734,p,1
SPI_24,0.0063927937,p,1
SPEI_1,0.004791274,p,1
SPEI_3,0.007601894,p,1
SPEI_6,0.056248154,p,1
SPEI_12,0.027309941,p,1
SPEI_24,0.0070875916,p,1
SSMI_1,0.010468939,p,1
SSMI_3,0.012400452,p,1
SSMI_6,0.06563999,p,1
SSMI_12,0.017746126,p,1
SSMI_24,0.014245602,p,1
NDVI_anom,0.0149127245,p,1
NDVI_anom_range,0.0037849396,p,1
NDVI_anom_crop,0.0026113072,p,1
WVG,0.024244765,p,1
MEI,0.015110719,p,1
NINA34,0.0090114465,p,1
IOD,0.011040558,p,1
Fuel (diesel)_Pewi,0.0003168407,p,1
Maize (white)_Pewi,0.006124528,p,1
acled_count,0.0034066339,p,1
acled_fatalities,0.0,p,1
DL_area,0.0,p,1
CPI_H,0.009455341,p,1
CPI_F,0.009002682,p,1
GDP,0.012289702,p,1
FEWS_HA_4,0.0063870423,p,1
FEWS_HA_12,0.005023314,p,1
wd_4,0.014058318,p,1
wd_12,0.013219913,p,1
ds_4,0.006861826,p,1
ds_12,0.011183946,p,1
NDVI_anom_4,0.010524967,p,1
NDVI_anom_12,0.03318682,p,1
NDVI_anom_range_4,0.0036841757,p,1
NDVI_anom_range_12,0.008911505,p,1
NDVI_anom_crop_4,0.0032710335,p,1
NDVI_anom_crop_12,0.007517752,p,1
WVG_4,0.0056047877,p,1
WVG_12,0.016995111,p,1
MEI_4,0.0133696655,p,1
MEI_12,0.013841513,p,1
NINA34_4,0.012155968,p,1
NINA34_12,0.0037597145,p,1
IOD_4,0.014323853,p,1
IOD_12,0.028510936,p,1
Fuel (diesel)_Pewi_4,0.008490348,p,1
Fuel (diesel)_Pewi_12,0.0,p,1
Maize (white)_Pewi_4,0.0047331485,p,1
Maize (white)_Pewi_12,0.004641825,p,1
acled_count_4,0.002066108,p,1
acled_count_12,0.010786676,p,1
acled_fatalities_4,0.006949,p,1
acled_fatalities_12,0.009082522,p,1
DL_area_4,0.0,p,1
DL_area_12,0.0,p,1
CPI_H_4,0.011524665,p,1
CPI_H_12,0.006531693,p,1
CPI_F_4,0.010228475,p,1
CPI_F_12,0.009266119,p,1
GDP_4,0.010260704,p,1
GDP_12,0.0091808885,p,1
OND,0.0,p,1
MAM,0.0,p,1
FEWS_CS_lag1,0.20206189,p,1
FEWS_CS_lag4,0.0063682985,p,1
FEWS_CS_lag8,0.007735319,p,1
FEWS_CS_12,0.014336101,p,1
Ethiopia,0.01733812,p,1
Kenya,0.0,p,1
Somalia,0.0,p,1
month,0.006356988,p,2
FEWS_HA,0.003780561,p,2
tp,0.005740601,p,2
wd,0.0077710985,p,2
ds,0.009679101,p,2
SPI_1,0.004475067,p,2
SPI_3,0.025514014,p,2
SPI_6,0.03474128,p,2
SPI_12,0.018638566,p,2
SPI_24,0.015010156,p,2
SPEI_1,0.005192857,p,2
SPEI_3,0.016803201,p,2
SPEI_6,0.050578263,p,2
SPEI_12,0.0078193955,p,2
SPEI_24,0.002465315,p,2
SSMI_1,0.018634014,p,2
SSMI_3,0.04113661,p,2
SSMI_6,0.05009107,p,2
SSMI_12,0.013618097,p,2
SSMI_24,0.009639168,p,2
NDVI_anom,0.011280641,p,2
NDVI_anom_range,0.006181628,p,2
NDVI_anom_crop,0.0074829124,p,2
WVG,0.020616734,p,2
MEI,0.022280587,p,2
NINA34,0.0152748125,p,2
IOD,0.013364484,p,2
Fuel (diesel)_Pewi,0.0033452765,p,2
Maize (white)_Pewi,0.0,p,2
acled_count,0.002986543,p,2
acled_fatalities,0.006848701,p,2
DL_area,0.0,p,2
CPI_H,0.007831245,p,2
CPI_F,0.008907539,p,2
GDP,0.010168385,p,2
FEWS_HA_4,0.008391883,p,2
FEWS_HA_12,0.004789762,p,2
wd_4,0.0076101595,p,2
wd_12,0.01578915,p,2
ds_4,0.009478656,p,2
ds_12,0.009457645,p,2
NDVI_anom_4,0.008822323,p,2
NDVI_anom_12,0.027900878,p,2
NDVI_anom_range_4,0.004811354,p,2
NDVI_anom_range_12,0.006015288,p,2
NDVI_anom_crop_4,0.00408461,p,2
NDVI_anom_crop_12,0.003163318,p,2
WVG_4,0.007609279,p,2
WVG_12,0.015927559,p,2
MEI_4,0.007035712,p,2
MEI_12,0.0108275935,p,2
NINA34_4,0.0151517475,p,2
NINA34_12,0.0048144213,p,2
IOD_4,0.034003094,p,2
IOD_12,0.01347508,p,2
Fuel (diesel)_Pewi_4,0.0,p,2
Fuel (diesel)_Pewi_12,0.0031346285,p,2
Maize (white)_Pewi_4,0.0047385804,p,2
Maize (white)_Pewi_12,0.005471597,p,2
acled_count_4,0.0063805743,p,2
acled_count_12,0.006338601,p,2
acled_fatalities_4,0.008932642,p,2
acled_fatalities_12,0.0058296532,p,2
DL_area_4,0.0,p,2
DL_area_12,0.0,p,2
CPI_H_4,0.0059586195,p,2
CPI_H_12,0.0050754338,p,2
CPI_F_4,0.0048365863,p,2
CPI_F_12,0.0073562167,p,2
GDP_4,0.007774799,p,2
GDP_12,0.0070181065,p,2
OND,0.0,p,2
MAM,0.0,p,2
FEWS_CS_lag1,0.17404994,p,2
FEWS_CS_lag4,0.0076230466,p,2
FEWS_CS_lag8,0.008235001,p,2
FEWS_CS_12,0.011452737,p,2
Ethiopia,0.016378842,p,2
Kenya,0.0,p,2
Somalia,0.0,p,2
month,0.014628134,p,3
FEWS_HA,0.027441429,p,3
tp,0.0035887917,p,3
wd,0.005798855,p,3
ds,0.006816984,p,3
SPI_1,0.004539036,p,3
SPI_3,0.004427772,p,3
SPI_6,0.021736417,p,3
SPI_12,0.01618853,p,3
SPI_24,0.0061612744,p,3
SPEI_1,0.0062581333,p,3
SPEI_3,0.030248027,p,3
SPEI_6,0.03897947,p,3
SPEI_12,0.01785426,p,3
SPEI_24,0.015781235,p,3
SSMI_1,0.019653047,p,3
SSMI_3,0.09079874,p,3
SSMI_6,0.015866261,p,3
SSMI_12,0.017625734,p,3
SSMI_24,0.0068634325,p,3
NDVI_anom,0.00628264,p,3
NDVI_anom_range,0.007414738,p,3
NDVI_anom_crop,0.008992542,p,3
WVG,0.014788082,p,3
MEI,0.012357774,p,3
NINA34,0.022981184,p,3
IOD,0.012516316,p,3
Fuel (diesel)_Pewi,0.003713554,p,3
Maize (white)_Pewi,0.00090912473,p,3
acled_count,0.0010145959,p,3
acled_fatalities,0.0019000389,p,3
DL_area,0.0,p,3
CPI_H,0.009218405,p,3
CPI_F,0.011315292,p,3
GDP,0.00357013,p,3
FEWS_HA_4,0.004667939,p,3
FEWS_HA_12,0.0075854873,p,3
wd_4,0.008869675,p,3
wd_12,0.018275334,p,3
ds_4,0.010013107,p,3
ds_12,0.013986314,p,3
NDVI_anom_4,0.013196951,p,3
NDVI_anom_12,0.022699937,p,3
NDVI_anom_range_4,0.009887099,p,3
NDVI_anom_range_12,0.0037127489,p,3
NDVI_anom_crop_4,0.002619874,p,3
NDVI_anom_crop_12,0.002859373,p,3
WVG_4,0.014909023,p,3
WVG_12,0.031459376,p,3
MEI_4,0.049149305,p,3
MEI_12,0.023750655,p,3
NINA34_4,0.007976068,p,3
NINA34_12,0.0063586617,p,3
IOD_4,0.0103685185,p,3
IOD_12,0.02461653,p,3
Fuel (diesel)_Pewi_4,0.0,p,3
Fuel (diesel)_Pewi_12,0.0,p,3
Maize (white)_Pewi_4,0.0,p,3
Maize (white)_Pewi_12,0.0021517081,p,3
acled_count_4,0.0053943386,p,3
acled_count_12,0.006654713,p,3
acled_fatalities_4,0.0037441931,p,3
