lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,227,0.4323007049032151,0.5289547424145332,0.4638922373441836,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,1,227,0.4142878936390585,0.505502028018029,0.5103780605826616,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,2,227,0.4022939151629041,0.5001955341161625,0.5206036919436281,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,3,227,0.4187041670422095,0.5130753023467247,0.4955974368914464,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,4,227,0.4557954433776631,0.5667264169525553,0.38459364135301866,0.6405702890175597,0.8064359664894879,-0.24610558587940723,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,8,227,0.509275392403433,0.6252337488842274,0.25096883127013236,0.6512604841591626,0.8467056595682206,-0.3736623361810132,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,12,227,0.5784818059722134,0.7539031799959661,-0.08904597853576202,0.731789293022718,0.9952208532302699,-0.8978155468196853,0.5866989825166073,0.7618359413469675,-0.11208499390085902
other,0,970,0.269920006983193,0.4394875713189549,0.6223606327586632,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,1,970,0.25343765425483056,0.4259546440136976,0.6452594942648686,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,2,970,0.2685433375534533,0.43818177094386185,0.6246013743900394,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,3,970,0.26541168813311206,0.46209394770630974,0.582511394804988,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,4,970,0.29335557384882005,0.5191589673462005,0.4730313423669458,0.2671360330024025,0.5185511012829026,0.4742646402728312,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,8,970,0.31796964724365917,0.5453363512926405,0.4185492140784446,0.27942952581392333,0.5548387581969115,0.3981092793593106,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,12,970,0.32265099023216653,0.5465444715092184,0.4159701065098651,0.3197117921375171,0.6181401343658717,0.25293575690007797,0.2772153559822633,0.5225949356108551,0.46603294906154147
p,0,746,0.37156045776790075,0.45613758726481185,0.4988011691326276,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,1,746,0.3585767217174062,0.4462135610438906,0.5203727416646917,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,2,746,0.3534745453628508,0.460597372113371,0.48895253445251463,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,3,746,0.3399907767710426,0.44093809242236903,0.5316467210846066,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,4,746,0.35631649483326644,0.458581947577419,0.49341510519025056,0.46512475957009486,0.6620439177302307,-0.055824966244841345,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,8,746,0.4222732803603827,0.5513208639748846,0.2678042843848024,0.4976057792397977,0.6880738116841784,-0.1404818672328545,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,12,746,0.40065156340873853,0.49005011442813573,0.4215053897258604,0.5205084045244626,0.7432066979328589,-0.3305694785358335,0.5318756259885532,0.6871099777456932,-0.1372889968669455
