country,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,0,840,0.32703938793285725,0.47622888304699074,0.6908364606124231,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,1,840,0.31060077841567413,0.4645311644224508,0.7058380351220703,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,2,840,0.3309146529683561,0.48133947956982154,0.6841653492370673,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,3,840,0.33586286464790205,0.51866305619342,0.6332860450916934,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,4,840,0.3715964981542922,0.5808881248178448,0.5400169762578224,0.34008991409813094,0.564728702697583,0.565253063341284,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,8,840,0.4086837616056739,0.6240998193054916,0.46903618994386265,0.34927543789656423,0.6093039807374865,0.4939134000272799,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,12,840,0.40163107863987546,0.6083129323479544,0.49555838653213136,0.4064084311590049,0.6816052427299416,0.3666808038656916,0.3744003635031203,0.6127281002890081,0.48820928422147336
Kenya,0,431,0.18374998046088556,0.3112706658987135,0.7743830170840086,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,1,431,0.18711774967878184,0.32033079328444986,0.7610578449983092,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,2,431,0.17402521274672156,0.3067212268686809,0.7809299218669212,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,3,431,0.184966953062254,0.32622279038965984,0.7521870519843181,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,4,431,0.2125487309712773,0.3562877168043989,0.704404990292606,0.21420119081364214,0.4179937030167103,0.593149479160962,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,8,431,0.23145206604829108,0.3785687937056432,0.6662778597391634,0.24367502065790586,0.4469299233407327,0.5348700940767845,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,12,431,0.21571507383737124,0.35105743046467225,0.7130199299887798,0.2534926665131604,0.48687012591086387,0.44802214770505744,0.2212525354249407,0.3711684761071764,0.6791976319549726
Somalia,0,672,0.42147238220139777,0.5085803964060761,0.4090954626000255,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,1,672,0.3955709924162435,0.4834230116099973,0.46610883748236387,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,2,672,0.3906645711640766,0.49721871223142416,0.4352021670210655,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,3,672,0.36351598185242395,0.45657686967565914,0.5237599607673766,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,4,672,0.3721473451301723,0.477275430614514,0.4796012446523794,0.5558307100825854,0.7639899715223955,-0.3334397845808901,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,8,672,0.4404787780285635,0.5656452176988835,0.2690522522359935,0.5828591957140674,0.7873610357620282,-0.41626959246289896,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,12,672,0.46552022902144424,0.5900543149996175,0.20460643295012215,0.6159188336667581,0.8755186927186707,-0.7511725408414831,0.5788729660874339,0.7461410451204163,-0.2718618923365965
