lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.21739130434782608,0.08333333333333333,0.22222222222222224,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.43478260869565216,0.05392156862745098,0.4545454545454545,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.34782608695652173,0.04411764705882353,0.39999999999999997,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.4782608695652174,0.03431372549019608,0.5365853658536586,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.34782608695652173,0.03431372549019608,0.4210526315789474,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.043478260869565216,0.05392156862745098,0.057142857142857134,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.30434782608695654,0.07352941176470588,0.31111111111111117,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.0,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.006430868167202572,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.006430868167202572,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.061855670103092786,0.10631741140215717,0.06976744186046512,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.08247422680412371,0.07704160246533127,0.1032258064516129,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.10309278350515463,0.06779661016949153,0.1324503311258278,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.20618556701030927,0.08012326656394453,0.23668639053254437,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.18556701030927836,0.04468412942989214,0.25,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.030927835051546393,0.06471494607087827,0.04225352112676056,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.2268041237113402,0.04776579352850539,0.2933333333333334,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
