feature,importance,lhz,lead
month,0.019060591,p,0
FEWS_HA,0.012336363,p,0
tp,0.0015117201,p,0
wd,0.0043654023,p,0
ds,0.0107763065,p,0
SPI_1,0.0048762616,p,0
SPI_3,0.004792398,p,0
SPI_6,0.007795894,p,0
SPI_12,0.0073564523,p,0
SPI_24,0.0051726094,p,0
SPEI_1,0.006165071,p,0
SPEI_3,0.0076831635,p,0
SPEI_6,0.015816566,p,0
SPEI_12,0.032345142,p,0
SPEI_24,0.018361976,p,0
SSMI_1,0.004372366,p,0
SSMI_3,0.0066352715,p,0
SSMI_6,0.04527778,p,0
SSMI_12,0.020611897,p,0
SSMI_24,0.009511871,p,0
NDVI_anom,0.0045600566,p,0
NDVI_anom_range,0.0034818025,p,0
NDVI_anom_crop,0.0008941172,p,0
WVG,0.0116225695,p,0
MEI,0.024817813,p,0
NINA34,0.010323105,p,0
IOD,0.014204993,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.0037627744,p,0
acled_count,0.0033752373,p,0
acled_fatalities,0.0014285726,p,0
DL_area,0.0,p,0
CPI_H,0.009698546,p,0
CPI_F,0.013493722,p,0
GDP,0.012610847,p,0
FEWS_HA_4,0.008813973,p,0
FEWS_HA_12,0.0039683105,p,0
wd_4,0.019119184,p,0
wd_12,0.018451996,p,0
ds_4,0.009834274,p,0
ds_12,0.008953746,p,0
NDVI_anom_4,0.017938355,p,0
NDVI_anom_12,0.033759,p,0
NDVI_anom_range_4,0.0047684666,p,0
NDVI_anom_range_12,0.007958457,p,0
NDVI_anom_crop_4,0.0003119928,p,0
NDVI_anom_crop_12,0.009152981,p,0
WVG_4,0.016364932,p,0
WVG_12,0.015948286,p,0
MEI_4,0.027523084,p,0
MEI_12,0.019960998,p,0
NINA34_4,0.015646098,p,0
NINA34_12,0.005665326,p,0
IOD_4,0.009356321,p,0
IOD_12,0.032631516,p,0
Fuel (diesel)_Pewi_4,0.0,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.0054077106,p,0
Maize (white)_Pewi_12,0.0013507719,p,0
acled_count_4,0.0047360435,p,0
acled_count_12,0.0040473947,p,0
acled_fatalities_4,0.006416169,p,0
acled_fatalities_12,0.006822826,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.0093097985,p,0
CPI_H_12,0.00901544,p,0
CPI_F_4,0.009812085,p,0
CPI_F_12,0.009019184,p,0
GDP_4,0.013958194,p,0
GDP_12,0.005383716,p,0
OND,0.0,p,0
MAM,0.0,p,0
FEWS_CS_lag1,0.22449766,p,0
FEWS_CS_lag4,0.01606805,p,0
FEWS_CS_lag8,0.0055720815,p,0
FEWS_CS_12,0.013091867,p,0
Ethiopia,0.010264405,p,0
Kenya,0.0,p,0
Somalia,0.0,p,0
month,0.0059494535,p,1
FEWS_HA,0.008915573,p,1
tp,0.00628738,p,1
wd,0.0050988137,p,1
ds,0.0088003175,p,1
SPI_1,0.0037027476,p,1
SPI_3,0.014406512,p,1
SPI_6,0.0058722175,p,1
SPI_12,0.004249678,p,1
SPI_24,0.011209239,p,1
SPEI_1,0.0054912707,p,1
SPEI_3,0.008210658,p,1
SPEI_6,0.057588033,p,1
SPEI_12,0.016823757,p,1
SPEI_24,0.007708038,p,1
SSMI_1,0.011685701,p,1
SSMI_3,0.0127464235,p,1
SSMI_6,0.051266678,p,1
SSMI_12,0.018279994,p,1
SSMI_24,0.013589062,p,1
NDVI_anom,0.014422808,p,1
NDVI_anom_range,0.006771379,p,1
NDVI_anom_crop,0.0073531438,p,1
WVG,0.025024405,p,1
MEI,0.017567458,p,1
NINA34,0.012382155,p,1
IOD,0.0106631955,p,1
Fuel (diesel)_Pewi,0.0,p,1
Maize (white)_Pewi,0.005468284,p,1
acled_count,0.002858797,p,1
acled_fatalities,0.0,p,1
DL_area,0.0,p,1
CPI_H,0.008837347,p,1
CPI_F,0.011043432,p,1
GDP,0.014023155,p,1
FEWS_HA_4,0.006568061,p,1
FEWS_HA_12,0.004967586,p,1
wd_4,0.017544044,p,1
wd_12,0.01643283,p,1
