country,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
Ethiopia,0,840,0.332927071031613,0.4911534635051343,0.6711550103613078,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,1,840,0.3090995518518538,0.4637173263027851,0.7068678498228995,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,2,840,0.32611135572823785,0.4782150666108743,0.6882522576483308,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,3,840,0.3349298054748505,0.5161962103068296,0.6367660520992935,0.27792823522995624,0.48478054939352666,0.6796334381767473,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,4,840,0.37481623564598554,0.5853085040503987,0.53298968233137,0.34008991409813094,0.564728702697583,0.565253063341284,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,8,840,0.39787309626367556,0.5976568552657557,0.5130766312382276,0.34927543789656423,0.6093039807374865,0.4939134000272799,0.3744003635031203,0.6127281002890081,0.48820928422147336
Ethiopia,12,840,0.41282934997083065,0.6308109490881794,0.45755557130638413,0.4064084311590049,0.6816052427299416,0.3666808038656916,0.3744003635031203,0.6127281002890081,0.48820928422147336
Kenya,0,431,0.1891159103090708,0.321665167217167,0.7590630179763169,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,1,431,0.1805557587529411,0.3138230378211709,0.7706677975567419,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,2,431,0.1822468472777417,0.3164678120214516,0.7667860704545706,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,3,431,0.18263945776972582,0.3208948636232936,0.760215597844162,0.14619574038728408,0.3430732913780077,0.7259251305435226,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,4,431,0.21237757587524866,0.35562767559009195,0.7054991855683044,0.21420119081364214,0.4179937030167103,0.593149479160962,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,8,431,0.23162417003912097,0.3797106254163714,0.6642616915117487,0.24367502065790586,0.4469299233407327,0.5348700940767845,0.2212525354249407,0.3711684761071764,0.6791976319549726
Kenya,12,431,0.22536780338724938,0.3667902139318142,0.6867212928535231,0.2534926665131604,0.48687012591086387,0.44802214770505744,0.2212525354249407,0.3711684761071764,0.6791976319549726
Somalia,0,672,0.4220911171943266,0.5122984321609716,0.40042412984755593,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,1,672,0.4041987349016861,0.49937140369795663,0.4303010343624595,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,2,672,0.3803785652503934,0.4884887483394915,0.45486103852153237,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,3,672,0.35478321918223754,0.4466572440277565,0.5442288232162045,0.4977425871085408,0.6712238556211492,-0.029278400455755582,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,4,672,0.3685988479288199,0.4717401414493709,0.4916020874000676,0.5558307100825854,0.7639899715223955,-0.3334397845808901,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,8,672,0.4467226803086129,0.5769342848619696,0.23958480066621735,0.5828591957140674,0.7873610357620282,-0.41626959246289896,0.5788729660874339,0.7461410451204163,-0.2718618923365965
Somalia,12,672,0.4331416777232124,0.5393853760223192,0.3353447676449193,0.6159188336667581,0.8755186927186707,-0.7511725408414831,0.5788729660874339,0.7461410451204163,-0.2718618923365965
