feature,importance,lhz,lead
month,0.020150421,p,0
FEWS_HA,0.011081603,p,0
tp,0.0003619796,p,0
wd,0.005622274,p,0
ds,0.009548287,p,0
SPI_1,0.005697623,p,0
SPI_3,0.0044953097,p,0
SPI_6,0.007485187,p,0
SPI_12,0.007627372,p,0
SPI_24,0.0042022443,p,0
SPEI_1,0.0040973537,p,0
SPEI_3,0.0048439885,p,0
SPEI_6,0.014475443,p,0
SPEI_12,0.031318296,p,0
SPEI_24,0.017613947,p,0
SSMI_1,0.0033511787,p,0
SSMI_3,0.0062572956,p,0
SSMI_6,0.046481688,p,0
SSMI_12,0.018411582,p,0
SSMI_24,0.009256663,p,0
NDVI_anom,0.003981985,p,0
NDVI_anom_range,0.0025290323,p,0
NDVI_anom_crop,0.0019849567,p,0
WVG,0.015976524,p,0
MEI,0.024956657,p,0
NINA34,0.010065129,p,0
IOD,0.009769887,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.00438018,p,0
acled_count,0.0033599942,p,0
acled_fatalities,0.0010657253,p,0
DL_area,0.0,p,0
CPI_H,0.010716912,p,0
CPI_F,0.013767989,p,0
GDP,0.012544423,p,0
FEWS_HA_4,0.0074153175,p,0
FEWS_HA_12,0.004695212,p,0
wd_4,0.018390851,p,0
wd_12,0.016982753,p,0
ds_4,0.008879034,p,0
ds_12,0.008211811,p,0
NDVI_anom_4,0.019974701,p,0
NDVI_anom_12,0.031304874,p,0
NDVI_anom_range_4,0.0050490606,p,0
NDVI_anom_range_12,0.007725132,p,0
NDVI_anom_crop_4,0.0011983062,p,0
NDVI_anom_crop_12,0.011314139,p,0
WVG_4,0.010144779,p,0
WVG_12,0.014374632,p,0
MEI_4,0.027593518,p,0
MEI_12,0.02087901,p,0
NINA34_4,0.014992641,p,0
NINA34_12,0.0057399883,p,0
IOD_4,0.010001044,p,0
IOD_12,0.0323157,p,0
Fuel (diesel)_Pewi_4,0.0045713168,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.0047234697,p,0
Maize (white)_Pewi_12,0.0011622909,p,0
acled_count_4,0.00510619,p,0
acled_count_12,0.004534423,p,0
acled_fatalities_4,0.010237812,p,0
acled_fatalities_12,0.012379526,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
