lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.2608695652173913,0.06862745098039216,0.27906976744186046,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.4782608695652174,0.04411764705882353,0.5116279069767442,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.2608695652173913,0.06372549019607843,0.28571428571428575,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.43478260869565216,0.04411764705882353,0.47619047619047616,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.43478260869565216,0.029411764705882353,0.5128205128205128,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.17391304347826086,0.09313725490196079,0.17391304347826086,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.043478260869565216,0.11764705882352941,0.041666666666666664,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.007502679528403001,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.007502679528403001,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0010718113612004287,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.07216494845360824,0.10477657935285054,0.0813953488372093,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.10309278350515463,0.0662557781201849,0.13333333333333333,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.07216494845360824,0.08936825885978428,0.08641975308641975,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.1958762886597938,0.08166409861325115,0.22485207100591717,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.26804123711340205,0.05084745762711865,0.3333333333333333,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.020618556701030927,0.026194144838212634,0.034482758620689655,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.26804123711340205,0.05546995377503852,0.3270440251572327,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
