feature,importance,lhz,lead
month,0.023847247,p,0
FEWS_HA,0.01113619,p,0
tp,0.0041340007,p,0
wd,0.0054848674,p,0
ds,0.010923961,p,0
SPI_1,0.004753716,p,0
SPI_3,0.004080833,p,0
SPI_6,0.0060770484,p,0
SPI_12,0.006848686,p,0
SPI_24,0.010214292,p,0
SPEI_1,0.0035523148,p,0
SPEI_3,0.005814808,p,0
SPEI_6,0.018297438,p,0
SPEI_12,0.032429166,p,0
SPEI_24,0.014222291,p,0
SSMI_1,0.004371345,p,0
SSMI_3,0.007867279,p,0
SSMI_6,0.046861,p,0
SSMI_12,0.020567907,p,0
SSMI_24,0.006776601,p,0
NDVI_anom,0.0041578934,p,0
NDVI_anom_range,0.0028858525,p,0
NDVI_anom_crop,0.0019977423,p,0
WVG,0.030786276,p,0
MEI,0.011496169,p,0
NINA34,0.016960328,p,0
IOD,0.01392455,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.0,p,0
acled_count,0.0032545861,p,0
acled_fatalities,0.0009054974,p,0
DL_area,0.0,p,0
CPI_H,0.010605048,p,0
CPI_F,0.013346132,p,0
GDP,0.015246373,p,0
FEWS_HA_4,0.007817316,p,0
FEWS_HA_12,0.0049942145,p,0
wd_4,0.019694349,p,0
wd_12,0.01637595,p,0
ds_4,0.0066417577,p,0
ds_12,0.010823939,p,0
NDVI_anom_4,0.016679306,p,0
NDVI_anom_12,0.03211433,p,0
NDVI_anom_range_4,0.0041053216,p,0
NDVI_anom_range_12,0.004500232,p,0
NDVI_anom_crop_4,0.0006530717,p,0
NDVI_anom_crop_12,0.010273713,p,0
WVG_4,0.0,p,0
WVG_12,0.016062774,p,0
MEI_4,0.031269006,p,0
MEI_12,0.016593713,p,0
NINA34_4,0.014500311,p,0
NINA34_12,0.0,p,0
IOD_4,0.015638039,p,0
IOD_12,0.034358207,p,0
Fuel (diesel)_Pewi_4,0.0,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.0,p,0
Maize (white)_Pewi_12,0.0014361158,p,0
acled_count_4,0.0056242337,p,0
acled_count_12,0.0034942748,p,0
acled_fatalities_4,0.009008446,p,0
acled_fatalities_12,0.015638065,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.007408196,p,0
CPI_H_12,0.009373437,p,0
CPI_F_4,0.015067717,p,0
CPI_F_12,0.014270063,p,0
GDP_4,0.0135579705,p,0
GDP_12,0.009801405,p,0
OND,0.0,p,0
MAM,0.0,p,0
FEWS_CS_lag1,0.21149805,p,0
FEWS_CS_lag4,0.016379077,p,0
FEWS_CS_lag8,0.004850955,p,0
FEWS_CS_12,0.014622088,p,0
Ethiopia,0.011046925,p,0
Kenya,0.0,p,0
Somalia,0.0,p,0
month,0.0054451237,p,1
FEWS_HA,0.009871192,p,1
tp,0.011760447,p,1
wd,0.005051974,p,1
ds,0.007864569,p,1
SPI_1,0.0033544085,p,1
SPI_3,0.009057895,p,1
SPI_6,0.007998675,p,1
SPI_12,0.0063888514,p,1
SPI_24,0.0068314425,p,1
SPEI_1,0.0056010997,p,1
SPEI_3,0.008293634,p,1
SPEI_6,0.05183987,p,1
SPEI_12,0.020213222,p,1
SPEI_24,0.010706616,p,1
SSMI_1,0.012332704,p,1
SSMI_3,0.011562238,p,1
SSMI_6,0.0636918,p,1
SSMI_12,0.015939297,p,1
SSMI_24,0.01364564,p,1
NDVI_anom,0.01651578,p,1
NDVI_anom_range,0.004494424,p,1
NDVI_anom_crop,0.0008579883,p,1
WVG,0.01938904,p,1
MEI,0.01659409,p,1
NINA34,0.008939028,p,1
IOD,0.012998758,p,1
Fuel (diesel)_Pewi,0.0,p,1
Maize (white)_Pewi,0.0062302696,p,1
acled_count,0.0,p,1
acled_fatalities,0.0,p,1
DL_area,0.0,p,1
CPI_H,0.009152538,p,1
CPI_F,0.01315352,p,1
GDP,0.008453854,p,1
FEWS_HA_4,0.0061570797,p,1
FEWS_HA_12,0.006154619,p,1
wd_4,0.014883136,p,1
wd_12,0.014565471,p,1
ds_4,0.0059481324,p,1
ds_12,0.010358651,p,1
NDVI_anom_4,0.0094557535,p,1
NDVI_anom_12,0.04045399,p,1
NDVI_anom_range_4,0.0072355857,p,1
NDVI_anom_range_12,0.006659334,p,1
NDVI_anom_crop_4,0.001755823,p,1
NDVI_anom_crop_12,0.0052323216,p,1
WVG_4,0.00506366,p,1
WVG_12,0.0162065,p,1
MEI_4,0.010974,p,1
MEI_12,0.014100464,p,1
NINA34_4,0.012437663,p,1
NINA34_12,0.004061079,p,1
IOD_4,0.015182836,p,1
IOD_12,0.029554984,p,1
Fuel (diesel)_Pewi_4,0.0,p,1
Fuel (diesel)_Pewi_12,0.0,p,1
Maize (white)_Pewi_4,0.004637041,p,1
Maize (white)_Pewi_12,0.0015111269,p,1
acled_count_4,0.009990392,p,1
acled_count_12,0.01050739,p,1
acled_fatalities_4,0.0048434637,p,1
acled_fatalities_12,0.011305531,p,1
DL_area_4,0.0,p,1
DL_area_12,0.0,p,1
CPI_H_4,0.010358912,p,1
CPI_H_12,0.0053755813,p,1
CPI_F_4,0.010957727,p,1
CPI_F_12,0.016197726,p,1
GDP_4,0.016176147,p,1
GDP_12,0.010834361,p,1
OND,0.0,p,1
MAM,0.0,p,1
FEWS_CS_lag1,0.20252195,p,1
FEWS_CS_lag4,0.0072177844,p,1
FEWS_CS_lag8,0.008353775,p,1
FEWS_CS_12,0.013694665,p,1
Ethiopia,0.014845316,p,1
Kenya,0.0,p,1
Somalia,0.0,p,1
month,0.0053269863,p,2
FEWS_HA,0.0038592247,p,2
tp,0.0072706374,p,2
wd,0.0069863074,p,2
ds,0.009997682,p,2
SPI_1,0.0051289434,p,2
SPI_3,0.02393376,p,2
SPI_6,0.032050196,p,2
SPI_12,0.012989837,p,2
SPI_24,0.011517446,p,2
SPEI_1,0.004746685,p,2
SPEI_3,0.015394408,p,2
SPEI_6,0.05073341,p,2
SPEI_12,0.009094097,p,2
SPEI_24,0.006801914,p,2
SSMI_1,0.017402006,p,2
SSMI_3,0.044095043,p,2
SSMI_6,0.054700006,p,2
SSMI_12,0.01409501,p,2
SSMI_24,0.003922997,p,2
NDVI_anom,0.013665476,p,2
NDVI_anom_range,0.0062471214,p,2
NDVI_anom_crop,0.006654905,p,2
WVG,0.018740103,p,2
MEI,0.021056853,p,2
NINA34,0.0141016105,p,2
IOD,0.012167296,p,2
Fuel (diesel)_Pewi,0.0022788171,p,2
Maize (white)_Pewi,0.0019686788,p,2
acled_count,0.0021688498,p,2
acled_fatalities,0.0073722345,p,2
DL_area,0.0,p,2
CPI_H,0.0066829855,p,2
CPI_F,0.00819546,p,2
GDP,0.011727839,p,2
FEWS_HA_4,0.009152962,p,2
FEWS_HA_12,0.004235151,p,2
wd_4,0.005860671,p,2
wd_12,0.014372357,p,2
ds_4,0.010038722,p,2
ds_12,0.00877152,p,2
NDVI_anom_4,0.007850041,p,2
NDVI_anom_12,0.024449492,p,2
NDVI_anom_range_4,0.0040607606,p,2
NDVI_anom_range_12,0.006673236,p,2
NDVI_anom_crop_4,0.004255682,p,2
NDVI_anom_crop_12,0.0035007978,p,2
WVG_4,0.0074897218,p,2
WVG_12,0.015434012,p,2
MEI_4,0.0069580274,p,2
MEI_12,0.011064909,p,2
NINA34_4,0.01657727,p,2
NINA34_12,0.0,p,2
IOD_4,0.03262063,p,2
IOD_12,0.012867331,p,2
Fuel (diesel)_Pewi_4,0.0,p,2
Fuel (diesel)_Pewi_12,0.0,p,2
Maize (white)_Pewi_4,0.0047595724,p,2
Maize (white)_Pewi_12,0.005709752,p,2
acled_count_4,0.012968414,p,2
acled_count_12,0.0055344533,p,2
acled_fatalities_4,0.006097581,p,2
acled_fatalities_12,0.006381573,p,2
