lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.21739130434782608,0.06862745098039216,0.23809523809523808,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.4782608695652174,0.0392156862745098,0.5238095238095238,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.30434782608695654,0.05392156862745098,0.34146341463414637,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.30434782608695654,0.058823529411764705,0.3333333333333333,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.5217391304347826,0.0196078431372549,0.6153846153846153,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.21739130434782608,0.08823529411764706,0.21739130434782608,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.0,0.10294117647058823,0.0,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.007502679528403001,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0010718113612004287,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.061855670103092786,0.10477657935285054,0.07017543859649122,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.12371134020618557,0.06779661016949153,0.1568627450980392,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.08247422680412371,0.08936825885978428,0.09815950920245399,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.17525773195876287,0.08320493066255778,0.20238095238095238,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.25773195876288657,0.04160246533127889,0.3355704697986577,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.030927835051546393,0.029275808936825885,0.050420168067226885,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.25773195876288657,0.06933744221879815,0.2994011976047904,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
