feature,importance,lhz,lead
month,0.022553628,p,0
FEWS_HA,0.010226716,p,0
tp,0.0025328035,p,0
wd,0.003159986,p,0
ds,0.009218487,p,0
SPI_1,0.0074290964,p,0
SPI_3,0.0045785536,p,0
SPI_6,0.0071429084,p,0
SPI_12,0.007012231,p,0
SPI_24,0.0115840435,p,0
SPEI_1,0.0042060977,p,0
SPEI_3,0.0055493037,p,0
SPEI_6,0.017321462,p,0
SPEI_12,0.030001435,p,0
SPEI_24,0.012942304,p,0
SSMI_1,0.004193009,p,0
SSMI_3,0.009972285,p,0
SSMI_6,0.045679905,p,0
SSMI_12,0.021477597,p,0
SSMI_24,0.007174047,p,0
NDVI_anom,0.0035787066,p,0
NDVI_anom_range,0.0036586826,p,0
NDVI_anom_crop,0.00088655675,p,0
WVG,0.030858941,p,0
MEI,0.010157442,p,0
NINA34,0.017007973,p,0
IOD,0.0131219635,p,0
Fuel (diesel)_Pewi,0.0,p,0
Maize (white)_Pewi,0.0,p,0
acled_count,0.0006308439,p,0
acled_fatalities,0.0,p,0
DL_area,0.0,p,0
CPI_H,0.009684121,p,0
CPI_F,0.01315458,p,0
GDP,0.0146725755,p,0
FEWS_HA_4,0.007945045,p,0
FEWS_HA_12,0.004046214,p,0
wd_4,0.018039282,p,0
wd_12,0.015751923,p,0
ds_4,0.007963577,p,0
ds_12,0.010349863,p,0
NDVI_anom_4,0.015736178,p,0
NDVI_anom_12,0.02887036,p,0
NDVI_anom_range_4,0.008123213,p,0
NDVI_anom_range_12,0.00719551,p,0
NDVI_anom_crop_4,0.008745585,p,0
NDVI_anom_crop_12,0.0071667703,p,0
WVG_4,0.007190358,p,0
WVG_12,0.016055636,p,0
MEI_4,0.033555415,p,0
MEI_12,0.01507467,p,0
NINA34_4,0.014435612,p,0
NINA34_12,0.01782677,p,0
IOD_4,0.015565033,p,0
IOD_12,0.03383325,p,0
Fuel (diesel)_Pewi_4,0.0,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.0,p,0
Maize (white)_Pewi_12,0.001363914,p,0
acled_count_4,0.0047369814,p,0
acled_count_12,0.00403283,p,0
acled_fatalities_4,0.0018416285,p,0
acled_fatalities_12,0.013448145,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.007214158,p,0
CPI_H_12,0.009621461,p,0
CPI_F_4,0.013022103,p,0
CPI_F_12,0.015315556,p,0
GDP_4,0.011032466,p,0
GDP_12,0.009059385,p,0
OND,0.0,p,0
MAM,0.0,p,0
FEWS_CS_lag1,0.2070307,p,0
FEWS_CS_lag4,0.015514719,p,0
FEWS_CS_lag8,0.0054108175,p,0
FEWS_CS_12,0.014699725,p,0
Ethiopia,0.011816871,p,0
Kenya,0.0,p,0
Somalia,0.0,p,0
month,0.0056367996,p,1
FEWS_HA,0.008811817,p,1
tp,0.011527934,p,1
wd,0.004604694,p,1
ds,0.009626272,p,1
SPI_1,0.0028555256,p,1
SPI_3,0.009252736,p,1
SPI_6,0.007961352,p,1
SPI_12,0.007077803,p,1
SPI_24,0.004377126,p,1
SPEI_1,0.00455478,p,1
SPEI_3,0.00846775,p,1
SPEI_6,0.05611211,p,1
SPEI_12,0.022777809,p,1
SPEI_24,0.009053727,p,1
SSMI_1,0.008565733,p,1
SSMI_3,0.011852864,p,1
SSMI_6,0.062468782,p,1
SSMI_12,0.016556941,p,1
SSMI_24,0.013261696,p,1
NDVI_anom,0.016023552,p,1
NDVI_anom_range,0.003045757,p,1
NDVI_anom_crop,0.0023649663,p,1
WVG,0.019120758,p,1
MEI,0.016560612,p,1
NINA34,0.008623312,p,1
IOD,0.013124244,p,1
Fuel (diesel)_Pewi,0.00042908805,p,1
Maize (white)_Pewi,0.0057533043,p,1
acled_count,0.003478346,p,1
acled_fatalities,0.0,p,1
DL_area,0.0,p,1
CPI_H,0.0092402445,p,1
CPI_F,0.012696386,p,1
GDP,0.0090518305,p,1
FEWS_HA_4,0.0065275184,p,1
FEWS_HA_12,0.0058290916,p,1
wd_4,0.014582564,p,1
wd_12,0.01342193,p,1
ds_4,0.005785157,p,1
ds_12,0.009557673,p,1
NDVI_anom_4,0.012073802,p,1
NDVI_anom_12,0.029775465,p,1
NDVI_anom_range_4,0.0041960287,p,1
NDVI_anom_range_12,0.008625622,p,1
NDVI_anom_crop_4,0.0044556395,p,1
NDVI_anom_crop_12,0.004892081,p,1
WVG_4,0.005497501,p,1
WVG_12,0.016292162,p,1
MEI_4,0.015345574,p,1
MEI_12,0.013741166,p,1
NINA34_4,0.011831205,p,1
NINA34_12,0.004500634,p,1
IOD_4,0.014342558,p,1
IOD_12,0.028340416,p,1
Fuel (diesel)_Pewi_4,0.0074373465,p,1
Fuel (diesel)_Pewi_12,0.0,p,1
Maize (white)_Pewi_4,0.0050326977,p,1
Maize (white)_Pewi_12,0.0,p,1
acled_count_4,0.004007743,p,1
acled_count_12,0.008273964,p,1
acled_fatalities_4,0.008376282,p,1
acled_fatalities_12,0.010103254,p,1
DL_area_4,0.0,p,1
DL_area_12,0.0,p,1
CPI_H_4,0.008117206,p,1
CPI_H_12,0.0057788948,p,1
CPI_F_4,0.012361426,p,1
CPI_F_12,0.011680014,p,1
GDP_4,0.015845923,p,1
GDP_12,0.010980371,p,1
OND,0.0,p,1
MAM,0.0,p,1
FEWS_CS_lag1,0.20656009,p,1
FEWS_CS_lag4,0.0062590344,p,1
FEWS_CS_lag8,0.008494307,p,1
FEWS_CS_12,0.014171429,p,1
Ethiopia,0.016835101,p,1
Kenya,0.0,p,1
