lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,227,0.4219923630061192,0.523025872268402,0.4758429757698023,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,1,227,0.40938708178186045,0.5063756786974289,0.5086841873230192,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,2,227,0.4148369594401481,0.5148256076194844,0.49215012865578245,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,3,227,0.43524703766290546,0.5404245349388761,0.44039036887513927,0.5287324932826427,0.7026456996069805,0.05400715751638252,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,4,227,0.43115834441511347,0.5503994596166465,0.41954165003239885,0.6405702890175597,0.8064359664894879,-0.24610558587940723,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,8,227,0.4647651042080936,0.5810543828879513,0.35308290433733536,0.6512604841591626,0.8467056595682206,-0.3736623361810132,0.5866989825166073,0.7618359413469675,-0.11208499390085902
ap,12,227,0.6366192925603252,0.7898059405127725,-0.19524203201665924,0.731789293022718,0.9952208532302699,-0.8978155468196853,0.5866989825166073,0.7618359413469675,-0.11208499390085902
other,0,970,0.26743582899985846,0.43123591426191826,0.6364083415115142,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,1,970,0.2590908728660402,0.42810804832186905,0.6416636622521289,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,2,970,0.25203560778586703,0.4381867557145559,0.6245928332464525,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,3,970,0.28445653171632385,0.45814084179513404,0.5896238765308714,0.2189811165140968,0.44893390923182674,0.605952219206956,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,4,970,0.29573138973464314,0.5177400921959762,0.47590784468928593,0.2671360330024025,0.5185511012829026,0.4742646402728312,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,8,970,0.3178636624136808,0.5404089131181798,0.4290092504190425,0.27942952581392333,0.5548387581969115,0.3981092793593106,0.2772153559822633,0.5225949356108551,0.46603294906154147
other,12,970,0.30375634075419394,0.521664481321834,0.467932659933747,0.3197117921375171,0.6181401343658717,0.25293575690007797,0.2772153559822633,0.5225949356108551,0.46603294906154147
p,0,746,0.3777307459574829,0.46130617429134346,0.4873784470031508,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,1,746,0.3504293228249193,0.4376401321598881,0.5386265404079431,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,2,746,0.34766679655597593,0.4542537390697829,0.5029325224888936,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,3,746,0.33754905916712036,0.4315736573322863,0.5513288102517648,0.40015970676030604,0.5711268783596304,0.21425156265106904,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,4,746,0.36212066722191044,0.4631945033043435,0.48317308654492774,0.46512475957009486,0.6620439177302307,-0.055824966244841345,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,8,746,0.4415317686909878,0.565983362695509,0.22834058846558847,0.4976057792397977,0.6880738116841784,-0.1404818672328545,0.5318756259885532,0.6871099777456932,-0.1372889968669455
p,12,746,0.40972929107332046,0.4959774589936742,0.4074265274304225,0.5205084045244626,0.7432066979328589,-0.3305694785358335,0.5318756259885532,0.6871099777456932,-0.1372889968669455
