lhz,lead,county,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
ap,0,Adan Yabaal,9,0.5226399273647332,0.5884794248589847,0.48660651019480794,0.7252201624143968,0.9042161153888061,-0.212082767935446,0.6816725319183979,0.9051037603137317,-0.21446367486689843
ap,0,Afgooye,9,0.35216891208499895,0.5116785002733216,-0.5915674083677367,0.48948114317989994,0.75317986939076,-2.44848313749665,0.676693462242642,0.7907566846641392,-2.8011625578622077
ap,0,Alle,9,0.6271307998233371,0.7543092876329213,-1.3043791307076051,0.5623112917863323,0.7456314876021091,-1.2516635769801234,0.5899157555576439,0.7646506455992288,-1.3679969697520358
ap,0,Balcad,9,0.4004676541118544,0.4993184979013386,0.2449830394328204,0.5737228299228728,0.7617652690767848,-0.7572911958496258,0.6696462976774336,0.9085542478844356,-1.4997876804318429
ap,0,Baraawe,9,0.6111686152967546,0.7421933881674848,-0.04582360251008333,0.7743559343755047,0.9899473951369826,-0.8605806976393919,0.7142683567280446,0.835225260501807,-0.32443764979309986
ap,0,Baringo,9,0.19663774117350183,0.26958368175931874,0.6532347974940267,0.21036677830714318,0.27398244791637766,0.6418262180232294,0.37371547912231023,0.5050048297383154,-0.2168565180870854
ap,0,Baydhaba,9,0.4957739628606384,0.5371959168741731,0.4788203893528056,0.7139953888707703,0.8527290784266965,-0.3132401643462328,0.6020523736583611,0.7608959951010774,-0.04561693260913846
ap,0,Buur Hakaba,9,0.44754481111474337,0.5113266499841794,0.4654084340865309,0.6817498186678439,0.804794948808828,-0.3243285134351275,0.5785465078653191,0.7142625710675252,-0.04313623441771064
ap,0,Cadale,9,0.5257168830453445,0.6406332290979699,0.3835082698344483,0.7326924446574997,0.9085185855248813,-0.23986946515178853,0.7012191839173482,0.9249042374584517,-0.2849962810209501
ap,0,Ceel Dheer,9,0.48192951414320206,0.6090594110438635,0.28806550213851656,0.5707378760714035,0.7668081391674613,-0.12848073511438263,0.5774099913864196,0.7499094854723433,-0.07929065148913117
ap,0,Diinsoor,9,0.48956042117113757,0.6080818268335992,0.3588641720116974,0.7005256836901262,0.8352367081128139,-0.20960937569744775,0.6288546205875486,0.7824365345040175,-0.061510367243679864
ap,0,Doolow,9,0.43728018186055034,0.5110917390659473,0.1951132561733553,0.4955708768512359,0.5623339821666217,0.02562594804631524,0.6564896216907277,0.8741858601022459,-1.3547489238389332
ap,0,East Hararge,9,0.34369807109162326,0.4186782249815368,0.25604166059501,0.47659702797487047,0.6261062746760984,-0.6637343381691363,0.3749294914475656,0.4516473910729575,0.13426120445615475
ap,0,Fafan,9,0.18272353824870824,0.20241145117594078,0.46787059075480275,0.1507852564263329,0.3079194959173742,-0.2314633153401735,0.2780836365249264,0.3567040357370536,-0.6525825043547784
ap,0,Jilib,9,0.38876005641133804,0.49163742118988607,0.43075649243224967,0.5111475287185452,0.5959927839226796,0.1634532331978108,0.5419067057526996,0.7759918851821501,-0.4181513459750723
ap,0,Jowhar,9,0.4118462943809816,0.5343985456629262,-0.27592972004541627,0.5075884243672688,0.7298786027315007,-1.3801124843130572,0.7391639042261655,0.944132704627349,-2.982559766274531
ap,0,Laikipia,9,0.3467489733958231,0.3999371912360779,-1.165167026118735,0.25406867793808235,0.3755363284060898,-0.9090255099021831,0.36439456204646603,0.39869326457117543,-1.1517193120756408
ap,0,Luuq,9,0.3300103078370245,0.4478159902517631,0.31231145579958053,0.41303799349649845,0.4646023007850986,0.2597893861011128,0.6448572965019103,0.8178302315095249,-1.293606531576239
