lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.21739130434782608,0.07352941176470588,0.23255813953488372,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.43478260869565216,0.05392156862745098,0.4545454545454545,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.4782608695652174,0.0392156862745098,0.5238095238095238,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.30434782608695654,0.05392156862745098,0.34146341463414637,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.2608695652173913,0.014705882352941176,0.37500000000000006,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.13043478260869565,0.06372549019607843,0.15384615384615383,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.30434782608695654,0.04411764705882353,0.358974358974359,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.007502679528403001,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.006430868167202572,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0010718113612004287,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0010718113612004287,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.05154639175257732,0.10785824345146379,0.05813953488372093,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.1134020618556701,0.07395993836671803,0.14102564102564102,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.13402061855670103,0.0724191063174114,0.1656050955414013,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.20618556701030927,0.0847457627118644,0.23255813953488372,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.1958762886597938,0.04160246533127889,0.26573426573426573,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.061855670103092786,0.0724191063174114,0.08,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.23711340206185566,0.030816640986132512,0.32857142857142857,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
