livelihood_zone,lhz_code,lead,event_count,reference_hr,reproduced_hr,hr_abs_diff,reference_far,reproduced_far,far_abs_diff,reproduced_f1
Agro-pastoral,ap,0,23,0.4,0.2174,0.1826,0.04,0.0735,0.0335,0.2326
Agro-pastoral,ap,1,23,0.5,0.4348,0.0652,0.04,0.0539,0.0139,0.4545
Agro-pastoral,ap,2,23,0.3,0.4783,0.1783,0.06,0.0392,0.0208,0.5238
Agro-pastoral,ap,3,23,0.2,0.3043,0.1043,0.08,0.0539,0.0261,0.3415
Agro-pastoral,ap,4,23,0.05,0.2609,0.2109,0.05,0.0147,0.0353,0.375
Agro-pastoral,ap,8,23,0.09,0.1304,0.0404,0.08,0.0637,0.0163,0.1538
Agro-pastoral,ap,12,23,0.31,0.3043,0.0057,0.14,0.0441,0.0959,0.359
Crop farming,other,0,37,0.0,0.0,0.0,0.001,0.0075,0.0065,0.0
Crop farming,other,1,37,0.0,0.0,0.0,0.0,0.0064,0.0064,0.0
Crop farming,other,2,37,0.0,0.0,0.0,0.0,0.0054,0.0054,0.0
Crop farming,other,3,37,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0
Crop farming,other,4,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crop farming,other,8,37,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0
Crop farming,other,12,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pastoral,p,0,97,0.12,0.0515,0.0685,0.1,0.1079,0.0079,0.0581
Pastoral,p,1,97,0.2,0.1134,0.0866,0.08,0.074,0.006,0.141
Pastoral,p,2,97,0.18,0.134,0.046,0.08,0.0724,0.0076,0.1656
Pastoral,p,3,97,0.18,0.2062,0.0262,0.07,0.0847,0.0147,0.2326
Pastoral,p,4,97,0.05,0.1959,0.1459,0.06,0.0416,0.0184,0.2657
Pastoral,p,8,97,0.04,0.0619,0.0219,0.07,0.0724,0.0024,0.08
Pastoral,p,12,97,0.02,0.2371,0.2171,0.02,0.0308,0.0108,0.3286
