lhz_code,lead,reference_r2,reproduced_r2,abs_diff,bootstrap_sd,within_1sd,within_2sd
p,0,0.49,0.4662,0.0238,0.0389,True,True
ap,0,0.48,0.498,0.018,0.0604,True,True
other,0,0.54,0.6299,0.0899,0.0279,False,False
p,1,0.55,0.5042,0.0458,0.0399,False,True
ap,1,0.48,0.4896,0.0096,0.0691,True,True
other,1,0.65,0.6425,0.0075,0.0247,True,True
p,2,0.44,0.5273,0.0873,0.0365,False,False
ap,2,0.48,0.4744,0.0056,0.0801,True,True
other,2,0.61,0.6275,0.0175,0.0235,True,True
p,3,0.53,0.5477,0.0177,0.0317,True,True
ap,3,0.37,0.4844,0.1144,0.0686,False,True
other,3,0.57,0.5908,0.0208,0.0287,True,True
p,4,0.35,0.4615,0.1115,0.039,False,False
ap,4,0.4,0.4114,0.0114,0.0703,True,True
other,4,0.46,0.4745,0.0145,0.0374,True,True
p,8,0.28,0.3437,0.0637,0.0433,False,True
ap,8,0.23,0.3399,0.1099,0.0571,False,True
other,8,0.48,0.4873,0.0073,0.0396,True,True
p,12,0.3,0.425,0.125,0.0279,False,False
ap,12,0.05,0.319,0.269,0.0538,False,False
other,12,0.4,0.4329,0.0329,0.0489,True,True
