lhz_code,lead,reference_r2,reproduced_r2,abs_diff,robust_sd,within_1sd,within_2sd
p,0,0.49,0.4662,0.0238,0.4302,True,True
ap,0,0.48,0.498,0.018,0.2508,True,True
other,0,0.54,0.6299,0.0899,0.4241,True,True
p,1,0.55,0.5042,0.0458,0.4784,True,True
ap,1,0.48,0.4896,0.0096,0.4332,True,True
other,1,0.65,0.6425,0.0075,0.4221,True,True
p,2,0.44,0.5273,0.0873,0.4371,True,True
ap,2,0.48,0.4744,0.0056,0.3345,True,True
other,2,0.61,0.6275,0.0175,0.352,True,True
p,3,0.53,0.5477,0.0177,0.375,True,True
ap,3,0.37,0.4844,0.1144,0.347,True,True
other,3,0.57,0.5908,0.0208,0.284,True,True
p,4,0.35,0.4615,0.1115,0.4311,True,True
ap,4,0.4,0.4114,0.0114,0.2716,True,True
other,4,0.46,0.4745,0.0145,0.4959,True,True
p,8,0.28,0.3437,0.0637,0.3494,True,True
ap,8,0.23,0.3399,0.1099,0.2975,True,True
other,8,0.48,0.4873,0.0073,0.2952,True,True
p,12,0.3,0.425,0.125,0.3598,True,True
ap,12,0.05,0.319,0.269,0.3134,True,True
other,12,0.4,0.4329,0.0329,0.4647,True,True
