livelihood_zone,lhz_code,lead,reference_r2,reproduced_r2,n_units,n_bootstrap_iters,bootstrap_r2_sd,bootstrap_r2_ci_lo,bootstrap_r2_ci_hi,abs_diff,within_1sd_bootstrap,t_like_statistic
Agro-pastoral,ap,0,0.48,0.498,25,500,0.0604,0.355,0.6013,0.018,True,0.298
Agro-pastoral,ap,1,0.48,0.4896,25,500,0.0691,0.3374,0.6025,0.0096,True,0.14
Agro-pastoral,ap,2,0.48,0.4744,25,500,0.0801,0.2961,0.5962,0.0056,True,0.07
Agro-pastoral,ap,3,0.37,0.4844,25,500,0.0686,0.3244,0.5906,0.1144,False,1.667
Agro-pastoral,ap,4,0.4,0.4114,25,500,0.0703,0.2506,0.5234,0.0114,True,0.163
Agro-pastoral,ap,8,0.23,0.3399,25,500,0.0571,0.2179,0.4399,0.1099,False,1.926
Agro-pastoral,ap,12,0.05,0.319,25,500,0.0538,0.1848,0.3958,0.269,False,5.002
Crop farming,other,0,0.54,0.6299,106,500,0.0279,0.568,0.6783,0.0899,False,3.226
Crop farming,other,1,0.65,0.6425,106,500,0.0247,0.5905,0.6867,0.0075,True,0.305
Crop farming,other,2,0.61,0.6275,106,500,0.0235,0.5729,0.6664,0.0175,True,0.745
Crop farming,other,3,0.57,0.5908,106,500,0.0287,0.5337,0.6519,0.0208,True,0.723
Crop farming,other,4,0.46,0.4745,106,500,0.0374,0.4018,0.5479,0.0145,True,0.388
Crop farming,other,8,0.48,0.4873,106,500,0.0396,0.4148,0.5668,0.0073,True,0.184
Crop farming,other,12,0.4,0.4329,106,500,0.0489,0.3469,0.5348,0.0329,True,0.673
Pastoral,p,0,0.49,0.4662,82,500,0.0389,0.3815,0.5335,0.0238,True,0.612
Pastoral,p,1,0.55,0.5042,82,500,0.0399,0.4114,0.5743,0.0458,False,1.148
Pastoral,p,2,0.44,0.5273,82,500,0.0365,0.4488,0.5907,0.0873,False,2.395
Pastoral,p,3,0.53,0.5477,82,500,0.0317,0.4805,0.6046,0.0177,True,0.558
Pastoral,p,4,0.35,0.4615,82,500,0.039,0.3798,0.5296,0.1115,False,2.855
Pastoral,p,8,0.28,0.3437,82,500,0.0433,0.2495,0.416,0.0637,False,1.469
Pastoral,p,12,0.3,0.425,82,500,0.0279,0.3633,0.4729,0.125,False,4.476
