lhz,lead,event_count,hr,far,f1,hr_baseline,far_baseline,hr_baseline2,far_baseline2
ap,0,23,0.21739130434782608,0.08823529411764706,0.21739130434782608,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,1,23,0.4782608695652174,0.0392156862745098,0.5238095238095238,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,2,23,0.391304347826087,0.03431372549019608,0.46153846153846156,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,3,23,0.5652173913043478,0.029411764705882353,0.6190476190476191,0.0,0.09803921568627451,0.0,0.014705882352941176
ap,4,23,0.34782608695652173,0.03431372549019608,0.4210526315789474,0.043478260869565216,0.049019607843137254,0.0,0.014705882352941176
ap,8,23,0.08695652173913043,0.06862745098039216,0.10256410256410256,0.0,0.05392156862745098,0.0,0.014705882352941176
ap,12,23,0.0,0.0,0.0,0.043478260869565216,0.0392156862745098,0.0,0.014705882352941176
other,0,37,0.0,0.0,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,1,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,2,37,0.0,0.0053590568060021436,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,3,37,0.0,0.0010718113612004287,0.0,0.02702702702702703,0.03429796355841372,0.0,0.0
other,4,37,0.0,0.0,0.0,0.10810810810810811,0.023579849946409433,0.0,0.0
other,8,37,0.0,0.0,0.0,0.0,0.02679528403001072,0.0,0.0
other,12,37,0.0,0.0,0.0,0.13513513513513514,0.01607717041800643,0.0,0.0
p,0,97,0.061855670103092786,0.1016949152542373,0.07100591715976332,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,1,97,0.09278350515463918,0.06933744221879815,0.11920529801324506,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,2,97,0.061855670103092786,0.08782742681047766,0.075,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,3,97,0.18556701030927836,0.07704160246533127,0.21818181818181817,0.020618556701030927,0.14946070878274267,0.010309278350515464,0.007704160246533128
p,4,97,0.25773195876288657,0.05546995377503852,0.3164556962025316,0.17525773195876287,0.09861325115562404,0.010309278350515464,0.007704160246533128
p,8,97,0.030927835051546393,0.023112480739599383,0.052173913043478265,0.14432989690721648,0.09244992295839753,0.010309278350515464,0.007704160246533128
p,12,97,0.24742268041237114,0.05701078582434515,0.3037974683544304,0.1958762886597938,0.06471494607087827,0.010309278350515464,0.007704160246533128
