feature,importance,lhz,lead
month,0.016159246,p,0
FEWS_HA,0.012523768,p,0
tp,0.0042598196,p,0
wd,0.0029560789,p,0
ds,0.0110204015,p,0
SPI_1,0.00615827,p,0
SPI_3,0.004588728,p,0
SPI_6,0.008583541,p,0
SPI_12,0.0066027413,p,0
SPI_24,0.009821977,p,0
SPEI_1,0.0042185104,p,0
SPEI_3,0.006599778,p,0
SPEI_6,0.019412013,p,0
SPEI_12,0.030169412,p,0
SPEI_24,0.016794836,p,0
SSMI_1,0.0029856514,p,0
SSMI_3,0.00816045,p,0
SSMI_6,0.0502473,p,0
SSMI_12,0.020473862,p,0
SSMI_24,0.009495247,p,0
NDVI_anom,0.0045683,p,0
NDVI_anom_range,0.0025927569,p,0
NDVI_anom_crop,0.0027054953,p,0
WVG,0.025810953,p,0
MEI,0.01089534,p,0
NINA34,0.017138958,p,0
IOD,0.01049191,p,0
Fuel (diesel)_Pewi,0.0009885611,p,0
Maize (white)_Pewi,0.0005529864,p,0
acled_count,0.002809259,p,0
acled_fatalities,0.0008754781,p,0
DL_area,0.0,p,0
CPI_H,0.009344767,p,0
CPI_F,0.013545186,p,0
GDP,0.013428677,p,0
FEWS_HA_4,0.009469608,p,0
FEWS_HA_12,0.0036722026,p,0
wd_4,0.022253342,p,0
wd_12,0.017013608,p,0
ds_4,0.006478703,p,0
ds_12,0.010465387,p,0
NDVI_anom_4,0.019448914,p,0
NDVI_anom_12,0.02959499,p,0
NDVI_anom_range_4,0.0059592333,p,0
NDVI_anom_range_12,0.0033771717,p,0
NDVI_anom_crop_4,0.00050796865,p,0
NDVI_anom_crop_12,0.00930308,p,0
WVG_4,0.0,p,0
WVG_12,0.01756719,p,0
MEI_4,0.02958722,p,0
MEI_12,0.01884048,p,0
NINA34_4,0.015826432,p,0
NINA34_12,0.019091915,p,0
IOD_4,0.015413448,p,0
IOD_12,0.0327208,p,0
Fuel (diesel)_Pewi_4,0.0055214213,p,0
Fuel (diesel)_Pewi_12,0.0,p,0
Maize (white)_Pewi_4,0.0005868664,p,0
Maize (white)_Pewi_12,0.0015377246,p,0
acled_count_4,0.0051572793,p,0
acled_count_12,0.0037884074,p,0
acled_fatalities_4,0.0034356026,p,0
acled_fatalities_12,0.011980702,p,0
DL_area_4,0.0,p,0
DL_area_12,0.0,p,0
CPI_H_4,0.009645718,p,0
CPI_H_12,0.009112931,p,0
CPI_F_4,0.00874528,p,0
CPI_F_12,0.009238806,p,0
GDP_4,0.010520062,p,0
GDP_12,0.0066393153,p,0
OND,0.0,p,0
MAM,0.0,p,0
FEWS_CS_lag1,0.21664214,p,0
FEWS_CS_lag4,0.016604071,p,0
FEWS_CS_lag8,0.0050493777,p,0
FEWS_CS_12,0.013630227,p,0
Ethiopia,0.0085920645,p,0
Kenya,0.0,p,0
Somalia,0.0,p,0
month,0.00453241,p,1
FEWS_HA,0.008905977,p,1
tp,0.012067911,p,1
wd,0.0045184093,p,1
ds,0.008692549,p,1
SPI_1,0.003965864,p,1
SPI_3,0.009555987,p,1
SPI_6,0.006305934,p,1
SPI_12,0.0039009163,p,1
SPI_24,0.007565265,p,1
SPEI_1,0.0051820586,p,1
SPEI_3,0.007869049,p,1
SPEI_6,0.054101955,p,1
SPEI_12,0.022456218,p,1
SPEI_24,0.008268479,p,1
SSMI_1,0.013788621,p,1
SSMI_3,0.012852291,p,1
SSMI_6,0.060371805,p,1
SSMI_12,0.016249083,p,1
SSMI_24,0.013052946,p,1
NDVI_anom,0.017120162,p,1
NDVI_anom_range,0.0063541667,p,1
NDVI_anom_crop,0.0022361013,p,1
WVG,0.023610169,p,1
MEI,0.014747609,p,1
NINA34,0.009829777,p,1
IOD,0.012215155,p,1
Fuel (diesel)_Pewi,0.0011664415,p,1
Maize (white)_Pewi,0.0051413383,p,1
acled_count,0.0036486988,p,1
acled_fatalities,0.0,p,1
DL_area,0.0,p,1
CPI_H,0.009303626,p,1
CPI_F,0.009913283,p,1
GDP,0.013265103,p,1
FEWS_HA_4,0.0059083668,p,1
FEWS_HA_12,0.0048113978,p,1
wd_4,0.016430642,p,1
wd_12,0.015371549,p,1
ds_4,0.0074062394,p,1
ds_12,0.009671462,p,1
NDVI_anom_4,0.01157099,p,1
NDVI_anom_12,0.031294223,p,1
NDVI_anom_range_4,0.0032369436,p,1
NDVI_anom_range_12,0.0078021893,p,1
NDVI_anom_crop_4,0.0036953154,p,1
NDVI_anom_crop_12,0.004371291,p,1
WVG_4,0.0067524645,p,1
