lead,n,f1_weighted,config
0,736,0.7041520737929458,busker_arch
1,736,0.7101361257426817,busker_arch
2,736,0.7159934466909739,busker_arch
3,736,0.6877782403534735,busker_arch
4,736,0.6582373109069899,busker_arch
8,736,0.6868842488805194,busker_arch
12,736,0.6405726077274302,busker_arch
0,1380,0.697693589858378,enriched_level
1,1380,0.6924110234728428,enriched_level
2,1380,0.6999643914669154,enriched_level
3,1380,0.6780706310890391,enriched_level
4,1380,0.6635085384935945,enriched_level
8,1380,0.648173482510364,enriched_level
12,1380,0.6528251570347028,enriched_level
0,1380,0.7361876837531431,enriched_best
1,1380,0.7263492479005966,enriched_best
2,1380,0.7121657000497617,enriched_best
3,1380,0.7170434371782102,enriched_best
4,1380,0.7032886347486879,enriched_best
8,1380,0.6776574554714945,enriched_best
12,1380,0.6428698637919379,enriched_best
