variant,label,lead,n,f1_weighted,mae
baseline,All clusters (baseline),0,828,0.6893779638477845,0.335317772073094
busker_arch,"Busker architecture (reference, test ends 2022-06)",0,736,0.7041520737929458,0.3324134628266601
no_agriculture,No agriculture,0,828,0.6835739445097444,0.3414973219801103
no_climate,No climate,0,828,0.695465928870464,0.33881458333672054
no_conflict,No conflict (ACLED+UNHCR),0,828,0.6916673402350266,0.33409256613097643
no_economic,No economic,0,828,0.6752812137043798,0.3517753573943951
baseline,All clusters (baseline),1,828,0.6936170307352685,0.3529001647127944
busker_arch,"Busker architecture (reference, test ends 2022-06)",1,736,0.7101361257426817,0.3243893895312783
no_agriculture,No agriculture,1,828,0.6881211453216529,0.3498130953192982
no_climate,No climate,1,828,0.6809120184111687,0.34584141573536625
no_conflict,No conflict (ACLED+UNHCR),1,828,0.6850320855108482,0.35258158054093963
no_economic,No economic,1,828,0.6733510686807453,0.3609356026106843
baseline,All clusters (baseline),2,828,0.6922296127579654,0.33410193088254103
busker_arch,"Busker architecture (reference, test ends 2022-06)",2,736,0.7159934466909739,0.32118875780466993
no_agriculture,No agriculture,2,828,0.686828493295247,0.3309868058673797
no_climate,No climate,2,828,0.672179623758624,0.353304440626892
no_conflict,No conflict (ACLED+UNHCR),2,828,0.6889008737684073,0.33189541491673746
no_economic,No economic,2,828,0.6665579463799867,0.3465820319415246
baseline,All clusters (baseline),3,828,0.6736593198184131,0.3608261380116411
busker_arch,"Busker architecture (reference, test ends 2022-06)",3,736,0.6877782403534735,0.3640072015507969
no_agriculture,No agriculture,3,828,0.683369732421684,0.3635056224736808
no_climate,No climate,3,828,0.6893127566081123,0.357641583261883
no_conflict,No conflict (ACLED+UNHCR),3,828,0.6752997386403014,0.3639236550769801
no_economic,No economic,3,828,0.6704075996625075,0.37843893937261125
baseline,All clusters (baseline),4,828,0.6691236431566898,0.3725592160307719
busker_arch,"Busker architecture (reference, test ends 2022-06)",4,736,0.6582373109069899,0.38717743456989817
no_agriculture,No agriculture,4,828,0.6556770944508084,0.37611561993336196
no_climate,No climate,4,828,0.6669501472706811,0.39305563496820906
no_conflict,No conflict (ACLED+UNHCR),4,828,0.6715496043645459,0.3730272717237197
no_economic,No economic,4,828,0.6247990581497943,0.40641613546557526
baseline,All clusters (baseline),8,828,0.6372587607856108,0.4314118139351432
busker_arch,"Busker architecture (reference, test ends 2022-06)",8,736,0.6868842488805194,0.387942704537403
no_agriculture,No agriculture,8,828,0.6144517504622174,0.44052663137633385
no_climate,No climate,8,828,0.6541041206092443,0.40679668674195996
no_conflict,No conflict (ACLED+UNHCR),8,828,0.6281080138942873,0.43079829707454453
no_economic,No economic,8,828,0.5730369894691187,0.44993784852753876
baseline,All clusters (baseline),12,828,0.6492281474798153,0.42279238866533014
busker_arch,"Busker architecture (reference, test ends 2022-06)",12,736,0.6405726077274302,0.4077483135910365
no_agriculture,No agriculture,12,828,0.6266619250667149,0.44355741504911406
no_climate,No climate,12,828,0.6623786988643939,0.40744023051475176
no_conflict,No conflict (ACLED+UNHCR),12,828,0.6564224683211145,0.42088495333129045
no_economic,No economic,12,828,0.5481728363399961,0.46909168245325195
