variant,label,lead,n,f1_weighted,mae
baseline,All clusters (baseline),0,180,0.5680931363142071,0.40043727543526214
busker_arch,"Busker architecture (reference, test ends 2022-06)",0,160,0.6198441994247362,0.3507823596538576
no_agriculture,No agriculture,0,180,0.5768971768971768,0.3839166099667413
no_climate,No climate,0,180,0.5987465776322081,0.3853793361732558
no_conflict,No conflict (ACLED+UNHCR),0,180,0.5680931363142071,0.3928154440711603
no_economic,No economic,0,180,0.5196064519180739,0.4436276372407844
baseline,All clusters (baseline),1,180,0.6143014458308576,0.41432604417363117
busker_arch,"Busker architecture (reference, test ends 2022-06)",1,160,0.602495104151342,0.3455649547371725
no_agriculture,No agriculture,1,180,0.5854979693277566,0.4042587320893511
no_climate,No climate,1,180,0.575783727240038,0.40486546038860655
no_conflict,No conflict (ACLED+UNHCR),1,180,0.5949159755782273,0.41320505774781346
no_economic,No economic,1,180,0.5459538457911981,0.45173637303515984
baseline,All clusters (baseline),2,180,0.5957351290684625,0.39601069128507427
busker_arch,"Busker architecture (reference, test ends 2022-06)",2,160,0.6514103103584494,0.33171305983129623
no_agriculture,No agriculture,2,180,0.5764174552443024,0.39365993056377624
no_climate,No climate,2,180,0.5144007271782886,0.4455941243583502
no_conflict,No conflict (ACLED+UNHCR),2,180,0.5819165076102383,0.38966111488377525
no_economic,No economic,2,180,0.5057025492328139,0.4455187700898405
baseline,All clusters (baseline),3,180,0.5395194177802873,0.44645237834164564
busker_arch,"Busker architecture (reference, test ends 2022-06)",3,160,0.5629304919908467,0.38573311237995184
no_agriculture,No agriculture,3,180,0.5608888888888889,0.44783993899632074
no_climate,No climate,3,180,0.5780002444688913,0.4470564058725943
no_conflict,No conflict (ACLED+UNHCR),3,180,0.5520088509562193,0.4500840315690558
no_economic,No economic,3,180,0.5104862579281184,0.5021541133809505
baseline,All clusters (baseline),4,180,0.5338430892778719,0.45109778452533333
busker_arch,"Busker architecture (reference, test ends 2022-06)",4,160,0.5089926396090351,0.4339864066325756
no_agriculture,No agriculture,4,180,0.5159350853707226,0.4644321338788448
no_climate,No climate,4,180,0.5665608465608465,0.4605192554023328
no_conflict,No conflict (ACLED+UNHCR),4,180,0.549543268758955,0.4480119035836092
no_economic,No economic,4,180,0.41510273431326067,0.5602459228298674
baseline,All clusters (baseline),8,180,0.5036647665327227,0.5479101784589443
busker_arch,"Busker architecture (reference, test ends 2022-06)",8,160,0.611812865497076,0.37951878309075215
no_agriculture,No agriculture,8,180,0.45095677269590306,0.5695729690178494
no_climate,No climate,8,180,0.5879405721510984,0.44142380093861944
no_conflict,No conflict (ACLED+UNHCR),8,180,0.4928043107851508,0.5479099220316171
no_economic,No economic,8,180,0.31062032648762505,0.6541193866849243
baseline,All clusters (baseline),12,180,0.5115908170575959,0.5208170466935624
busker_arch,"Busker architecture (reference, test ends 2022-06)",12,160,0.5311371100164204,0.4052807679013772
no_agriculture,No agriculture,12,180,0.44357446808510637,0.5685522356529559
no_climate,No climate,12,180,0.5530591712255549,0.4502901120536335
no_conflict,No conflict (ACLED+UNHCR),12,180,0.5169991235758107,0.5183069892750537
no_economic,No economic,12,180,0.183950204384987,0.7480938775323671
