feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
glofas_reach_count,0.0004352586,pastoral,0
ipc_lag1,0.11647029,pastoral,0
ipc_lag4,0.021126008,pastoral,0
ipc_lag8,0.005946072,pastoral,0
ipc_mean12,0.009492758,pastoral,0
ha_share_lag1,0.011249026,pastoral,0
ha_share_lag4,0.004233231,pastoral,0
ha_share_lag8,0.0020040954,pastoral,0
ha_share_mean12,0.0043542,pastoral,0
total_rainfall_mm,0.002377088,pastoral,0
wet_days,0.0018736274,pastoral,0
max_dry_spell_length,0.0023691428,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.004429899,pastoral,0
rainfall_sum_6m,0.005660154,pastoral,0
rainfall_sum_12m,0.04598074,pastoral,0
rainfall_sum_24m,0.0109229665,pastoral,0
spi_1,0.005974359,pastoral,0
spi_3,0.0033110168,pastoral,0
spi_6,0.014272833,pastoral,0
spi_12,0.018776909,pastoral,0
spi_24,0.008206007,pastoral,0
pet_mm,0.003319465,pastoral,0
sm_root,0.008420796,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0042026825,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.009198962,pastoral,0
spei_balance_sum_3m,0.0016162383,pastoral,0
sm_mean_6m,0.0069995383,pastoral,0
spei_balance_sum_6m,0.003746674,pastoral,0
sm_mean_12m,0.02158136,pastoral,0
spei_balance_sum_12m,0.011333232,pastoral,0
sm_mean_24m,0.011302296,pastoral,0
spei_balance_sum_24m,0.009714728,pastoral,0
ssmi_1,0.0,pastoral,0
ssmi_3,0.0047508692,pastoral,0
ssmi_6,0.0030240149,pastoral,0
ssmi_12,0.006513094,pastoral,0
ssmi_24,0.006960084,pastoral,0
spei_1,0.0042916085,pastoral,0
spei_3,0.0066208155,pastoral,0
spei_6,0.0018386989,pastoral,0
spei_12,0.020026153,pastoral,0
spei_24,0.0038075878,pastoral,0
ndvi,0.008100466,pastoral,0
ndvi_anomaly,0.0009665864,pastoral,0
ndvi_lag1,0.003544757,pastoral,0
ndvi_lag3,0.0015387124,pastoral,0
ndvi_lag6,0.0040380643,pastoral,0
ndvi_lag12,0.004179324,pastoral,0
ndvi_anomaly_lag1,0.010646892,pastoral,0
ndvi_anomaly_lag3,0.008476225,pastoral,0
ndvi_anomaly_lag6,0.007896007,pastoral,0
ndvi_anomaly_lag12,0.005403893,pastoral,0
ndvi_cropland,0.0032215102,pastoral,0
ndvi_cropland_anomaly,0.0021332006,pastoral,0
ndvi_cropland_lag1,0.0067948704,pastoral,0
ndvi_cropland_lag3,0.00584744,pastoral,0
ndvi_cropland_lag6,0.008266853,pastoral,0
ndvi_cropland_lag12,0.0029884058,pastoral,0
ndvi_cropland_anomaly_lag1,0.0027816824,pastoral,0
ndvi_cropland_anomaly_lag3,0.0027583996,pastoral,0
ndvi_cropland_anomaly_lag6,0.0049801627,pastoral,0
ndvi_cropland_anomaly_lag12,0.0035086274,pastoral,0
ndvi_rangeland,0.0011426944,pastoral,0
ndvi_rangeland_anomaly,0.0064969137,pastoral,0
ndvi_rangeland_lag1,0.00780071,pastoral,0
ndvi_rangeland_lag3,0.00478226,pastoral,0
ndvi_rangeland_lag6,0.0063930647,pastoral,0
ndvi_rangeland_lag12,0.0030136837,pastoral,0
ndvi_rangeland_anomaly_lag1,0.006263965,pastoral,0
ndvi_rangeland_anomaly_lag3,0.0030773585,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0045725084,pastoral,0
ndvi_rangeland_anomaly_lag12,0.005210615,pastoral,0
acled_event_count,0.0016558333,pastoral,0
acled_fatalities,0.0031650693,pastoral,0
acled_event_count_lag1,0.0020723047,pastoral,0
acled_fatalities_lag1,0.002040471,pastoral,0
acled_event_count_lag3,0.0,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0,pastoral,0
acled_fatalities_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0,pastoral,0
acled_fatalities_lag12,0.0030141566,pastoral,0
maize_price_etb,0.0032446967,pastoral,0
maize_price_etb_lag1,0.0022308228,pastoral,0
maize_price_etb_lag3,0.001913755,pastoral,0
maize_price_etb_lag6,0.0,pastoral,0
maize_price_etb_lag12,0.0050035953,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.0,pastoral,0
maize_price_index_lag3,0.0,pastoral,0
maize_price_index_lag6,0.0040837936,pastoral,0
maize_price_index_lag12,0.0030140348,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0012327608,pastoral,0
wheat_price_etb_lag1,0.0030524097,pastoral,0
wheat_price_etb_lag3,0.0007435718,pastoral,0
wheat_price_etb_lag6,0.0055104992,pastoral,0
wheat_price_etb_lag12,0.0029843647,pastoral,0
wheat_price_index,0.0,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.0,pastoral,0
wheat_price_index_lag12,0.0029782038,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0,pastoral,0
sorghum_price_etb_lag1,0.0014655091,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
