feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.007350719,pastoral,0
pct_agropastoral,0.0036866483,pastoral,0
pct_crop_farming,0.0096629625,pastoral,0
is_harvest_season,0.0012003905,pastoral,0
is_lean_season,0.006558326,pastoral,0
is_dry_season,0.0051677255,pastoral,0
months_since_harvest_start,0.02210398,pastoral,0
months_since_lean_start,0.021909684,pastoral,0
agss_surveyed_flag,0.009641834,pastoral,0
ipc_lag1,0.13990736,pastoral,0
ipc_lag4,0.029813834,pastoral,0
ipc_lag8,0.01595042,pastoral,0
ipc_mean12,0.01704401,pastoral,0
ha_share_lag1,0.013714149,pastoral,0
ha_share_lag4,0.007026863,pastoral,0
ha_share_lag8,0.0032121954,pastoral,0
ha_share_mean12,0.0052395286,pastoral,0
acled_event_count,0.0068782964,pastoral,0
acled_fatalities,0.007725904,pastoral,0
acled_event_count_lag1,0.011852177,pastoral,0
acled_fatalities_lag1,0.004799347,pastoral,0
acled_event_count_lag3,0.0025955995,pastoral,0
acled_fatalities_lag3,0.0051944223,pastoral,0
acled_event_count_lag6,0.00691404,pastoral,0
acled_fatalities_lag6,0.006288111,pastoral,0
acled_event_count_lag12,0.0017094131,pastoral,0
acled_fatalities_lag12,0.010495876,pastoral,0
maize_price_etb,0.0077720657,pastoral,0
maize_price_etb_lag1,0.0064157564,pastoral,0
maize_price_etb_lag3,0.01985475,pastoral,0
maize_price_etb_lag6,0.0044640442,pastoral,0
maize_price_etb_lag12,0.010395351,pastoral,0
maize_price_index,0.003629656,pastoral,0
maize_price_index_lag1,0.01127371,pastoral,0
maize_price_index_lag3,0.0020116386,pastoral,0
maize_price_index_lag6,0.014381504,pastoral,0
maize_price_index_lag12,0.0054466883,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0014056396,pastoral,0
wheat_price_etb_lag1,0.0,pastoral,0
wheat_price_etb_lag3,0.0,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.008654102,pastoral,0
wheat_price_index,0.0015590262,pastoral,0
wheat_price_index_lag1,0.014114859,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.014032387,pastoral,0
wheat_price_index_lag12,0.0033771137,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.004411611,pastoral,0
sorghum_price_etb_lag1,0.013733063,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.0038587106,pastoral,0
sorghum_price_etb_lag12,0.00507418,pastoral,0
sorghum_price_index,0.010412427,pastoral,0
sorghum_price_index_lag1,0.009341738,pastoral,0
sorghum_price_index_lag3,0.010920371,pastoral,0
sorghum_price_index_lag6,0.0,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
