feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.004464979,pastoral,0
pct_agropastoral,0.0012448565,pastoral,0
pct_crop_farming,0.0059484583,pastoral,0
is_harvest_season,0.0009369247,pastoral,0
is_lean_season,0.0037647493,pastoral,0
is_dry_season,0.00021356379,pastoral,0
months_since_harvest_start,0.010447506,pastoral,0
months_since_lean_start,0.01841296,pastoral,0
glofas_reach_count,0.0009596619,pastoral,0
agss_surveyed_flag,0.0021366293,pastoral,0
ipc_lag1,0.15312761,pastoral,0
ipc_lag4,0.022900311,pastoral,0
ipc_lag8,0.0063337297,pastoral,0
ipc_mean12,0.011096116,pastoral,0
ha_share_lag1,0.013672227,pastoral,0
ha_share_lag4,0.0078002242,pastoral,0
ha_share_lag8,0.0046586934,pastoral,0
ha_share_mean12,0.0044272486,pastoral,0
total_rainfall_mm,0.0030688108,pastoral,0
wet_days,0.0020221656,pastoral,0
max_dry_spell_length,0.0022458814,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0040217163,pastoral,0
rainfall_sum_6m,0.006255961,pastoral,0
rainfall_sum_12m,0.064791255,pastoral,0
rainfall_sum_24m,0.013746265,pastoral,0
spi_1,0.0064434,pastoral,0
spi_3,0.005411467,pastoral,0
spi_6,0.018741852,pastoral,0
spi_12,0.019198837,pastoral,0
spi_24,0.010286816,pastoral,0
pet_mm,0.002588552,pastoral,0
sm_root,0.011444101,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0044230544,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.009404281,pastoral,0
spei_balance_sum_3m,0.0015943344,pastoral,0
sm_mean_6m,0.009858543,pastoral,0
spei_balance_sum_6m,0.0032522003,pastoral,0
sm_mean_12m,0.024779178,pastoral,0
spei_balance_sum_12m,0.013103851,pastoral,0
sm_mean_24m,0.0063279574,pastoral,0
spei_balance_sum_24m,0.01110698,pastoral,0
ssmi_1,0.0038563504,pastoral,0
ssmi_3,0.0040989034,pastoral,0
ssmi_6,0.0078709535,pastoral,0
ssmi_12,0.00720261,pastoral,0
ssmi_24,0.007789907,pastoral,0
spei_1,0.0037290892,pastoral,0
spei_3,0.0063655893,pastoral,0
spei_6,0.0042674523,pastoral,0
spei_12,0.021730788,pastoral,0
spei_24,0.004242715,pastoral,0
ndvi,0.006646007,pastoral,0
ndvi_anomaly,0.004741179,pastoral,0
ndvi_lag1,0.004994138,pastoral,0
ndvi_lag3,0.0017363447,pastoral,0
ndvi_lag6,0.0052351323,pastoral,0
ndvi_lag12,0.0036296565,pastoral,0
ndvi_anomaly_lag1,0.016276691,pastoral,0
ndvi_anomaly_lag3,0.0060632774,pastoral,0
ndvi_anomaly_lag6,0.010445823,pastoral,0
ndvi_anomaly_lag12,0.00510043,pastoral,0
ndvi_cropland,0.005419726,pastoral,0
ndvi_cropland_anomaly,0.0038172724,pastoral,0
ndvi_cropland_lag1,0.014080813,pastoral,0
ndvi_cropland_lag3,0.006962561,pastoral,0
ndvi_cropland_lag6,0.008320012,pastoral,0
ndvi_cropland_lag12,0.003390215,pastoral,0
ndvi_cropland_anomaly_lag1,0.0053507662,pastoral,0
ndvi_cropland_anomaly_lag3,0.00351253,pastoral,0
ndvi_cropland_anomaly_lag6,0.006204942,pastoral,0
ndvi_cropland_anomaly_lag12,0.0050942176,pastoral,0
ndvi_rangeland,0.0015487949,pastoral,0
ndvi_rangeland_anomaly,0.00586513,pastoral,0
ndvi_rangeland_lag1,0.008949947,pastoral,0
ndvi_rangeland_lag3,0.008004048,pastoral,0
ndvi_rangeland_lag6,0.0028956844,pastoral,0
ndvi_rangeland_lag12,0.002598535,pastoral,0
ndvi_rangeland_anomaly_lag1,0.008231562,pastoral,0
ndvi_rangeland_anomaly_lag3,0.003708716,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0053655817,pastoral,0
ndvi_rangeland_anomaly_lag12,0.014144649,pastoral,0
acled_event_count,0.0,pastoral,0
acled_fatalities,0.0037368482,pastoral,0
acled_event_count_lag1,0.0026720832,pastoral,0
acled_fatalities_lag1,0.0036004188,pastoral,0
acled_event_count_lag3,0.0,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0,pastoral,0
acled_fatalities_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0,pastoral,0
acled_fatalities_lag12,0.0036524236,pastoral,0
maize_yield,0.0,pastoral,0
maize_yield_anomaly,0.0,pastoral,0
wheat_yield,0.0,pastoral,0
wheat_yield_anomaly,0.0,pastoral,0
sorghum_yield,0.0026207785,pastoral,0
sorghum_yield_anomaly,0.0,pastoral,0
teff_yield,0.0,pastoral,0
teff_yield_anomaly,0.010186957,pastoral,0
iod,0.011179433,pastoral,0
mei,0.024587601,pastoral,0
nino34,0.0030731808,pastoral,0
iod_lag1,0.009347556,pastoral,0
iod_lag3,0.015856914,pastoral,0
iod_lag6,0.024323028,pastoral,0
mei_lag1,0.011710866,pastoral,0
mei_lag3,0.0036889415,pastoral,0
mei_lag6,0.015000572,pastoral,0
nino34_lag1,0.017395142,pastoral,0
nino34_lag3,0.010260226,pastoral,0
nino34_lag6,0.0091158,pastoral,0
wvg,0.005038647,pastoral,0
wvg_lag1yr,0.011425688,pastoral,0
wvg_lag2yr,0.010381314,pastoral,0
wvg_lag3yr,0.00499301,pastoral,0
season_national_belg_meher,0.0,pastoral,0
season_somali_gu_deyr,0.0,pastoral,0
months_since_assessment,0.0,agropastoral,0
pct_pastoral,0.0030253474,agropastoral,0
pct_agropastoral,0.002029226,agropastoral,0
pct_crop_farming,0.002478735,agropastoral,0
is_harvest_season,0.00048544415,agropastoral,0
is_lean_season,0.0008696074,agropastoral,0
is_dry_season,0.00020371312,agropastoral,0
months_since_harvest_start,0.00021658765,agropastoral,0
months_since_lean_start,0.006525811,agropastoral,0
glofas_reach_count,0.01224512,agropastoral,0
agss_surveyed_flag,0.0,agropastoral,0
ipc_lag1,0.13871779,agropastoral,0
ipc_lag4,0.0069861,agropastoral,0
ipc_lag8,0.005635279,agropastoral,0
ipc_mean12,0.009848957,agropastoral,0
ha_share_lag1,0.0035904895,agropastoral,0
ha_share_lag4,0.031042349,agropastoral,0
ha_share_lag8,0.0036610446,agropastoral,0
ha_share_mean12,0.002553356,agropastoral,0
