feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0028515868,pastoral,0
pct_agropastoral,0.00879559,pastoral,0
pct_crop_farming,0.002765536,pastoral,0
is_harvest_season,0.0020362884,pastoral,0
is_lean_season,0.032536972,pastoral,0
is_dry_season,0.0026833864,pastoral,0
months_since_harvest_start,0.014821752,pastoral,0
months_since_lean_start,0.019054998,pastoral,0
agss_surveyed_flag,0.00079857477,pastoral,0
ipc_lag1,0.030174304,pastoral,0
ipc_lag4,0.01950122,pastoral,0
ipc_lag8,0.01757917,pastoral,0
ipc_mean12,0.009627607,pastoral,0
ha_share_lag1,0.023766428,pastoral,0
ha_share_lag4,0.012228038,pastoral,0
ha_share_lag8,0.0063656066,pastoral,0
ha_share_mean12,0.01026597,pastoral,0
acled_event_count,0.0002960839,pastoral,0
acled_fatalities,0.011212512,pastoral,0
acled_event_count_political_violence,0.0,pastoral,0
acled_fatalities_political_violence,0.0,pastoral,0
acled_event_count_demonstrations,0.0,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
acled_event_count_strategic_developments,0.0,pastoral,0
acled_fatalities_strategic_developments,0.0,pastoral,0
acled_event_count_lag1,0.015792632,pastoral,0
acled_fatalities_lag1,0.007038412,pastoral,0
acled_event_count_political_violence_lag1,0.0,pastoral,0
acled_fatalities_political_violence_lag1,0.0,pastoral,0
acled_event_count_demonstrations_lag1,0.00972014,pastoral,0
acled_fatalities_demonstrations_lag1,0.0,pastoral,0
acled_event_count_strategic_developments_lag1,0.00324755,pastoral,0
acled_fatalities_strategic_developments_lag1,0.0,pastoral,0
acled_event_count_lag3,0.0,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_political_violence_lag3,0.0,pastoral,0
acled_fatalities_political_violence_lag3,0.0,pastoral,0
acled_event_count_demonstrations_lag3,0.0,pastoral,0
acled_fatalities_demonstrations_lag3,0.0,pastoral,0
acled_event_count_strategic_developments_lag3,0.0,pastoral,0
acled_fatalities_strategic_developments_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0070425444,pastoral,0
acled_fatalities_lag6,0.004926615,pastoral,0
acled_event_count_political_violence_lag6,0.0,pastoral,0
acled_fatalities_political_violence_lag6,0.0,pastoral,0
acled_event_count_demonstrations_lag6,0.0,pastoral,0
acled_fatalities_demonstrations_lag6,0.0,pastoral,0
acled_event_count_strategic_developments_lag6,0.0,pastoral,0
acled_fatalities_strategic_developments_lag6,0.0,pastoral,0
acled_event_count_lag12,0.001923726,pastoral,0
acled_fatalities_lag12,0.006327661,pastoral,0
acled_event_count_political_violence_lag12,0.0076482976,pastoral,0
acled_fatalities_political_violence_lag12,0.0,pastoral,0
acled_event_count_demonstrations_lag12,0.0,pastoral,0
acled_fatalities_demonstrations_lag12,0.0,pastoral,0
acled_event_count_strategic_developments_lag12,0.0,pastoral,0
acled_fatalities_strategic_developments_lag12,0.0,pastoral,0
maize_price_etb,0.012493105,pastoral,0
maize_price_etb_lag1,0.003103617,pastoral,0
maize_price_etb_lag3,0.003758287,pastoral,0
maize_price_etb_lag6,0.007603304,pastoral,0
maize_price_etb_lag12,0.0029389102,pastoral,0
maize_price_index,0.0110875135,pastoral,0
maize_price_index_lag1,0.013866932,pastoral,0
maize_price_index_lag3,0.0036070254,pastoral,0
maize_price_index_lag6,0.0,pastoral,0
maize_price_index_lag12,0.0049349708,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0053197485,pastoral,0
wheat_price_etb_lag1,0.0073408047,pastoral,0
wheat_price_etb_lag3,0.006444706,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.002380303,pastoral,0
wheat_price_index,0.0036189384,pastoral,0
wheat_price_index_lag1,0.0082492465,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.0123936245,pastoral,0
wheat_price_index_lag12,0.0027984548,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0026867553,pastoral,0
sorghum_price_etb_lag1,0.0,pastoral,0
sorghum_price_etb_lag3,0.004491802,pastoral,0
sorghum_price_etb_lag6,0.0016527283,pastoral,0
sorghum_price_etb_lag12,0.009568158,pastoral,0
sorghum_price_index,0.0,pastoral,0
sorghum_price_index_lag1,0.010619683,pastoral,0
sorghum_price_index_lag3,0.0046225623,pastoral,0
sorghum_price_index_lag6,0.008281805,pastoral,0
sorghum_price_index_lag12,0.0006186215,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.004502041,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
