feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0037213177,pastoral,0
pct_agropastoral,0.0016363706,pastoral,0
pct_crop_farming,0.004415702,pastoral,0
is_harvest_season,0.0,pastoral,0
is_lean_season,0.0029820122,pastoral,0
is_dry_season,0.0015160306,pastoral,0
months_since_harvest_start,0.010350059,pastoral,0
months_since_lean_start,0.012061375,pastoral,0
glofas_reach_count,0.0009933339,pastoral,0
agss_surveyed_flag,0.0056439126,pastoral,0
ipc_lag1,0.11265541,pastoral,0
ipc_lag4,0.01879192,pastoral,0
ipc_lag8,0.0048371395,pastoral,0
ipc_mean12,0.009706804,pastoral,0
ha_share_lag1,0.0096087195,pastoral,0
ha_share_lag4,0.0049348967,pastoral,0
ha_share_lag8,0.0023454875,pastoral,0
ha_share_mean12,0.0039733797,pastoral,0
total_rainfall_mm,0.0025957583,pastoral,0
wet_days,0.0016751454,pastoral,0
max_dry_spell_length,0.0022000824,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.002880879,pastoral,0
rainfall_sum_6m,0.00065815187,pastoral,0
rainfall_sum_12m,0.041759104,pastoral,0
rainfall_sum_24m,0.009814543,pastoral,0
spi_1,0.0046403683,pastoral,0
spi_3,0.0042847013,pastoral,0
spi_6,0.014675922,pastoral,0
spi_12,0.016453486,pastoral,0
spi_24,0.0071747117,pastoral,0
pet_mm,0.0018374001,pastoral,0
sm_root,0.013091109,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0041693877,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.010539559,pastoral,0
spei_balance_sum_3m,0.0006455126,pastoral,0
sm_mean_6m,0.004979167,pastoral,0
spei_balance_sum_6m,0.002686157,pastoral,0
sm_mean_12m,0.021518705,pastoral,0
spei_balance_sum_12m,0.009856245,pastoral,0
sm_mean_24m,0.010682133,pastoral,0
spei_balance_sum_24m,0.009448677,pastoral,0
ssmi_1,0.007569293,pastoral,0
ssmi_3,0.004199388,pastoral,0
ssmi_6,0.002237305,pastoral,0
ssmi_12,0.0057238005,pastoral,0
ssmi_24,0.007055496,pastoral,0
spei_1,0.002943859,pastoral,0
spei_3,0.00643488,pastoral,0
spei_6,0.0018493386,pastoral,0
spei_12,0.020403098,pastoral,0
spei_24,0.0023929868,pastoral,0
ndvi,0.006654063,pastoral,0
ndvi_anomaly,0.0017485339,pastoral,0
ndvi_lag1,0.0032464154,pastoral,0
ndvi_lag3,0.0018968335,pastoral,0
ndvi_lag6,0.002933167,pastoral,0
ndvi_lag12,0.005305449,pastoral,0
ndvi_anomaly_lag1,0.006182649,pastoral,0
ndvi_anomaly_lag3,0.006267831,pastoral,0
ndvi_anomaly_lag6,0.0075529404,pastoral,0
ndvi_anomaly_lag12,0.0062276,pastoral,0
ndvi_cropland,0.0034045791,pastoral,0
ndvi_cropland_anomaly,0.0021667301,pastoral,0
ndvi_cropland_lag1,0.006886031,pastoral,0
ndvi_cropland_lag3,0.0041085053,pastoral,0
ndvi_cropland_lag6,0.0071331263,pastoral,0
