lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,45,0.3840548540843651,0.5239490197056904,0.2935137688560362,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,1,45,0.3552302521115381,0.4559697862751285,0.4649458089175307,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,2,45,0.3908939700571764,0.491264853007383,0.3789064399322678,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,3,45,0.37758771732351826,0.4943098140709602,0.3711832464756313,0.3396526166420552,0.4959526740056148,0.3669965015344797,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,4,45,0.44141578626460737,0.5677782747935618,0.17037242301089284,0.36484710589711794,0.507015585084112,0.33844149599875495,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,8,45,0.4308486219748537,0.5204021457873838,0.3030465131667376,0.4287118228488675,0.5984142379980666,0.07842756933206319,0.44175858945638496,0.5791462026695346,0.13681861857709476
agropastoral,12,45,0.45835020474536825,0.5449597046964131,0.23571661253336706,0.47235127488991696,0.6556413483914932,-0.10626279687629236,0.44175858945638496,0.5791462026695346,0.13681861857709476
crop_farming,0,603,0.3122901272512355,0.5230549438461828,0.5844884555523009,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,1,603,0.33311440040620793,0.559813043166571,0.5240355702723504,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,2,603,0.30982262562446616,0.509704710319406,0.6054284517228055,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,3,603,0.33679482405541483,0.5353029225612063,0.5648011882934276,0.2634561118466196,0.4843416106671752,0.6437195146596164,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,4,603,0.34610912356628665,0.590558994064726,0.47031820321469164,0.29445845439193163,0.5393069422265868,0.5582663401978049,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,8,603,0.3956622331875363,0.6551103449759691,0.3481954512740283,0.3355291599901303,0.6210466861564822,0.4142167227171273,0.35305264071658177,0.6559653866038714,0.34649288702612846
crop_farming,12,603,0.3925875586467179,0.6685144509850215,0.3212496427018393,0.3999172544503842,0.6997555816119351,0.25632836926788904,0.35305264071658177,0.6559653866038714,0.34649288702612846
pastoral,0,180,0.3940912105272024,0.49927514905653725,0.37139620595929057,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,1,180,0.4135283319809337,0.5164393354274027,0.3274327358020823,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,2,180,0.3890167211302878,0.5003112431297081,0.3687845460488762,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,3,180,0.45155259663571123,0.5656256067937038,0.19321981553980228,0.3382886393188928,0.48635528787038795,0.4035083314116319,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,4,180,0.4481522229429489,0.5527491842860349,0.22953428349717375,0.40636426604163156,0.5519713763664915,0.2317010988082523,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,8,180,0.5497241712734074,0.6863634966079746,-0.18796994680150592,0.42232965144300727,0.5890271356370795,0.12508129173108717,0.5732987703644838,0.7198381989899996,-0.3066728769919784
pastoral,12,180,0.5252248969548661,0.6598283804123737,-0.09789063545776999,0.4567531004229377,0.6170332858805453,0.03990483339511064,0.5732987703644838,0.7198381989899996,-0.3066728769919784
