feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0031981075,pastoral,0
pct_agropastoral,0.008121698,pastoral,0
pct_crop_farming,0.0039119017,pastoral,0
is_harvest_season,0.0020859975,pastoral,0
is_lean_season,0.030893417,pastoral,0
is_dry_season,0.0025968167,pastoral,0
months_since_harvest_start,0.01604037,pastoral,0
months_since_lean_start,0.022862632,pastoral,0
agss_surveyed_flag,0.00070508046,pastoral,0
ipc_lag1,0.030851303,pastoral,0
ipc_lag4,0.019387046,pastoral,0
ipc_lag8,0.01838856,pastoral,0
ipc_mean12,0.00974517,pastoral,0
ha_share_lag1,0.023048792,pastoral,0
ha_share_lag4,0.011588092,pastoral,0
ha_share_lag8,0.0057376707,pastoral,0
ha_share_mean12,0.011453439,pastoral,0
acled_event_count,0.0025621424,pastoral,0
acled_fatalities,0.0085159475,pastoral,0
acled_event_count_lag1,0.016660001,pastoral,0
acled_fatalities_lag1,0.0072562853,pastoral,0
acled_event_count_lag3,0.0,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_lag6,0.006733721,pastoral,0
acled_fatalities_lag6,0.004777389,pastoral,0
acled_event_count_lag12,0.0017439086,pastoral,0
acled_fatalities_lag12,0.0073607466,pastoral,0
maize_price_etb,0.012086159,pastoral,0
maize_price_etb_lag1,0.0035852105,pastoral,0
maize_price_etb_lag3,0.0036603538,pastoral,0
maize_price_etb_lag6,0.0048533073,pastoral,0
maize_price_etb_lag12,0.0032024751,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.015002236,pastoral,0
maize_price_index_lag3,0.0039179223,pastoral,0
maize_price_index_lag6,0.0,pastoral,0
maize_price_index_lag12,0.005215983,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0053538675,pastoral,0
wheat_price_etb_lag1,0.0073270015,pastoral,0
wheat_price_etb_lag3,0.006665325,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.00244206,pastoral,0
wheat_price_index,0.003860558,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.009125082,pastoral,0
wheat_price_index_lag12,0.0028768904,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.003298728,pastoral,0
sorghum_price_etb_lag1,0.0,pastoral,0
sorghum_price_etb_lag3,0.0048235953,pastoral,0
sorghum_price_etb_lag6,0.0016721381,pastoral,0
sorghum_price_etb_lag12,0.010004378,pastoral,0
sorghum_price_index,0.0,pastoral,0
sorghum_price_index_lag1,0.010414192,pastoral,0
sorghum_price_index_lag3,0.0044634836,pastoral,0
sorghum_price_index_lag6,0.008870592,pastoral,0
sorghum_price_index_lag12,0.0010061363,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.004695893,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
