feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.003544693,pastoral,0
pct_agropastoral,0.009541144,pastoral,0
pct_crop_farming,0.0031158887,pastoral,0
is_harvest_season,0.0019808812,pastoral,0
is_lean_season,0.0209875,pastoral,0
is_dry_season,0.0027678327,pastoral,0
months_since_harvest_start,0.017064204,pastoral,0
months_since_lean_start,0.024472369,pastoral,0
agss_surveyed_flag,0.00058373867,pastoral,0
ipc_lag1,0.029485112,pastoral,0
ipc_lag4,0.021466017,pastoral,0
ipc_lag8,0.018981457,pastoral,0
ipc_mean12,0.0108423075,pastoral,0
ha_share_lag1,0.025227888,pastoral,0
ha_share_lag4,0.013726408,pastoral,0
ha_share_lag8,0.006069568,pastoral,0
ha_share_mean12,0.011793622,pastoral,0
maize_price_etb,0.012902159,pastoral,0
maize_price_etb_lag1,0.0036410377,pastoral,0
maize_price_etb_lag3,0.0030876282,pastoral,0
maize_price_etb_lag6,0.006401676,pastoral,0
maize_price_etb_lag12,0.0031762829,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.019547857,pastoral,0
maize_price_index_lag3,0.00479769,pastoral,0
maize_price_index_lag6,0.0,pastoral,0
maize_price_index_lag12,0.0072961287,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0058778296,pastoral,0
wheat_price_etb_lag1,0.009872907,pastoral,0
wheat_price_etb_lag3,0.0,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.0038228808,pastoral,0
wheat_price_index,0.00454128,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.01608358,pastoral,0
wheat_price_index_lag12,0.003099443,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.003704169,pastoral,0
sorghum_price_etb_lag1,0.0025393793,pastoral,0
sorghum_price_etb_lag3,0.0050008986,pastoral,0
sorghum_price_etb_lag6,0.002045866,pastoral,0
sorghum_price_etb_lag12,0.0132476585,pastoral,0
sorghum_price_index,0.0017813883,pastoral,0
sorghum_price_index_lag1,0.010094582,pastoral,0
sorghum_price_index_lag3,0.005354157,pastoral,0
sorghum_price_index_lag6,0.009138207,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
