feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0008526054,pastoral,0
pct_agropastoral,0.0019494602,pastoral,0
pct_crop_farming,0.0046989303,pastoral,0
is_harvest_season,0.004112866,pastoral,0
is_lean_season,0.00013612182,pastoral,0
is_dry_season,0.00240322,pastoral,0
months_since_harvest_start,0.005715009,pastoral,0
months_since_lean_start,0.011350169,pastoral,0
glofas_reach_count,0.0041139405,pastoral,0
agss_surveyed_flag,0.013244051,pastoral,0
ipc_lag1,0.019627325,pastoral,0
ipc_lag4,0.007828204,pastoral,0
ipc_lag8,0.00657835,pastoral,0
ipc_mean12,0.0072947987,pastoral,0
ha_share_lag1,0.0182857,pastoral,0
ha_share_lag4,0.009635018,pastoral,0
ha_share_lag8,0.004572289,pastoral,0
ha_share_mean12,0.0059045716,pastoral,0
total_rainfall_mm,0.005413763,pastoral,0
wet_days,0.003769524,pastoral,0
max_dry_spell_length,0.0061563184,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.007988547,pastoral,0
rainfall_sum_6m,0.0040033227,pastoral,0
rainfall_sum_12m,0.01173087,pastoral,0
rainfall_sum_24m,0.0026095575,pastoral,0
spi_1,0.007769624,pastoral,0
spi_3,0.008011974,pastoral,0
spi_6,0.044649187,pastoral,0
spi_12,0.017214779,pastoral,0
spi_24,0.0064582536,pastoral,0
pet_mm,0.008596978,pastoral,0
sm_root,0.0043290253,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0024766007,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.005372429,pastoral,0
spei_balance_sum_3m,0.0027616655,pastoral,0
sm_mean_6m,0.0045157215,pastoral,0
spei_balance_sum_6m,0.010357668,pastoral,0
sm_mean_12m,0.0028057445,pastoral,0
spei_balance_sum_12m,0.007401168,pastoral,0
sm_mean_24m,0.003087155,pastoral,0
spei_balance_sum_24m,0.014151053,pastoral,0
ssmi_1,0.0010276476,pastoral,0
ssmi_3,0.004690776,pastoral,0
ssmi_6,0.004672972,pastoral,0
ssmi_12,0.0036559745,pastoral,0
ssmi_24,0.0031573148,pastoral,0
spei_1,0.0053322203,pastoral,0
spei_3,0.003937944,pastoral,0
spei_6,0.004730233,pastoral,0
spei_12,0.020109454,pastoral,0
spei_24,0.007510482,pastoral,0
ndvi,0.002011526,pastoral,0
ndvi_anomaly,0.0052771834,pastoral,0
ndvi_lag1,0.0077862917,pastoral,0
ndvi_lag3,0.0026364694,pastoral,0
ndvi_lag6,0.004897539,pastoral,0
ndvi_lag12,0.008219257,pastoral,0
ndvi_anomaly_lag1,0.010946862,pastoral,0
ndvi_anomaly_lag3,0.006320768,pastoral,0
ndvi_anomaly_lag6,0.00549535,pastoral,0
ndvi_anomaly_lag12,0.004093042,pastoral,0
ndvi_cropland,0.009070851,pastoral,0
ndvi_cropland_anomaly,0.0016812545,pastoral,0
ndvi_cropland_lag1,0.0042059985,pastoral,0
ndvi_cropland_lag3,0.005387893,pastoral,0
ndvi_cropland_lag6,0.011249098,pastoral,0
ndvi_cropland_lag12,0.0063868742,pastoral,0
ndvi_cropland_anomaly_lag1,0.0032728387,pastoral,0
ndvi_cropland_anomaly_lag3,0.005498966,pastoral,0
ndvi_cropland_anomaly_lag6,0.0055598076,pastoral,0
ndvi_cropland_anomaly_lag12,0.0044089956,pastoral,0
ndvi_rangeland,0.0,pastoral,0
ndvi_rangeland_anomaly,0.0019068717,pastoral,0
ndvi_rangeland_lag1,0.004006767,pastoral,0
ndvi_rangeland_lag3,0.0,pastoral,0
ndvi_rangeland_lag6,0.0010460304,pastoral,0
ndvi_rangeland_lag12,0.0032991597,pastoral,0
ndvi_rangeland_anomaly_lag1,0.007596634,pastoral,0
ndvi_rangeland_anomaly_lag3,0.004263839,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0033633283,pastoral,0
ndvi_rangeland_anomaly_lag12,0.014462499,pastoral,0
acled_event_count,0.007830672,pastoral,0
acled_fatalities,0.0,pastoral,0
acled_event_count_lag1,0.0,pastoral,0
acled_fatalities_lag1,0.0045067896,pastoral,0
acled_event_count_lag3,0.0008594644,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0,pastoral,0
acled_fatalities_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0014241455,pastoral,0
acled_fatalities_lag12,0.0037650098,pastoral,0
maize_price_etb,0.0070288987,pastoral,0
maize_price_etb_lag1,0.0018075088,pastoral,0
maize_price_etb_lag3,0.0039074617,pastoral,0
maize_price_etb_lag6,0.0053543337,pastoral,0
maize_price_etb_lag12,0.0010728919,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.0,pastoral,0
maize_price_index_lag3,0.0,pastoral,0
maize_price_index_lag6,0.003765101,pastoral,0
maize_price_index_lag12,0.0,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.003373564,pastoral,0
wheat_price_etb_lag1,0.0036308728,pastoral,0
wheat_price_etb_lag3,0.0,pastoral,0
wheat_price_etb_lag6,0.002602078,pastoral,0
wheat_price_etb_lag12,0.0,pastoral,0
wheat_price_index,0.0,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.0,pastoral,0
wheat_price_index_lag12,0.0,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.008756864,pastoral,0
sorghum_price_etb_lag1,0.011464815,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.0,pastoral,0
sorghum_price_etb_lag12,0.012252336,pastoral,0
sorghum_price_index,0.0058131143,pastoral,0
