feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0029813745,pastoral,0
pct_agropastoral,0.0010860433,pastoral,0
pct_crop_farming,0.0048197373,pastoral,0
is_harvest_season,4.8311656e-05,pastoral,0
is_lean_season,0.0032005887,pastoral,0
is_dry_season,0.0018515148,pastoral,0
months_since_harvest_start,0.010775919,pastoral,0
months_since_lean_start,0.011823287,pastoral,0
glofas_reach_count,0.0002242355,pastoral,0
agss_surveyed_flag,0.0052699666,pastoral,0
ipc_lag1,0.11269128,pastoral,0
ipc_lag4,0.018138254,pastoral,0
ipc_lag8,0.0046264012,pastoral,0
ipc_mean12,0.009621391,pastoral,0
ha_share_lag1,0.009637039,pastoral,0
ha_share_lag4,0.0034103894,pastoral,0
ha_share_lag8,0.003929108,pastoral,0
ha_share_mean12,0.003928397,pastoral,0
total_rainfall_mm,0.002515374,pastoral,0
wet_days,0.0019030427,pastoral,0
max_dry_spell_length,0.0020892294,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0039071687,pastoral,0
rainfall_sum_6m,0.0013439794,pastoral,0
rainfall_sum_12m,0.045093525,pastoral,0
rainfall_sum_24m,0.011886446,pastoral,0
spi_1,0.004564885,pastoral,0
spi_3,0.0036926442,pastoral,0
spi_6,0.015338281,pastoral,0
spi_12,0.015719322,pastoral,0
spi_24,0.006965548,pastoral,0
pet_mm,0.0019034883,pastoral,0
sm_root,0.01449083,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.00451675,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.009044014,pastoral,0
spei_balance_sum_3m,0.0013986729,pastoral,0
sm_mean_6m,0.0051339,pastoral,0
spei_balance_sum_6m,0.0026395055,pastoral,0
sm_mean_12m,0.021227544,pastoral,0
spei_balance_sum_12m,0.010227333,pastoral,0
sm_mean_24m,0.010623194,pastoral,0
spei_balance_sum_24m,0.009389108,pastoral,0
ssmi_1,0.011324224,pastoral,0
ssmi_3,0.0041576237,pastoral,0
ssmi_6,0.0025081853,pastoral,0
ssmi_12,0.0057199355,pastoral,0
ssmi_24,0.0066698412,pastoral,0
spei_1,0.0029424254,pastoral,0
spei_3,0.0064007826,pastoral,0
spei_6,0.0015390102,pastoral,0
spei_12,0.020570537,pastoral,0
spei_24,0.002084283,pastoral,0
ndvi,0.0063834707,pastoral,0
ndvi_anomaly,0.0015180522,pastoral,0
ndvi_lag1,0.0034703484,pastoral,0
ndvi_lag3,0.0019852598,pastoral,0
ndvi_lag6,0.0031589572,pastoral,0
ndvi_lag12,0.0052691223,pastoral,0
ndvi_anomaly_lag1,0.0078658685,pastoral,0
ndvi_anomaly_lag3,0.006349818,pastoral,0
ndvi_anomaly_lag6,0.007426421,pastoral,0
ndvi_anomaly_lag12,0.005489169,pastoral,0
ndvi_cropland,0.003164122,pastoral,0
ndvi_cropland_anomaly,0.0020861293,pastoral,0
ndvi_cropland_lag1,0.0063744793,pastoral,0
ndvi_cropland_lag3,0.00424832,pastoral,0
ndvi_cropland_lag6,0.0074560847,pastoral,0
ndvi_cropland_lag12,0.004160338,pastoral,0
ndvi_cropland_anomaly_lag1,0.0020426372,pastoral,0
ndvi_cropland_anomaly_lag3,0.0020107562,pastoral,0
ndvi_cropland_anomaly_lag6,0.0041818875,pastoral,0
ndvi_cropland_anomaly_lag12,0.0030683004,pastoral,0
ndvi_rangeland,0.0,pastoral,0
ndvi_rangeland_anomaly,0.005437582,pastoral,0
ndvi_rangeland_lag1,0.006169407,pastoral,0
ndvi_rangeland_lag3,0.0019591718,pastoral,0
ndvi_rangeland_lag6,0.0032156678,pastoral,0
ndvi_rangeland_lag12,0.002382252,pastoral,0
ndvi_rangeland_anomaly_lag1,0.00740196,pastoral,0
ndvi_rangeland_anomaly_lag3,0.0026696965,pastoral,0
ndvi_rangeland_anomaly_lag6,0.004557244,pastoral,0
ndvi_rangeland_anomaly_lag12,0.0074605695,pastoral,0
acled_event_count,0.0,pastoral,0
acled_fatalities,0.0041860593,pastoral,0
acled_event_count_lag1,0.0018796163,pastoral,0
acled_fatalities_lag1,0.0022130548,pastoral,0
acled_event_count_lag3,0.00011799149,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0,pastoral,0
acled_fatalities_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0,pastoral,0
acled_fatalities_lag12,0.0022438532,pastoral,0
maize_price_etb,0.0035409417,pastoral,0
maize_price_etb_lag1,0.0033263466,pastoral,0
maize_price_etb_lag3,0.0027584198,pastoral,0
maize_price_etb_lag6,0.0,pastoral,0
maize_price_etb_lag12,0.005712436,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.0,pastoral,0
maize_price_index_lag3,0.00162108,pastoral,0
maize_price_index_lag6,0.00745597,pastoral,0
maize_price_index_lag12,0.0,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0012772206,pastoral,0
wheat_price_etb_lag1,0.0,pastoral,0
wheat_price_etb_lag3,0.00063878426,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.0,pastoral,0
wheat_price_index,0.0,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.0,pastoral,0
wheat_price_index_lag12,0.0033107311,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0,pastoral,0
sorghum_price_etb_lag1,0.0022681695,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.0,pastoral,0
sorghum_price_etb_lag12,0.0023331556,pastoral,0
sorghum_price_index,0.0019715242,pastoral,0
sorghum_price_index_lag1,0.0,pastoral,0
sorghum_price_index_lag3,0.0,pastoral,0
sorghum_price_index_lag6,0.0,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
livestock_sheep_price_etb_lag1,0.0,pastoral,0
livestock_sheep_price_etb_lag3,0.0,pastoral,0
livestock_sheep_price_etb_lag6,0.0,pastoral,0
livestock_sheep_price_etb_lag12,0.0,pastoral,0
livestock_sheep_price_index,0.0,pastoral,0
livestock_sheep_price_index_lag1,0.0,pastoral,0
livestock_sheep_price_index_lag3,0.0,pastoral,0
livestock_sheep_price_index_lag6,0.0,pastoral,0
livestock_sheep_price_index_lag12,0.0,pastoral,0
livestock_sheep_n_markets,0.0,pastoral,0
goat_maize_tot,0.0,pastoral,0
goat_maize_tot_lag1,0.0,pastoral,0
goat_maize_tot_lag3,0.0,pastoral,0
goat_maize_tot_lag6,0.0,pastoral,0
goat_maize_tot_lag12,0.0,pastoral,0
sheep_maize_tot,0.0,pastoral,0
sheep_maize_tot_lag1,0.0,pastoral,0
sheep_maize_tot_lag3,0.0,pastoral,0
sheep_maize_tot_lag6,0.0,pastoral,0
sheep_maize_tot_lag12,0.0,pastoral,0
maize_yield,0.0,pastoral,0
maize_yield_anomaly,0.0,pastoral,0
wheat_yield,0.0,pastoral,0
wheat_yield_anomaly,0.0,pastoral,0
sorghum_yield,0.0010014423,pastoral,0
sorghum_yield_anomaly,0.0,pastoral,0
teff_yield,0.0,pastoral,0
teff_yield_anomaly,0.008087135,pastoral,0
headline_cpi,0.009848353,pastoral,0
headline_cpi_lag1,0.0,pastoral,0
headline_cpi_lag3,0.005059872,pastoral,0
headline_cpi_lag6,0.010679847,pastoral,0
headline_cpi_lag12,0.005096648,pastoral,0
headline_cpi_yoy_change,0.0010187903,pastoral,0
headline_cpi_yoy_change_lag1,0.017465591,pastoral,0
headline_cpi_yoy_change_lag3,0.00978972,pastoral,0
headline_cpi_yoy_change_lag6,0.01699493,pastoral,0
headline_cpi_yoy_change_lag12,0.006963778,pastoral,0
food_cpi,0.0,pastoral,0
food_cpi_lag1,0.013102556,pastoral,0
food_cpi_lag3,0.0045815622,pastoral,0
food_cpi_lag6,0.0060093305,pastoral,0
food_cpi_lag12,0.0,pastoral,0
food_cpi_yoy_change,0.0069611375,pastoral,0
food_cpi_yoy_change_lag1,0.02805505,pastoral,0
food_cpi_yoy_change_lag3,0.0,pastoral,0
food_cpi_yoy_change_lag6,0.0019237016,pastoral,0
food_cpi_yoy_change_lag12,0.009625519,pastoral,0
headline_cpi_chainlinked,0.0,pastoral,0
headline_cpi_chainlinked_lag1,0.0,pastoral,0
headline_cpi_chainlinked_lag3,0.0,pastoral,0
headline_cpi_chainlinked_lag6,0.0,pastoral,0
headline_cpi_chainlinked_lag12,0.0,pastoral,0
food_cpi_chainlinked,0.0,pastoral,0
food_cpi_chainlinked_lag1,0.0,pastoral,0
food_cpi_chainlinked_lag3,0.0,pastoral,0
food_cpi_chainlinked_lag6,0.0,pastoral,0
food_cpi_chainlinked_lag12,0.0,pastoral,0
exchange_rate,0.0,pastoral,0
exchange_rate_lag1,0.0,pastoral,0
exchange_rate_lag3,0.011152219,pastoral,0
exchange_rate_lag6,0.0032077238,pastoral,0
exchange_rate_lag12,0.0,pastoral,0
exchange_rate_yoy_change,0.014513356,pastoral,0
exchange_rate_yoy_change_lag1,0.0018436254,pastoral,0
exchange_rate_yoy_change_lag3,0.0045460076,pastoral,0
exchange_rate_yoy_change_lag6,0.006267774,pastoral,0
exchange_rate_yoy_change_lag12,0.008220956,pastoral,0
gdp_per_capita,0.0,pastoral,0
gdp_per_capita_yoy_change,0.0,pastoral,0
iod,0.008394425,pastoral,0
mei,0.018406529,pastoral,0
nino34,0.0007576956,pastoral,0
iod_lag1,0.0,pastoral,0
iod_lag3,0.027694805,pastoral,0
iod_lag6,0.024577832,pastoral,0
mei_lag1,0.0058537535,pastoral,0
mei_lag3,0.0023050385,pastoral,0
mei_lag6,0.011480393,pastoral,0
nino34_lag1,0.012234535,pastoral,0
nino34_lag3,0.0077487878,pastoral,0
nino34_lag6,0.007808656,pastoral,0
wvg,0.0,pastoral,0
wvg_lag1yr,0.004910941,pastoral,0
wvg_lag2yr,0.002397643,pastoral,0
wvg_lag3yr,0.0,pastoral,0
season_national_belg_meher,0.0,pastoral,0
season_somali_gu_deyr,0.0,pastoral,0
months_since_assessment,0.0,agropastoral,0
pct_pastoral,0.00070512854,agropastoral,0
pct_agropastoral,0.0012842742,agropastoral,0
pct_crop_farming,0.00018135567,agropastoral,0
is_harvest_season,0.00021030562,agropastoral,0
is_lean_season,0.0,agropastoral,0
is_dry_season,7.3912546e-05,agropastoral,0
months_since_harvest_start,0.00015945223,agropastoral,0
months_since_lean_start,0.0054374943,agropastoral,0
glofas_reach_count,0.009048693,agropastoral,0
agss_surveyed_flag,0.0,agropastoral,0
ipc_lag1,0.113686495,agropastoral,0
ipc_lag4,0.0046226536,agropastoral,0
ipc_lag8,0.0068346765,agropastoral,0
ipc_mean12,0.024829758,agropastoral,0
ha_share_lag1,0.0020983315,agropastoral,0
ha_share_lag4,0.009610148,agropastoral,0
ha_share_lag8,0.0018149046,agropastoral,0
ha_share_mean12,0.013063936,agropastoral,0
total_rainfall_mm,0.0010576241,agropastoral,0
wet_days,0.004148373,agropastoral,0
max_dry_spell_length,0.0072022597,agropastoral,0
rainfall_sum_1m,0.0,agropastoral,0
rainfall_sum_3m,0.0011673362,agropastoral,0
rainfall_sum_6m,0.0036892595,agropastoral,0
rainfall_sum_12m,0.017234959,agropastoral,0
rainfall_sum_24m,0.001486274,agropastoral,0
spi_1,0.0008259892,agropastoral,0
spi_3,0.0065600183,agropastoral,0
spi_6,0.009264069,agropastoral,0
spi_12,0.013529748,agropastoral,0
spi_24,0.0014119581,agropastoral,0
pet_mm,0.002083248,agropastoral,0
sm_root,0.005329082,agropastoral,0
precip_mm,0.0,agropastoral,0
spei_balance_mm,0.0021623056,agropastoral,0
sm_mean_1m,0.0,agropastoral,0
spei_balance_sum_1m,0.0,agropastoral,0
sm_mean_3m,0.005107462,agropastoral,0
spei_balance_sum_3m,0.0057718996,agropastoral,0
sm_mean_6m,0.0038487604,agropastoral,0
spei_balance_sum_6m,0.008171947,agropastoral,0
sm_mean_12m,0.06378196,agropastoral,0
spei_balance_sum_12m,0.024083083,agropastoral,0
sm_mean_24m,0.00022855123,agropastoral,0
spei_balance_sum_24m,0.002482391,agropastoral,0
ssmi_1,0.011744712,agropastoral,0
ssmi_3,0.016669527,agropastoral,0
ssmi_6,0.015653161,agropastoral,0
ssmi_12,0.00919954,agropastoral,0
ssmi_24,0.0040171132,agropastoral,0
spei_1,0.00097132457,agropastoral,0
spei_3,0.0014014917,agropastoral,0
spei_6,0.0021129716,agropastoral,0
spei_12,0.0154984165,agropastoral,0
spei_24,0.0052906466,agropastoral,0
ndvi,0.010695695,agropastoral,0
ndvi_anomaly,0.003079108,agropastoral,0
ndvi_lag1,0.0012204837,agropastoral,0
ndvi_lag3,0.0023426428,agropastoral,0
ndvi_lag6,0.006716228,agropastoral,0
ndvi_lag12,0.009964202,agropastoral,0
ndvi_anomaly_lag1,0.0054387366,agropastoral,0
ndvi_anomaly_lag3,0.008957094,agropastoral,0
ndvi_anomaly_lag6,0.0020959259,agropastoral,0
ndvi_anomaly_lag12,0.007021623,agropastoral,0
ndvi_cropland,0.0056900736,agropastoral,0
ndvi_cropland_anomaly,0.0073141493,agropastoral,0
ndvi_cropland_lag1,0.008421882,agropastoral,0
ndvi_cropland_lag3,0.014388418,agropastoral,0
ndvi_cropland_lag6,0.005351347,agropastoral,0
ndvi_cropland_lag12,0.007886612,agropastoral,0
ndvi_cropland_anomaly_lag1,0.0062496224,agropastoral,0
ndvi_cropland_anomaly_lag3,0.026416834,agropastoral,0
ndvi_cropland_anomaly_lag6,0.0042185187,agropastoral,0
ndvi_cropland_anomaly_lag12,0.0014280856,agropastoral,0
ndvi_rangeland,0.023766415,agropastoral,0
ndvi_rangeland_anomaly,0.0013006388,agropastoral,0
ndvi_rangeland_lag1,0.0009171168,agropastoral,0
ndvi_rangeland_lag3,0.0028355902,agropastoral,0
ndvi_rangeland_lag6,0.0,agropastoral,0
ndvi_rangeland_lag12,0.0035693368,agropastoral,0
ndvi_rangeland_anomaly_lag1,0.0030059102,agropastoral,0
ndvi_rangeland_anomaly_lag3,0.0026359155,agropastoral,0
ndvi_rangeland_anomaly_lag6,0.0009207528,agropastoral,0
ndvi_rangeland_anomaly_lag12,0.008573507,agropastoral,0
acled_event_count,0.0,agropastoral,0
acled_fatalities,0.0,agropastoral,0
acled_event_count_lag1,0.0,agropastoral,0
acled_fatalities_lag1,0.006597851,agropastoral,0
acled_event_count_lag3,0.0,agropastoral,0
acled_fatalities_lag3,0.0,agropastoral,0
acled_event_count_lag6,0.0013755946,agropastoral,0
acled_fatalities_lag6,0.001868684,agropastoral,0
acled_event_count_lag12,0.0023732139,agropastoral,0
acled_fatalities_lag12,0.0,agropastoral,0
maize_price_etb,0.0011722778,agropastoral,0
maize_price_etb_lag1,0.0050846157,agropastoral,0
maize_price_etb_lag3,0.0014510357,agropastoral,0
maize_price_etb_lag6,0.0016304265,agropastoral,0
maize_price_etb_lag12,0.0014232511,agropastoral,0
maize_price_index,0.002929133,agropastoral,0
maize_price_index_lag1,0.012148834,agropastoral,0
maize_price_index_lag3,0.025813205,agropastoral,0
maize_price_index_lag6,0.00473419,agropastoral,0
maize_price_index_lag12,0.0,agropastoral,0
maize_n_markets,0.0,agropastoral,0
wheat_price_etb,0.0,agropastoral,0
wheat_price_etb_lag1,0.0037295953,agropastoral,0
wheat_price_etb_lag3,0.0,agropastoral,0
wheat_price_etb_lag6,0.0,agropastoral,0
wheat_price_etb_lag12,0.0,agropastoral,0
wheat_price_index,0.0,agropastoral,0
wheat_price_index_lag1,0.0,agropastoral,0
wheat_price_index_lag3,0.0,agropastoral,0
wheat_price_index_lag6,0.0,agropastoral,0
wheat_price_index_lag12,0.0,agropastoral,0
wheat_n_markets,0.0,agropastoral,0
sorghum_price_etb,0.003813913,agropastoral,0
sorghum_price_etb_lag1,0.0041785836,agropastoral,0
sorghum_price_etb_lag3,0.0012970535,agropastoral,0
sorghum_price_etb_lag6,0.0007995374,agropastoral,0
sorghum_price_etb_lag12,0.0015177319,agropastoral,0
sorghum_price_index,0.003727042,agropastoral,0
sorghum_price_index_lag1,0.0012712728,agropastoral,0
sorghum_price_index_lag3,0.0,agropastoral,0
sorghum_price_index_lag6,0.042108554,agropastoral,0
sorghum_price_index_lag12,0.0018053051,agropastoral,0
sorghum_n_markets,0.0,agropastoral,0
teff_price_etb_lag3,0.0,agropastoral,0
teff_n_markets,0.0,agropastoral,0
fuel_diesel_price_etb,0.0,agropastoral,0
fuel_diesel_price_etb_lag1,0.0,agropastoral,0
fuel_diesel_price_etb_lag3,0.0,agropastoral,0
fuel_diesel_price_etb_lag6,0.0,agropastoral,0
fuel_diesel_price_etb_lag12,0.0,agropastoral,0
fuel_diesel_n_markets,0.0,agropastoral,0
fuel_petrol_n_markets,0.0,agropastoral,0
livestock_goat_price_etb,0.0,agropastoral,0
livestock_goat_price_etb_lag1,0.0,agropastoral,0
livestock_goat_price_etb_lag3,0.0,agropastoral,0
livestock_goat_price_etb_lag6,0.0,agropastoral,0
livestock_goat_price_etb_lag12,0.0,agropastoral,0
livestock_goat_price_index,0.0,agropastoral,0
livestock_goat_price_index_lag1,0.0,agropastoral,0
livestock_goat_price_index_lag3,0.0,agropastoral,0
livestock_goat_price_index_lag6,0.0,agropastoral,0
livestock_goat_price_index_lag12,0.0,agropastoral,0
livestock_goat_n_markets,0.0,agropastoral,0
livestock_sheep_price_etb,0.0,agropastoral,0
livestock_sheep_price_etb_lag1,0.0,agropastoral,0
livestock_sheep_price_etb_lag3,0.0,agropastoral,0
livestock_sheep_price_etb_lag6,0.0,agropastoral,0
livestock_sheep_price_etb_lag12,0.0011039369,agropastoral,0
livestock_sheep_price_index,0.0,agropastoral,0
livestock_sheep_price_index_lag1,0.0,agropastoral,0
livestock_sheep_price_index_lag3,0.0,agropastoral,0
livestock_sheep_price_index_lag6,0.0,agropastoral,0
livestock_sheep_price_index_lag12,0.0,agropastoral,0
livestock_sheep_n_markets,0.0,agropastoral,0
goat_maize_tot,0.0,agropastoral,0
goat_maize_tot_lag1,0.0,agropastoral,0
goat_maize_tot_lag3,0.0,agropastoral,0
goat_maize_tot_lag6,0.0,agropastoral,0
goat_maize_tot_lag12,0.0,agropastoral,0
sheep_maize_tot,0.0,agropastoral,0
sheep_maize_tot_lag1,0.0,agropastoral,0
sheep_maize_tot_lag3,0.0,agropastoral,0
sheep_maize_tot_lag6,0.0,agropastoral,0
sheep_maize_tot_lag12,0.0014532792,agropastoral,0
maize_yield,0.0328919,agropastoral,0
maize_yield_anomaly,0.0030869162,agropastoral,0
wheat_yield,0.0,agropastoral,0
wheat_yield_anomaly,0.0031864261,agropastoral,0
sorghum_yield,0.0027541902,agropastoral,0
sorghum_yield_anomaly,0.0075619407,agropastoral,0
teff_yield,0.0014390224,agropastoral,0
teff_yield_anomaly,0.0024683895,agropastoral,0
headline_cpi,0.0004727513,agropastoral,0
headline_cpi_lag1,0.0,agropastoral,0
headline_cpi_lag3,0.0032366365,agropastoral,0
headline_cpi_lag6,0.0,agropastoral,0
headline_cpi_lag12,0.0,agropastoral,0
headline_cpi_yoy_change,0.0012476568,agropastoral,0
headline_cpi_yoy_change_lag1,0.007339164,agropastoral,0
headline_cpi_yoy_change_lag3,0.0013738123,agropastoral,0
headline_cpi_yoy_change_lag6,0.008892957,agropastoral,0
headline_cpi_yoy_change_lag12,0.0016261903,agropastoral,0
food_cpi,0.007806572,agropastoral,0
food_cpi_lag1,0.0,agropastoral,0
food_cpi_lag3,0.0,agropastoral,0
food_cpi_lag6,0.00063605444,agropastoral,0
food_cpi_lag12,0.0,agropastoral,0
food_cpi_yoy_change,0.0025220069,agropastoral,0
food_cpi_yoy_change_lag1,0.0,agropastoral,0
food_cpi_yoy_change_lag3,0.0059969723,agropastoral,0
food_cpi_yoy_change_lag6,0.0,agropastoral,0
food_cpi_yoy_change_lag12,0.00193438,agropastoral,0
