feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0035963322,pastoral,0
pct_agropastoral,0.00916748,pastoral,0
pct_crop_farming,0.0032895454,pastoral,0
is_harvest_season,0.0018421223,pastoral,0
is_lean_season,0.025280416,pastoral,0
is_dry_season,0.0033244526,pastoral,0
months_since_harvest_start,0.016580855,pastoral,0
months_since_lean_start,0.022691678,pastoral,0
agss_surveyed_flag,0.0003423744,pastoral,0
ipc_lag1,0.028686028,pastoral,0
ipc_lag4,0.020734478,pastoral,0
ipc_lag8,0.018336393,pastoral,0
ipc_mean12,0.01069227,pastoral,0
ha_share_lag1,0.02500379,pastoral,0
ha_share_lag4,0.013092235,pastoral,0
ha_share_lag8,0.008613478,pastoral,0
ha_share_mean12,0.012459935,pastoral,0
acled_event_count,0.00070461276,pastoral,0
acled_fatalities,0.009565468,pastoral,0
maize_price_etb,0.012780141,pastoral,0
maize_price_etb_lag1,0.0042481,pastoral,0
maize_price_etb_lag3,0.0036778308,pastoral,0
maize_price_etb_lag6,0.008186361,pastoral,0
maize_price_etb_lag12,0.0030626897,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.017848529,pastoral,0
maize_price_index_lag3,0.0047981096,pastoral,0
maize_price_index_lag6,0.0,pastoral,0
maize_price_index_lag12,0.006892403,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0051738857,pastoral,0
wheat_price_etb_lag1,0.007852803,pastoral,0
wheat_price_etb_lag3,0.0,pastoral,0
wheat_price_etb_lag6,0.003512043,pastoral,0
wheat_price_etb_lag12,0.0037504612,pastoral,0
wheat_price_index,0.0041781384,pastoral,0
wheat_price_index_lag1,0.008867908,pastoral,0
wheat_price_index_lag3,0.0,pastoral,0
wheat_price_index_lag6,0.01125806,pastoral,0
wheat_price_index_lag12,0.0029986694,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.003691667,pastoral,0
sorghum_price_etb_lag1,0.0026768248,pastoral,0
sorghum_price_etb_lag3,0.0047204616,pastoral,0
sorghum_price_etb_lag6,0.0020428766,pastoral,0
sorghum_price_etb_lag12,0.012940133,pastoral,0
sorghum_price_index,0.0016574467,pastoral,0
sorghum_price_index_lag1,0.009964919,pastoral,0
sorghum_price_index_lag3,0.005008842,pastoral,0
sorghum_price_index_lag6,0.009040032,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
