feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.00300374,pastoral,0
pct_agropastoral,0.001813123,pastoral,0
pct_crop_farming,0.004768762,pastoral,0
is_harvest_season,0.0,pastoral,0
is_lean_season,0.0035608516,pastoral,0
is_dry_season,0.0,pastoral,0
months_since_harvest_start,0.010995462,pastoral,0
months_since_lean_start,0.012898242,pastoral,0
glofas_reach_count,0.00026977548,pastoral,0
agss_surveyed_flag,0.0053600357,pastoral,0
ipc_lag1,0.11353249,pastoral,0
ipc_lag4,0.01962211,pastoral,0
ipc_lag8,0.005118876,pastoral,0
ipc_mean12,0.009567979,pastoral,0
ha_share_lag1,0.009612131,pastoral,0
ha_share_lag4,0.0051685013,pastoral,0
ha_share_lag8,0.004334441,pastoral,0
ha_share_mean12,0.0045755836,pastoral,0
total_rainfall_mm,0.0024762205,pastoral,0
wet_days,0.0016676317,pastoral,0
max_dry_spell_length,0.002140448,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0033568293,pastoral,0
rainfall_sum_6m,0.0006072142,pastoral,0
rainfall_sum_12m,0.044067197,pastoral,0
rainfall_sum_24m,0.012133084,pastoral,0
spi_1,0.004460455,pastoral,0
spi_3,0.0038135434,pastoral,0
spi_6,0.013329819,pastoral,0
spi_12,0.016688162,pastoral,0
spi_24,0.007978307,pastoral,0
pet_mm,0.0021349273,pastoral,0
sm_root,0.0142338835,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0051236693,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.006489435,pastoral,0
spei_balance_sum_3m,0.00038977884,pastoral,0
sm_mean_6m,0.0055568246,pastoral,0
spei_balance_sum_6m,0.0026358655,pastoral,0
sm_mean_12m,0.02027744,pastoral,0
spei_balance_sum_12m,0.010197452,pastoral,0
sm_mean_24m,0.008391796,pastoral,0
spei_balance_sum_24m,0.009869318,pastoral,0
ssmi_1,0.0066454248,pastoral,0
ssmi_3,0.0037183722,pastoral,0
ssmi_6,0.0026823713,pastoral,0
ssmi_12,0.005749344,pastoral,0
ssmi_24,0.0066116895,pastoral,0
spei_1,0.0029838397,pastoral,0
spei_3,0.005816066,pastoral,0
spei_6,0.0024202766,pastoral,0
spei_12,0.021109527,pastoral,0
spei_24,0.0028598895,pastoral,0
ndvi,0.007382039,pastoral,0
ndvi_anomaly,0.0009657084,pastoral,0
ndvi_lag1,0.0038889153,pastoral,0
ndvi_lag3,0.00413461,pastoral,0
ndvi_lag6,0.002894186,pastoral,0
ndvi_lag12,0.0052016866,pastoral,0
ndvi_anomaly_lag1,0.01002252,pastoral,0
ndvi_anomaly_lag3,0.0056585087,pastoral,0
ndvi_anomaly_lag6,0.0073361793,pastoral,0
ndvi_anomaly_lag12,0.005121374,pastoral,0
ndvi_cropland,0.0025540362,pastoral,0
ndvi_cropland_anomaly,0.0016704634,pastoral,0
ndvi_cropland_lag1,0.0075658346,pastoral,0
ndvi_cropland_lag3,0.004778635,pastoral,0
ndvi_cropland_lag6,0.006903243,pastoral,0
ndvi_cropland_lag12,0.0021170136,pastoral,0
ndvi_cropland_anomaly_lag1,0.0016892686,pastoral,0
ndvi_cropland_anomaly_lag3,0.0026388345,pastoral,0
ndvi_cropland_anomaly_lag6,0.00396588,pastoral,0
ndvi_cropland_anomaly_lag12,0.0035455702,pastoral,0
ndvi_rangeland,0.0,pastoral,0
ndvi_rangeland_anomaly,0.0046836534,pastoral,0
ndvi_rangeland_lag1,0.0076180757,pastoral,0
ndvi_rangeland_lag3,0.0031884839,pastoral,0
ndvi_rangeland_lag6,0.0032272122,pastoral,0
ndvi_rangeland_lag12,0.0022387325,pastoral,0
ndvi_rangeland_anomaly_lag1,0.0064302627,pastoral,0
ndvi_rangeland_anomaly_lag3,0.0032882888,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0052650683,pastoral,0
ndvi_rangeland_anomaly_lag12,0.007121588,pastoral,0
acled_event_count,0.0,pastoral,0
acled_fatalities,0.003573443,pastoral,0
maize_price_etb,0.0030711174,pastoral,0
maize_price_etb_lag1,0.0030687004,pastoral,0
maize_price_etb_lag3,0.0030827816,pastoral,0
maize_price_etb_lag6,0.0028566765,pastoral,0
maize_price_etb_lag12,0.006201826,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.0,pastoral,0
maize_price_index_lag3,0.0018101144,pastoral,0
maize_price_index_lag6,0.0034944848,pastoral,0
maize_price_index_lag12,0.0,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.001221081,pastoral,0
wheat_price_etb_lag1,0.0,pastoral,0
wheat_price_etb_lag3,0.0006116088,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.0013665922,pastoral,0
wheat_price_index,0.0,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0016656239,pastoral,0
wheat_price_index_lag6,0.0018860046,pastoral,0
wheat_price_index_lag12,0.0038441722,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0028437627,pastoral,0
sorghum_price_etb_lag1,0.0,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.0,pastoral,0
sorghum_price_etb_lag12,0.0031903912,pastoral,0
sorghum_price_index,0.0019242,pastoral,0
sorghum_price_index_lag1,0.0,pastoral,0
sorghum_price_index_lag3,0.0,pastoral,0
sorghum_price_index_lag6,0.0,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
livestock_sheep_price_etb_lag1,0.0,pastoral,0
livestock_sheep_price_etb_lag3,0.0,pastoral,0
