feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.00085734425,pastoral,0
pct_agropastoral,0.0028884313,pastoral,0
pct_crop_farming,0.005055875,pastoral,0
is_harvest_season,0.0062923157,pastoral,0
is_lean_season,0.00015545315,pastoral,0
is_dry_season,0.001041151,pastoral,0
months_since_harvest_start,0.00577396,pastoral,0
months_since_lean_start,0.010698556,pastoral,0
glofas_reach_count,5.0210324e-06,pastoral,0
agss_surveyed_flag,0.0,pastoral,0
ipc_lag1,0.019313905,pastoral,0
ipc_lag4,0.0076935175,pastoral,0
ipc_lag8,0.006293836,pastoral,0
ipc_mean12,0.0074740076,pastoral,0
ha_share_lag1,0.017684849,pastoral,0
ha_share_lag4,0.009121619,pastoral,0
ha_share_lag8,0.004197427,pastoral,0
ha_share_mean12,0.0051415376,pastoral,0
total_rainfall_mm,0.005536357,pastoral,0
wet_days,0.0033210844,pastoral,0
max_dry_spell_length,0.0057897894,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.007981675,pastoral,0
rainfall_sum_6m,0.004483337,pastoral,0
rainfall_sum_12m,0.010522311,pastoral,0
rainfall_sum_24m,0.0025319394,pastoral,0
spi_1,0.008194769,pastoral,0
spi_3,0.0088892635,pastoral,0
spi_6,0.043680772,pastoral,0
spi_12,0.018315172,pastoral,0
spi_24,0.006300704,pastoral,0
pet_mm,0.008528057,pastoral,0
sm_root,0.0043692742,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0026617348,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.0063595604,pastoral,0
spei_balance_sum_3m,0.002811483,pastoral,0
sm_mean_6m,0.007329969,pastoral,0
spei_balance_sum_6m,0.009118298,pastoral,0
sm_mean_12m,0.0023193762,pastoral,0
spei_balance_sum_12m,0.004439159,pastoral,0
sm_mean_24m,0.0021731185,pastoral,0
spei_balance_sum_24m,0.01480902,pastoral,0
ssmi_1,0.0009812441,pastoral,0
ssmi_3,0.004563962,pastoral,0
ssmi_6,0.004947365,pastoral,0
ssmi_12,0.0037985332,pastoral,0
ssmi_24,0.0028664244,pastoral,0
spei_1,0.004864154,pastoral,0
spei_3,0.004604909,pastoral,0
spei_6,0.0047420305,pastoral,0
spei_12,0.023856767,pastoral,0
spei_24,0.0073310384,pastoral,0
ndvi,0.0016254112,pastoral,0
ndvi_anomaly,0.004182952,pastoral,0
ndvi_lag1,0.0072747422,pastoral,0
ndvi_lag3,0.0034099175,pastoral,0
ndvi_lag6,0.0016560127,pastoral,0
ndvi_lag12,0.008421414,pastoral,0
ndvi_anomaly_lag1,0.009966659,pastoral,0
ndvi_anomaly_lag3,0.0050432216,pastoral,0
ndvi_anomaly_lag6,0.0054792077,pastoral,0
ndvi_anomaly_lag12,0.0051100203,pastoral,0
ndvi_cropland,0.008239642,pastoral,0
ndvi_cropland_anomaly,0.0022825329,pastoral,0
ndvi_cropland_lag1,0.0046119606,pastoral,0
ndvi_cropland_lag3,0.0049304697,pastoral,0
ndvi_cropland_lag6,0.010185608,pastoral,0
ndvi_cropland_lag12,0.0068673445,pastoral,0
ndvi_cropland_anomaly_lag1,0.00346625,pastoral,0
ndvi_cropland_anomaly_lag3,0.0061165984,pastoral,0
ndvi_cropland_anomaly_lag6,0.0054800897,pastoral,0
ndvi_cropland_anomaly_lag12,0.004207953,pastoral,0
ndvi_rangeland,0.0,pastoral,0
ndvi_rangeland_anomaly,0.001454187,pastoral,0
ndvi_rangeland_lag1,0.0042927437,pastoral,0
ndvi_rangeland_lag3,0.0,pastoral,0
ndvi_rangeland_lag6,0.0057253027,pastoral,0
ndvi_rangeland_lag12,0.0,pastoral,0
ndvi_rangeland_anomaly_lag1,0.008018574,pastoral,0
ndvi_rangeland_anomaly_lag3,0.0038571532,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0040013725,pastoral,0
ndvi_rangeland_anomaly_lag12,0.014031885,pastoral,0
acled_event_count,0.0071805585,pastoral,0
acled_fatalities,0.0,pastoral,0
acled_event_count_political_violence,0.0,pastoral,0
acled_fatalities_political_violence,0.0,pastoral,0
acled_event_count_demonstrations,0.0,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
