lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,10,0.3175489450258585,0.5100558745308087,0.17426269977877973,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,1,10,0.39157808803251615,0.5410226123519213,0.07095397527099478,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,2,10,0.33358180901296897,0.4648127261512331,0.3142553698019004,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,3,10,0.3783250725481705,0.5339970346972321,0.09492600652114147,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,4,10,0.3094414647343386,0.49652177797017816,0.21750242745534665,0.1894933637237105,0.35514123267394104,0.5996787991598191,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,8,10,0.42353825623160396,0.5321537730949898,0.10116352739125312,0.20798289759389155,0.3650828887255545,0.5769522868963475,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,12,10,0.3470935751653901,0.5009607594758188,0.2034485865703105,0.20798289759389155,0.3650828887255545,0.5769522868963475,0.33003782820021016,0.48364727773133886,0.2575556775528969
crop_farming,0,134,0.29166052737162157,0.45675956035398363,0.5264517450089579,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,1,134,0.27656980658871905,0.45439881957762424,0.5313341198984428,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,2,134,0.300225474706453,0.42061989572568004,0.598423240549194,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,3,134,0.27772986047574233,0.41471314175960367,0.6096227109880767,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,4,134,0.28535924170064464,0.40817083665320214,0.6218423492233395,0.22154635094236422,0.42008885692789066,0.5994365935755399,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,8,134,0.3045639343317202,0.4285270959621438,0.5831829039094126,0.27729828991451,0.4827919938970975,0.47093495697165455,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,12,134,0.3437846263132815,0.4774989731911228,0.4824720231739721,0.27729828991451,0.4827919938970975,0.47093495697165455,0.3284833783117115,0.5038998970007573,0.4236616919314353
pastoral,0,40,0.2530151288176622,0.30647970835121596,0.638379178494179,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,1,40,0.26513416693767383,0.3277061125358851,0.5865537460612792,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,2,40,0.2422501460410084,0.29984397234257,0.653868899929654,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,3,40,0.25033438612715786,0.29711348859965886,0.6601441777346226,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,4,40,0.3540768178263243,0.41343877312990185,0.34192955935139513,0.21228492497248252,0.3296734859121757,0.5815746215257012,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,8,40,0.3851591063637113,0.45430289482553426,0.2054138599964217,0.20794903424708963,0.33458402998845543,0.5690167490748779,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,12,40,0.2527440120727884,0.3096050437604909,0.6309662967878218,0.20794903424708963,0.33458402998845543,0.5690167490748779,0.3631118774882337,0.4257144626852911,0.30227098049036716
