lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,ET0410,2,0.3091421706694042,0.3664506373425049,-10.589787788857429,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,0,ET0502,2,0.07944653441403193,0.08234819699951809,-56.497666879007625,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,0,ET0707,2,0.18374376311231344,0.22375436314404773,-0.877490924968215,0.17381170704293936,0.23141725471366084,-1.0082893983970842,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,0,ET0712,2,0.8845610365940062,1.0449909443311478,-3.5098553461633264,0.9841498181892363,0.9841498181892363,-3.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,0,ET1201,2,0.13085122033953667,0.13283671103666436,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,1,ET0410,2,0.48311997005865703,0.48677094414083316,-19.45002366815042,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,1,ET0502,2,0.16084098587874618,0.2108979638869992,-376.126288076397,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,1,ET0707,2,0.40089789894646255,0.5082217518603671,-8.6859298394695,0.17381170704293936,0.23141725471366084,-1.0082893983970842,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,1,ET0712,2,0.8758849248958556,0.9598192928931638,-2.8046657481454593,0.9841498181892363,0.9841498181892363,-3.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,1,ET1201,2,0.03714666038285941,0.050606403498889105,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,2,ET0410,2,0.21989408122525345,0.2259262704232646,-3.4053253419590073,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,2,ET0502,2,0.1397016562780352,0.14103238691979525,-167.64743693475904,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,2,ET0707,2,0.25110709327537506,0.3256949008959204,-2.977926364712374,0.17381170704293936,0.23141725471366084,-1.0082893983970842,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,2,ET0712,2,0.9052221298886267,0.937577766939173,-2.6303806073567437,0.9841498181892363,0.9841498181892363,-3.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,2,ET1201,2,0.1519840843975544,0.15553874309893112,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,3,ET0410,2,0.2926400023154987,0.32129313593014774,-7.909378634450739,0.20532817939446102,0.2055693069306015,-2.647212474789135,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,3,ET0502,2,0.16936272310819345,0.18356510696023265,-284.70793098599705,0.07371147204991135,0.09020254239535498,-67.98895867973732,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,3,ET0707,2,0.3686148033969471,0.43293305929939974,-6.0287212772704954,0.17381170704293936,0.23141725471366084,-1.0082893983970842,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,3,ET0712,2,1.017253835566136,1.0485655454940952,-3.5407618467361894,0.9841498181892363,0.9841498181892363,-3.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,3,ET1201,2,0.04375399835407734,0.04379498380371755,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,4,ET0410,2,0.1936338929798811,0.2443230028296127,-4.15196893988776,0.22608222946192902,0.30597569992732576,-7.0801308743276365,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,4,ET0502,2,0.26647396538315216,0.30046228514805606,-764.4590545178181,0.06130147428864474,0.07469662510107579,-46.30902451414263,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,4,ET0707,2,0.33016352850390185,0.42150517434968854,-5.662552462649957,0.16800820577336062,0.21714126428979497,-0.7681517915398886,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,4,ET0712,2,0.7497960053718551,0.9512939395136543,-2.737377942210564,0.49207490909461815,0.6958990101451168,-1.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,4,ET1201,2,0.007139931432902813,0.008443584919588519,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,8,ET0410,2,0.41097707843953846,0.4138540603177273,-13.782196195406984,0.32461579839399635,0.3419970793439163,-9.094604672935304,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,8,ET0502,2,0.27421280109513646,0.369874447619018,-1158.9805091468454,0.02947989924620742,0.03141661347826008,-7.368753395820033,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,8,ET0707,2,0.5212130625040431,0.6840768305803067,-16.548685212187376,0.19374388123463582,0.2533833854020686,-1.4076374490313137,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,8,ET0712,2,0.7254748897961243,0.7767796265431299,-1.4919149225500665,0.49207490909461815,0.6958990101451168,-1.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,8,ET1201,2,0.18581344932317734,0.19107119747346635,0.0,0.0,0.0,1.0,0.0,0.0,1.0
agropastoral,12,ET0410,2,0.45897633632013,0.4831182998559099,-19.144268332462495,0.32461579839399635,0.3419970793439163,-9.094604672935304,0.41149029584717745,0.4126668952885851,-13.697510611692252
agropastoral,12,ET0502,2,0.24430798665810471,0.2445006187465875,-505.87626779170046,0.02947989924620742,0.03141661347826008,-7.368753395820033,0.29058796083173555,0.328693934155133,-915.0631467714331
agropastoral,12,ET0707,2,0.33012023223814635,0.42577761767435124,-5.798302362428872,0.19374388123463582,0.2533833854020686,-1.4076374490313137,0.3333614240898489,0.3827858413041257,-4.494732468857751
agropastoral,12,ET0712,2,0.6442854669279321,0.8814754057473275,-2.2089131063847147,0.49207490909461815,0.6958990101451168,-1.0,0.6147494602322889,0.8629685841119988,-2.0755835520919357
agropastoral,12,ET1201,2,0.057777853682637215,0.05778492710002526,0.0,0.0,0.0,1.0,0.0,0.0,1.0
crop_farming,0,ET0101,2,0.31651879911529335,0.3165189653309129,-0.7895484599319442,0.28531994735109123,0.34163111391123097,-1.0847732338822862,0.8722530064964689,0.896748894389275,-13.364340401537577
crop_farming,0,ET0102,2,0.3445201200203023,0.3454627268046859,-1.4102451070736373,0.35142549693146563,0.36368097370545044,-1.6711604687220762,1.1278357880349752,1.1284795553989113,-24.718533876119515
crop_farming,0,ET0103,2,0.2885918553363098,0.39789014773195736,-0.5198862710317,0.41552257644045487,0.4749134026511115,-1.1652775500077368,0.8457029901773557,0.8590543056123305,-6.0847733078363495
crop_farming,0,ET0104,2,0.23778314550531032,0.3187694036005795,-0.42452657681501194,0.3848864439607871,0.4128197712148946,-1.3891217056157492,0.9219081978298604,0.9288842644363453,-11.095964624944079
crop_farming,0,ET0105,2,0.6860119088093515,0.6874482934536122,-1.5239440196354477,0.9286523296038385,0.9308021586311792,-3.627158810530652,0.39720458368930067,0.5593139158618364,-0.6707477748344395
crop_farming,0,ET0106,2,0.3117733607248059,0.36811150813487137,-0.23552662024061433,0.4268279606655827,0.4874933016882071,-1.1668588531698845,0.8038121529175879,0.8081441717233597,-4.9548524871394575
crop_farming,0,ET0107,2,0.028910523142655853,0.02909537596713931,0.4984383126062929,0.04258731012740724,0.05813902632918323,-1.0026816399557785,0.4160829665639647,0.5330327007846773,-167.33875628945347
crop_farming,0,ET0301,2,0.1756597521204013,0.2366613808288697,-0.44586513089880064,0.2535104869354028,0.2896590979987151,-1.1659445985185402,0.8447179318054033,0.8454018740971428,-17.450129060779055
crop_farming,0,ET0302,2,0.21128128793835876,0.21903042697964228,-0.40828805201368246,0.36631714132428406,0.3663280019317945,-2.9393342279051398,0.27152615651348433,0.27629238022153363,-1.240889340721183
crop_farming,0,ET0303,2,0.3024326419020511,0.31468930617863644,-0.7054274232120923,0.4732159791076995,0.47329643737530736,-2.8577647745636914,0.6143979410673452,0.614490439449832,-5.502787061468291
crop_farming,0,ET0304,2,0.33937899252581283,0.35610115847108936,-2.282316846353677,0.46032388551342174,0.46520522657271657,-4.601739379674056,0.25408909055652995,0.2745374950921101,-0.950909225072903
