lhz,lead,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline,mae_baseline2,rmse_baseline2,r2_baseline2
agropastoral,0,10,0.27205672808247205,0.4590463575830603,0.33116423750664126,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,1,10,0.35312925339000817,0.507901904188182,0.18122216517747425,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,2,10,0.41239265736979147,0.5490279984443885,0.04325680886941141,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,3,10,0.3295068034090148,0.49141614916733706,0.23351220474418943,0.2874002353353096,0.46314145766226283,0.3191777953284777,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,4,10,0.25896486301448235,0.4757705306394281,0.28154185664123943,0.1894933637237105,0.35514123267394104,0.5996787991598191,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,8,10,0.35372542699789794,0.48363849025516215,0.2575826565221856,0.20798289759389155,0.3650828887255545,0.5769522868963475,0.33003782820021016,0.48364727773133886,0.2575556775528969
agropastoral,12,10,0.37616869779002576,0.5333623327431153,0.09707624632300893,0.20798289759389155,0.3650828887255545,0.5769522868963475,0.33003782820021016,0.48364727773133886,0.2575556775528969
crop_farming,0,134,0.2852890404007042,0.4602149506833952,0.5192598502210742,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,1,134,0.2892116446858446,0.4731357717169989,0.49188675380507063,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,2,134,0.25665198350953383,0.4145664180822929,0.6098988896442924,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,3,134,0.2776455166044016,0.43293283170789765,0.5745681579878723,0.2729705851194751,0.4612240066713423,0.5171494210472705,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,4,134,0.2913846965227824,0.43862860950660054,0.563300335543172,0.22154635094236422,0.42008885692789066,0.5994365935755399,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,8,134,0.2842481259147852,0.42443534243211356,0.5911047850236473,0.27729828991451,0.4827919938970975,0.47093495697165455,0.3284833783117115,0.5038998970007573,0.4236616919314353
crop_farming,12,134,0.3380418565849502,0.4734980661362385,0.49110830041053866,0.27729828991451,0.4827919938970975,0.47093495697165455,0.3284833783117115,0.5038998970007573,0.4236616919314353
pastoral,0,40,0.2195640459662737,0.2834322275833519,0.6907224209347795,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,1,40,0.22824148978616696,0.29921971837829026,0.6553086406360829,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,2,40,0.18302086383688407,0.2603469334693543,0.7390514365535039,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,3,40,0.20830446740231606,0.2793552776476596,0.6995558596905707,0.18536892077021488,0.31193279309751365,0.6253963151859434,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,4,40,0.3335178577587765,0.38894277385104015,0.4175999663633564,0.21228492497248252,0.3296734859121757,0.5815746215257012,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,8,40,0.33566371785360594,0.39099395877864435,0.4114409101425395,0.20794903424708963,0.33458402998845543,0.5690167490748779,0.3631118774882337,0.4257144626852911,0.30227098049036716
pastoral,12,40,0.2894589975526973,0.3590793162805862,0.5036011619917065,0.20794903424708963,0.33458402998845543,0.5690167490748779,0.3631118774882337,0.4257144626852911,0.30227098049036716
