feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
glofas_reach_count,0.00029746047,pastoral,0
ipc_lag1,0.11172678,pastoral,0
ipc_lag4,0.02165725,pastoral,0
ipc_lag8,0.0062858197,pastoral,0
ipc_mean12,0.011078255,pastoral,0
ha_share_lag1,0.012457773,pastoral,0
ha_share_lag4,0.004711288,pastoral,0
ha_share_lag8,0.0017549854,pastoral,0
ha_share_mean12,0.0038670201,pastoral,0
total_rainfall_mm,0.0022310845,pastoral,0
wet_days,0.0018321035,pastoral,0
max_dry_spell_length,0.0022329078,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0036040575,pastoral,0
rainfall_sum_6m,0.0062581995,pastoral,0
rainfall_sum_12m,0.046832412,pastoral,0
rainfall_sum_24m,0.009928091,pastoral,0
spi_1,0.0056011924,pastoral,0
spi_3,0.0034810288,pastoral,0
spi_6,0.013366503,pastoral,0
spi_12,0.017772662,pastoral,0
spi_24,0.007382064,pastoral,0
pet_mm,0.0029441905,pastoral,0
sm_root,0.007158292,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.0037612445,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.009807504,pastoral,0
spei_balance_sum_3m,0.0018086117,pastoral,0
sm_mean_6m,0.0063523324,pastoral,0
spei_balance_sum_6m,0.0035280804,pastoral,0
sm_mean_12m,0.02085409,pastoral,0
spei_balance_sum_12m,0.011361184,pastoral,0
sm_mean_24m,0.013209297,pastoral,0
spei_balance_sum_24m,0.009253421,pastoral,0
ssmi_1,0.0024738347,pastoral,0
ssmi_3,0.0044759833,pastoral,0
ssmi_6,0.0027154793,pastoral,0
ssmi_12,0.0061150263,pastoral,0
ssmi_24,0.0070987525,pastoral,0
spei_1,0.0039612423,pastoral,0
spei_3,0.005576434,pastoral,0
spei_6,0.0014185843,pastoral,0
spei_12,0.018968161,pastoral,0
spei_24,0.002549182,pastoral,0
ndvi,0.00793125,pastoral,0
ndvi_anomaly,0.0,pastoral,0
ndvi_lag1,0.0034237737,pastoral,0
ndvi_lag3,0.0018524805,pastoral,0
ndvi_lag6,0.003818072,pastoral,0
ndvi_lag12,0.0057601817,pastoral,0
ndvi_anomaly_lag1,0.010563799,pastoral,0
ndvi_anomaly_lag3,0.008261109,pastoral,0
ndvi_anomaly_lag6,0.008367447,pastoral,0
ndvi_anomaly_lag12,0.0048092664,pastoral,0
ndvi_cropland,0.0031663096,pastoral,0
ndvi_cropland_anomaly,0.0020949992,pastoral,0
ndvi_cropland_lag1,0.0063594603,pastoral,0
ndvi_cropland_lag3,0.006006191,pastoral,0
ndvi_cropland_lag6,0.007982142,pastoral,0
ndvi_cropland_lag12,0.0035172214,pastoral,0
ndvi_cropland_anomaly_lag1,0.0031770808,pastoral,0
