feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.00678006,pastoral,0
pct_agropastoral,0.0036725344,pastoral,0
pct_crop_farming,0.009732664,pastoral,0
is_harvest_season,0.0012954278,pastoral,0
is_lean_season,0.007250464,pastoral,0
is_dry_season,0.0049335873,pastoral,0
months_since_harvest_start,0.01892425,pastoral,0
months_since_lean_start,0.01944775,pastoral,0
agss_surveyed_flag,0.009351819,pastoral,0
ipc_lag1,0.12664299,pastoral,0
ipc_lag4,0.028318275,pastoral,0
ipc_lag8,0.016818263,pastoral,0
ipc_mean12,0.015961394,pastoral,0
ha_share_lag1,0.012864716,pastoral,0
ha_share_lag4,0.0035108724,pastoral,0
ha_share_lag8,0.003257642,pastoral,0
ha_share_mean12,0.004569411,pastoral,0
acled_event_count,0.009968866,pastoral,0
acled_fatalities,0.0064451634,pastoral,0
acled_event_count_political_violence,0.0050339866,pastoral,0
acled_fatalities_political_violence,0.0,pastoral,0
acled_event_count_demonstrations,0.0,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
acled_event_count_strategic_developments,0.0,pastoral,0
acled_fatalities_strategic_developments,0.0,pastoral,0
acled_event_count_lag1,0.008577044,pastoral,0
acled_fatalities_lag1,0.0044858684,pastoral,0
acled_event_count_political_violence_lag1,0.0032691741,pastoral,0
acled_fatalities_political_violence_lag1,0.0,pastoral,0
acled_event_count_demonstrations_lag1,0.0039905296,pastoral,0
acled_fatalities_demonstrations_lag1,0.0,pastoral,0
acled_event_count_strategic_developments_lag1,0.0,pastoral,0
acled_fatalities_strategic_developments_lag1,0.0,pastoral,0
acled_event_count_lag3,0.0023575346,pastoral,0
acled_fatalities_lag3,0.003362647,pastoral,0
acled_event_count_political_violence_lag3,0.0,pastoral,0
acled_fatalities_political_violence_lag3,0.0,pastoral,0
acled_event_count_demonstrations_lag3,0.0,pastoral,0
acled_fatalities_demonstrations_lag3,0.0,pastoral,0
acled_event_count_strategic_developments_lag3,0.0,pastoral,0
acled_fatalities_strategic_developments_lag3,0.0,pastoral,0
acled_event_count_lag6,0.00528264,pastoral,0
acled_fatalities_lag6,0.005961604,pastoral,0
acled_event_count_political_violence_lag6,0.0,pastoral,0
acled_fatalities_political_violence_lag6,0.0,pastoral,0
acled_event_count_demonstrations_lag6,0.0025670403,pastoral,0
acled_fatalities_demonstrations_lag6,0.0,pastoral,0
acled_event_count_strategic_developments_lag6,0.0,pastoral,0
acled_fatalities_strategic_developments_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0020457273,pastoral,0
acled_fatalities_lag12,0.009957598,pastoral,0
acled_event_count_political_violence_lag12,0.0039023608,pastoral,0
acled_fatalities_political_violence_lag12,0.0,pastoral,0
acled_event_count_demonstrations_lag12,0.0,pastoral,0
acled_fatalities_demonstrations_lag12,0.0,pastoral,0
acled_event_count_strategic_developments_lag12,0.0,pastoral,0
acled_fatalities_strategic_developments_lag12,0.0,pastoral,0
maize_price_etb,0.007247005,pastoral,0
maize_price_etb_lag1,0.0064664097,pastoral,0
maize_price_etb_lag3,0.02006185,pastoral,0
maize_price_etb_lag6,0.00432002,pastoral,0
maize_price_etb_lag12,0.009087503,pastoral,0
maize_price_index,0.0042606816,pastoral,0
maize_price_index_lag1,0.011245072,pastoral,0
maize_price_index_lag3,0.0017504751,pastoral,0
maize_price_index_lag6,0.015465672,pastoral,0
maize_price_index_lag12,0.0046424377,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.001394135,pastoral,0
wheat_price_etb_lag1,0.0069108536,pastoral,0
wheat_price_etb_lag3,0.00074815523,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.00805694,pastoral,0
wheat_price_index,0.0012180819,pastoral,0
wheat_price_index_lag1,0.01099581,pastoral,0
wheat_price_index_lag3,0.0035954528,pastoral,0
wheat_price_index_lag6,0.014019059,pastoral,0
wheat_price_index_lag12,0.0033132597,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0049009584,pastoral,0
sorghum_price_etb_lag1,0.012775566,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.004427911,pastoral,0
sorghum_price_etb_lag12,0.0048299613,pastoral,0
sorghum_price_index,0.013074151,pastoral,0
sorghum_price_index_lag1,0.0086716255,pastoral,0
sorghum_price_index_lag3,0.0100338645,pastoral,0
sorghum_price_index_lag6,0.0,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
livestock_sheep_price_etb_lag1,0.0,pastoral,0
livestock_sheep_price_etb_lag3,0.0,pastoral,0
livestock_sheep_price_etb_lag6,0.0,pastoral,0
livestock_sheep_price_etb_lag12,0.0,pastoral,0
livestock_sheep_price_index,0.0,pastoral,0
livestock_sheep_price_index_lag1,0.0,pastoral,0
livestock_sheep_price_index_lag3,0.0,pastoral,0
livestock_sheep_price_index_lag6,0.0,pastoral,0
livestock_sheep_price_index_lag12,0.0,pastoral,0
livestock_sheep_n_markets,0.0,pastoral,0
goat_maize_tot,0.0,pastoral,0
goat_maize_tot_lag1,0.0,pastoral,0
goat_maize_tot_lag3,0.0,pastoral,0
goat_maize_tot_lag6,0.0,pastoral,0
goat_maize_tot_lag12,0.0,pastoral,0
sheep_maize_tot,0.0,pastoral,0
sheep_maize_tot_lag1,0.0,pastoral,0
sheep_maize_tot_lag3,0.0,pastoral,0
sheep_maize_tot_lag6,0.0,pastoral,0
sheep_maize_tot_lag12,0.0,pastoral,0
maize_yield,0.0011554308,pastoral,0
maize_yield_anomaly,0.0049368604,pastoral,0
wheat_yield,0.0039957683,pastoral,0
wheat_yield_anomaly,0.0,pastoral,0
sorghum_yield,0.004245006,pastoral,0
sorghum_yield_anomaly,0.004074146,pastoral,0
teff_yield,0.017892761,pastoral,0
teff_yield_anomaly,0.0059006973,pastoral,0
headline_cpi,0.0143914055,pastoral,0
headline_cpi_lag1,0.013771829,pastoral,0
headline_cpi_lag3,0.006016597,pastoral,0
headline_cpi_lag6,0.010583668,pastoral,0
headline_cpi_lag12,0.009640663,pastoral,0
headline_cpi_yoy_change,0.020407697,pastoral,0
headline_cpi_yoy_change_lag1,0.01647605,pastoral,0
