feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0036244995,pastoral,0
pct_agropastoral,0.0017357824,pastoral,0
pct_crop_farming,0.004691324,pastoral,0
is_harvest_season,0.0,pastoral,0
is_lean_season,0.0032520995,pastoral,0
is_dry_season,0.0009066444,pastoral,0
months_since_harvest_start,0.010599685,pastoral,0
months_since_lean_start,0.012851604,pastoral,0
glofas_reach_count,0.00020541354,pastoral,0
agss_surveyed_flag,0.005597735,pastoral,0
ipc_lag1,0.11537219,pastoral,0
ipc_lag4,0.01999754,pastoral,0
ipc_lag8,0.0048213773,pastoral,0
ipc_mean12,0.009329706,pastoral,0
ha_share_lag1,0.009297404,pastoral,0
ha_share_lag4,0.0049076364,pastoral,0
ha_share_lag8,0.004806998,pastoral,0
ha_share_mean12,0.0042657563,pastoral,0
total_rainfall_mm,0.0026402394,pastoral,0
wet_days,0.0021334277,pastoral,0
max_dry_spell_length,0.002125052,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0034854298,pastoral,0
rainfall_sum_6m,0.0010230767,pastoral,0
rainfall_sum_12m,0.046347946,pastoral,0
rainfall_sum_24m,0.012184634,pastoral,0
spi_1,0.0046607465,pastoral,0
spi_3,0.0038993517,pastoral,0
spi_6,0.013374359,pastoral,0
spi_12,0.016963419,pastoral,0
spi_24,0.00816029,pastoral,0
pet_mm,0.002482174,pastoral,0
sm_root,0.014414936,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.004920161,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.0065496424,pastoral,0
spei_balance_sum_3m,0.00057916093,pastoral,0
sm_mean_6m,0.005788667,pastoral,0
spei_balance_sum_6m,0.0027069708,pastoral,0
sm_mean_12m,0.021170355,pastoral,0
spei_balance_sum_12m,0.010673575,pastoral,0
sm_mean_24m,0.00761577,pastoral,0
spei_balance_sum_24m,0.010052621,pastoral,0
ssmi_1,0.0049552945,pastoral,0
ssmi_3,0.0037000224,pastoral,0
ssmi_6,0.0031809264,pastoral,0
ssmi_12,0.005952588,pastoral,0
ssmi_24,0.006805975,pastoral,0
spei_1,0.0029250532,pastoral,0
spei_3,0.0054623676,pastoral,0
spei_6,0.0021246236,pastoral,0
spei_12,0.020547401,pastoral,0
spei_24,0.0033845524,pastoral,0
ndvi,0.0063369432,pastoral,0
ndvi_anomaly,0.0009943778,pastoral,0
ndvi_lag1,0.003970918,pastoral,0
ndvi_lag3,0.0024783218,pastoral,0
ndvi_lag6,0.0033607543,pastoral,0
ndvi_lag12,0.0063148057,pastoral,0
ndvi_anomaly_lag1,0.008449403,pastoral,0
ndvi_anomaly_lag3,0.005712098,pastoral,0
ndvi_anomaly_lag6,0.0075168097,pastoral,0
ndvi_anomaly_lag12,0.00594962,pastoral,0
ndvi_cropland,0.00276644,pastoral,0
ndvi_cropland_anomaly,0.0016083142,pastoral,0
ndvi_cropland_lag1,0.0071017426,pastoral,0
ndvi_cropland_lag3,0.0052251928,pastoral,0
ndvi_cropland_lag6,0.007140219,pastoral,0
ndvi_cropland_lag12,0.0012255165,pastoral,0
ndvi_cropland_anomaly_lag1,0.0016238673,pastoral,0
ndvi_cropland_anomaly_lag3,0.0026915714,pastoral,0
ndvi_cropland_anomaly_lag6,0.0041521084,pastoral,0
ndvi_cropland_anomaly_lag12,0.0033369774,pastoral,0
ndvi_rangeland,0.0,pastoral,0
ndvi_rangeland_anomaly,0.0052842447,pastoral,0
ndvi_rangeland_lag1,0.0070401346,pastoral,0
ndvi_rangeland_lag3,0.0,pastoral,0
ndvi_rangeland_lag6,0.0037042177,pastoral,0
ndvi_rangeland_lag12,0.0022876943,pastoral,0
ndvi_rangeland_anomaly_lag1,0.0069255554,pastoral,0
ndvi_rangeland_anomaly_lag3,0.00317287,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0050741006,pastoral,0
ndvi_rangeland_anomaly_lag12,0.0075746574,pastoral,0
maize_price_etb,0.0033347467,pastoral,0
maize_price_etb_lag1,0.003567329,pastoral,0
maize_price_etb_lag3,0.0,pastoral,0
maize_price_etb_lag6,0.0028259957,pastoral,0
maize_price_etb_lag12,0.0070969956,pastoral,0
maize_price_index,0.0,pastoral,0
maize_price_index_lag1,0.0,pastoral,0
maize_price_index_lag3,0.0017594672,pastoral,0
maize_price_index_lag6,0.0036811135,pastoral,0
maize_price_index_lag12,0.0,pastoral,0
maize_n_markets,0.0,pastoral,0
wheat_price_etb,0.0012750993,pastoral,0
wheat_price_etb_lag1,0.0,pastoral,0
wheat_price_etb_lag3,0.0006240627,pastoral,0
wheat_price_etb_lag6,0.0,pastoral,0
wheat_price_etb_lag12,0.0014127699,pastoral,0
wheat_price_index,0.0,pastoral,0
wheat_price_index_lag1,0.0,pastoral,0
wheat_price_index_lag3,0.0016775888,pastoral,0
wheat_price_index_lag6,0.0019880445,pastoral,0
wheat_price_index_lag12,0.004195832,pastoral,0
wheat_n_markets,0.0,pastoral,0
sorghum_price_etb,0.0027906448,pastoral,0
sorghum_price_etb_lag1,0.0,pastoral,0
sorghum_price_etb_lag3,0.0,pastoral,0
sorghum_price_etb_lag6,0.0,pastoral,0
sorghum_price_etb_lag12,0.0029931006,pastoral,0
sorghum_price_index,0.0020369266,pastoral,0
sorghum_price_index_lag1,0.0017203175,pastoral,0
sorghum_price_index_lag3,0.0,pastoral,0
sorghum_price_index_lag6,0.0,pastoral,0
sorghum_price_index_lag12,0.0,pastoral,0
sorghum_n_markets,0.0,pastoral,0
teff_price_etb,0.0,pastoral,0
teff_price_etb_lag1,0.0,pastoral,0
teff_price_etb_lag3,0.0,pastoral,0
teff_price_etb_lag6,0.0,pastoral,0
teff_price_etb_lag12,0.0,pastoral,0
teff_price_index,0.0,pastoral,0
teff_price_index_lag1,0.0,pastoral,0
teff_price_index_lag3,0.0,pastoral,0
teff_price_index_lag6,0.0,pastoral,0
teff_price_index_lag12,0.0,pastoral,0
teff_n_markets,0.0,pastoral,0
fuel_diesel_price_etb,0.0,pastoral,0
fuel_diesel_price_etb_lag1,0.0,pastoral,0
fuel_diesel_price_etb_lag3,0.0,pastoral,0
fuel_diesel_price_etb_lag6,0.0,pastoral,0
fuel_diesel_price_etb_lag12,0.0,pastoral,0
fuel_diesel_price_index,0.0,pastoral,0
fuel_diesel_price_index_lag1,0.0,pastoral,0
fuel_diesel_price_index_lag3,0.0,pastoral,0
fuel_diesel_price_index_lag6,0.0,pastoral,0
fuel_diesel_price_index_lag12,0.0,pastoral,0
fuel_diesel_n_markets,0.0,pastoral,0
fuel_petrol_n_markets,0.0,pastoral,0
livestock_goat_price_etb,0.0,pastoral,0
livestock_goat_price_etb_lag1,0.0,pastoral,0
livestock_goat_price_etb_lag3,0.0,pastoral,0
livestock_goat_price_etb_lag6,0.0,pastoral,0
livestock_goat_price_etb_lag12,0.0,pastoral,0
livestock_goat_price_index,0.0,pastoral,0
livestock_goat_price_index_lag1,0.0,pastoral,0
livestock_goat_price_index_lag3,0.0,pastoral,0
livestock_goat_price_index_lag6,0.0,pastoral,0
livestock_goat_price_index_lag12,0.0,pastoral,0
livestock_goat_n_markets,0.0,pastoral,0
livestock_sheep_price_etb,0.0,pastoral,0
livestock_sheep_price_etb_lag1,0.0,pastoral,0
livestock_sheep_price_etb_lag3,0.0,pastoral,0
livestock_sheep_price_etb_lag6,0.0,pastoral,0
livestock_sheep_price_etb_lag12,0.0,pastoral,0
livestock_sheep_price_index,0.0,pastoral,0
livestock_sheep_price_index_lag1,0.0,pastoral,0
livestock_sheep_price_index_lag3,0.0,pastoral,0
livestock_sheep_price_index_lag6,0.0,pastoral,0
