feature,importance,lhz,lead
months_since_assessment,0.0,pastoral,0
pct_pastoral,0.0038842207,pastoral,0
pct_agropastoral,0.001239743,pastoral,0
pct_crop_farming,0.0050111124,pastoral,0
is_harvest_season,0.00085340976,pastoral,0
is_lean_season,0.0053018993,pastoral,0
is_dry_season,0.00053853844,pastoral,0
months_since_harvest_start,0.015008754,pastoral,0
months_since_lean_start,0.018704994,pastoral,0
glofas_reach_count,0.0011292099,pastoral,0
agss_surveyed_flag,0.00408778,pastoral,0
ipc_lag1,0.14457642,pastoral,0
ipc_lag4,0.02582347,pastoral,0
ipc_lag8,0.006201864,pastoral,0
ipc_mean12,0.010039198,pastoral,0
ha_share_lag1,0.011729203,pastoral,0
ha_share_lag4,0.0069698254,pastoral,0
ha_share_lag8,0.0027781688,pastoral,0
ha_share_mean12,0.0035581642,pastoral,0
total_rainfall_mm,0.002673553,pastoral,0
wet_days,0.0015869829,pastoral,0
max_dry_spell_length,0.002045409,pastoral,0
rainfall_sum_1m,0.0,pastoral,0
rainfall_sum_3m,0.0035608157,pastoral,0
rainfall_sum_6m,0.0033465852,pastoral,0
rainfall_sum_12m,0.055133246,pastoral,0
rainfall_sum_24m,0.014701956,pastoral,0
spi_1,0.006455833,pastoral,0
spi_3,0.0055724774,pastoral,0
spi_6,0.018909078,pastoral,0
spi_12,0.019192934,pastoral,0
spi_24,0.009569958,pastoral,0
pet_mm,0.0028960535,pastoral,0
sm_root,0.012712342,pastoral,0
precip_mm,0.0,pastoral,0
spei_balance_mm,0.00440104,pastoral,0
sm_mean_1m,0.0,pastoral,0
spei_balance_sum_1m,0.0,pastoral,0
sm_mean_3m,0.008170569,pastoral,0
spei_balance_sum_3m,0.00076261983,pastoral,0
sm_mean_6m,0.008441901,pastoral,0
spei_balance_sum_6m,0.0031621454,pastoral,0
sm_mean_12m,0.02603118,pastoral,0
spei_balance_sum_12m,0.012353717,pastoral,0
sm_mean_24m,0.0064133327,pastoral,0
spei_balance_sum_24m,0.011502871,pastoral,0
ssmi_1,0.0025832586,pastoral,0
ssmi_3,0.004669902,pastoral,0
ssmi_6,0.00394016,pastoral,0
ssmi_12,0.006803809,pastoral,0
ssmi_24,0.0070008975,pastoral,0
spei_1,0.0038894587,pastoral,0
spei_3,0.0065042865,pastoral,0
spei_6,0.0071814405,pastoral,0
spei_12,0.019596577,pastoral,0
spei_24,0.0053431196,pastoral,0
ndvi,0.008786646,pastoral,0
ndvi_anomaly,0.006468044,pastoral,0
ndvi_lag1,0.005229924,pastoral,0
ndvi_lag3,0.00056072185,pastoral,0
ndvi_lag6,0.005520492,pastoral,0
ndvi_lag12,0.0038049018,pastoral,0
ndvi_anomaly_lag1,0.013145957,pastoral,0
ndvi_anomaly_lag3,0.0051134955,pastoral,0
ndvi_anomaly_lag6,0.012302536,pastoral,0
ndvi_anomaly_lag12,0.0055291965,pastoral,0
ndvi_cropland,0.004051321,pastoral,0
ndvi_cropland_anomaly,0.0035303268,pastoral,0
ndvi_cropland_lag1,0.009520423,pastoral,0
ndvi_cropland_lag3,0.0074442658,pastoral,0
ndvi_cropland_lag6,0.008616884,pastoral,0
ndvi_cropland_lag12,0.0029008873,pastoral,0
ndvi_cropland_anomaly_lag1,0.0054398905,pastoral,0
ndvi_cropland_anomaly_lag3,0.0033227832,pastoral,0
ndvi_cropland_anomaly_lag6,0.0067911856,pastoral,0
ndvi_cropland_anomaly_lag12,0.004857144,pastoral,0
ndvi_rangeland,0.0015052244,pastoral,0
ndvi_rangeland_anomaly,0.0,pastoral,0
ndvi_rangeland_lag1,0.008754856,pastoral,0
ndvi_rangeland_lag3,0.0045544314,pastoral,0
ndvi_rangeland_lag6,0.008976463,pastoral,0
ndvi_rangeland_lag12,0.0025711749,pastoral,0
ndvi_rangeland_anomaly_lag1,0.007109192,pastoral,0
ndvi_rangeland_anomaly_lag3,0.0027886475,pastoral,0
ndvi_rangeland_anomaly_lag6,0.0049141883,pastoral,0
ndvi_rangeland_anomaly_lag12,0.0124719255,pastoral,0
acled_event_count,0.0,pastoral,0
acled_fatalities,0.0057890015,pastoral,0
acled_event_count_political_violence,0.0,pastoral,0
acled_fatalities_political_violence,0.0034132376,pastoral,0
acled_event_count_demonstrations,0.0,pastoral,0
acled_fatalities_demonstrations,0.0,pastoral,0
acled_event_count_strategic_developments,0.0,pastoral,0
acled_fatalities_strategic_developments,0.0,pastoral,0
acled_event_count_lag1,0.0043928907,pastoral,0
acled_fatalities_lag1,0.0032891885,pastoral,0
acled_event_count_political_violence_lag1,0.0,pastoral,0
acled_fatalities_political_violence_lag1,0.0,pastoral,0
acled_event_count_demonstrations_lag1,0.0025419549,pastoral,0
acled_fatalities_demonstrations_lag1,0.0,pastoral,0
acled_event_count_strategic_developments_lag1,0.0,pastoral,0
acled_fatalities_strategic_developments_lag1,0.0,pastoral,0
acled_event_count_lag3,0.0,pastoral,0
acled_fatalities_lag3,0.0,pastoral,0
acled_event_count_political_violence_lag3,0.0,pastoral,0
acled_fatalities_political_violence_lag3,0.0,pastoral,0
acled_event_count_demonstrations_lag3,0.0,pastoral,0
acled_fatalities_demonstrations_lag3,0.0,pastoral,0
acled_event_count_strategic_developments_lag3,0.0,pastoral,0
acled_fatalities_strategic_developments_lag3,0.0,pastoral,0
acled_event_count_lag6,0.0,pastoral,0
acled_fatalities_lag6,0.0,pastoral,0
acled_event_count_political_violence_lag6,0.0,pastoral,0
acled_fatalities_political_violence_lag6,0.0,pastoral,0
acled_event_count_demonstrations_lag6,0.0,pastoral,0
acled_fatalities_demonstrations_lag6,0.0,pastoral,0
acled_event_count_strategic_developments_lag6,0.0,pastoral,0
acled_fatalities_strategic_developments_lag6,0.0,pastoral,0
acled_event_count_lag12,0.0,pastoral,0
acled_fatalities_lag12,0.0037948468,pastoral,0
acled_event_count_political_violence_lag12,0.0,pastoral,0
acled_fatalities_political_violence_lag12,0.0,pastoral,0
acled_event_count_demonstrations_lag12,0.0,pastoral,0
acled_fatalities_demonstrations_lag12,0.0,pastoral,0
acled_event_count_strategic_developments_lag12,0.0,pastoral,0
acled_fatalities_strategic_developments_lag12,0.0,pastoral,0
maize_yield,0.0010342285,pastoral,0
maize_yield_anomaly,0.0018316106,pastoral,0
wheat_yield,0.0,pastoral,0
wheat_yield_anomaly,0.0,pastoral,0
sorghum_yield,0.0,pastoral,0
sorghum_yield_anomaly,0.0,pastoral,0
teff_yield,0.0,pastoral,0
teff_yield_anomaly,0.0099285655,pastoral,0
iod,0.009847076,pastoral,0
mei,0.024132945,pastoral,0
nino34,0.002271163,pastoral,0
iod_lag1,0.009112935,pastoral,0
iod_lag3,0.018902158,pastoral,0
iod_lag6,0.021065608,pastoral,0
mei_lag1,0.010834825,pastoral,0
mei_lag3,0.0032469195,pastoral,0
mei_lag6,0.015052803,pastoral,0
nino34_lag1,0.016385261,pastoral,0
nino34_lag3,0.009295399,pastoral,0
nino34_lag6,0.0077461554,pastoral,0
wvg,0.004329242,pastoral,0
wvg_lag1yr,0.011528316,pastoral,0
wvg_lag2yr,0.009222506,pastoral,0
wvg_lag3yr,0.00426654,pastoral,0
total_refugees_hosted,0.011663484,pastoral,0
total_refugees_hosted_yoy_change,0.0,pastoral,0
total_asylum_seekers_hosted,0.014937247,pastoral,0
total_asylum_seekers_hosted_yoy_change,0.0,pastoral,0
idps_ethiopia,0.009015206,pastoral,0
idps_ethiopia_yoy_change,0.0,pastoral,0
season_national_belg_meher,0.0,pastoral,0
season_somali_gu_deyr,0.0,pastoral,0
months_since_assessment,0.0,agropastoral,0
pct_pastoral,0.0023647605,agropastoral,0
pct_agropastoral,0.0018446803,agropastoral,0
pct_crop_farming,0.0,agropastoral,0
is_harvest_season,0.00027239436,agropastoral,0
is_lean_season,4.4876742e-05,agropastoral,0
is_dry_season,0.0009781538,agropastoral,0
months_since_harvest_start,6.691633e-05,agropastoral,0
months_since_lean_start,0.005095615,agropastoral,0
glofas_reach_count,0.0148336785,agropastoral,0
agss_surveyed_flag,0.0,agropastoral,0
ipc_lag1,0.13299161,agropastoral,0
ipc_lag4,0.0065267035,agropastoral,0
ipc_lag8,0.006788633,agropastoral,0
ipc_mean12,0.013052611,agropastoral,0
ha_share_lag1,0.004149819,agropastoral,0
ha_share_lag4,0.028425246,agropastoral,0
ha_share_lag8,0.0037001001,agropastoral,0
ha_share_mean12,0.008614968,agropastoral,0
total_rainfall_mm,0.0006668728,agropastoral,0
wet_days,0.0024922772,agropastoral,0
max_dry_spell_length,0.0065469723,agropastoral,0
rainfall_sum_1m,0.0,agropastoral,0
rainfall_sum_3m,0.0010815974,agropastoral,0
rainfall_sum_6m,0.0022215121,agropastoral,0
rainfall_sum_12m,0.022406671,agropastoral,0
rainfall_sum_24m,0.003091886,agropastoral,0
spi_1,0.001084572,agropastoral,0
spi_3,0.006327132,agropastoral,0
spi_6,0.0128924735,agropastoral,0
spi_12,0.009817685,agropastoral,0
spi_24,0.005962616,agropastoral,0
pet_mm,0.0027720472,agropastoral,0
sm_root,0.014178857,agropastoral,0
precip_mm,0.0,agropastoral,0
spei_balance_mm,0.0019284328,agropastoral,0
sm_mean_1m,0.0,agropastoral,0
spei_balance_sum_1m,0.0,agropastoral,0
sm_mean_3m,0.012097593,agropastoral,0
spei_balance_sum_3m,0.005457418,agropastoral,0
sm_mean_6m,0.002307489,agropastoral,0
spei_balance_sum_6m,0.008680499,agropastoral,0
sm_mean_12m,0.077432945,agropastoral,0
spei_balance_sum_12m,0.033074055,agropastoral,0
sm_mean_24m,0.001778421,agropastoral,0
spei_balance_sum_24m,0.0040317834,agropastoral,0
ssmi_1,0.013073168,agropastoral,0
ssmi_3,0.0076981355,agropastoral,0
ssmi_6,0.01381788,agropastoral,0
ssmi_12,0.013160658,agropastoral,0
ssmi_24,0.0034477415,agropastoral,0
spei_1,0.0028464126,agropastoral,0
spei_3,0.0054483376,agropastoral,0
spei_6,0.0035812769,agropastoral,0
spei_12,0.030851476,agropastoral,0
spei_24,0.007080239,agropastoral,0
ndvi,0.008499332,agropastoral,0
ndvi_anomaly,0.0034041028,agropastoral,0
ndvi_lag1,0.0033400804,agropastoral,0
ndvi_lag3,0.0013299143,agropastoral,0
ndvi_lag6,0.008390107,agropastoral,0
ndvi_lag12,0.0016590533,agropastoral,0
ndvi_anomaly_lag1,0.0033518109,agropastoral,0
ndvi_anomaly_lag3,0.011493757,agropastoral,0
ndvi_anomaly_lag6,0.0025659183,agropastoral,0
ndvi_anomaly_lag12,0.007639839,agropastoral,0
ndvi_cropland,0.0067415233,agropastoral,0
ndvi_cropland_anomaly,0.007639314,agropastoral,0
ndvi_cropland_lag1,0.007951792,agropastoral,0
ndvi_cropland_lag3,0.014265414,agropastoral,0
ndvi_cropland_lag6,0.016052749,agropastoral,0
ndvi_cropland_lag12,0.00537119,agropastoral,0
ndvi_cropland_anomaly_lag1,0.006395243,agropastoral,0
ndvi_cropland_anomaly_lag3,0.023205647,agropastoral,0
ndvi_cropland_anomaly_lag6,0.0046563153,agropastoral,0
ndvi_cropland_anomaly_lag12,0.0032466291,agropastoral,0
ndvi_rangeland,0.008632724,agropastoral,0
ndvi_rangeland_anomaly,0.0018406946,agropastoral,0
ndvi_rangeland_lag1,0.002958482,agropastoral,0
ndvi_rangeland_lag3,0.001336542,agropastoral,0
ndvi_rangeland_lag6,0.018168436,agropastoral,0
ndvi_rangeland_lag12,0.005163565,agropastoral,0
ndvi_rangeland_anomaly_lag1,0.0031613545,agropastoral,0
ndvi_rangeland_anomaly_lag3,0.0028859961,agropastoral,0
ndvi_rangeland_anomaly_lag6,0.0015254577,agropastoral,0
ndvi_rangeland_anomaly_lag12,0.011285204,agropastoral,0
acled_event_count,0.0,agropastoral,0
acled_fatalities,0.0021453933,agropastoral,0
acled_event_count_political_violence,0.0,agropastoral,0
acled_fatalities_political_violence,0.022397866,agropastoral,0
acled_event_count_demonstrations,0.0,agropastoral,0
acled_fatalities_demonstrations,0.0,agropastoral,0
acled_event_count_strategic_developments,0.0,agropastoral,0
acled_fatalities_strategic_developments,0.0,agropastoral,0
acled_event_count_lag1,0.0,agropastoral,0
acled_fatalities_lag1,0.0049915,agropastoral,0
acled_event_count_political_violence_lag1,0.0,agropastoral,0
acled_fatalities_political_violence_lag1,0.006488097,agropastoral,0
acled_event_count_demonstrations_lag1,0.0,agropastoral,0
acled_fatalities_demonstrations_lag1,0.0,agropastoral,0
acled_event_count_strategic_developments_lag1,0.0,agropastoral,0
acled_fatalities_strategic_developments_lag1,0.0,agropastoral,0
acled_event_count_lag3,0.0,agropastoral,0
acled_fatalities_lag3,0.0,agropastoral,0
acled_event_count_political_violence_lag3,0.0,agropastoral,0
acled_fatalities_political_violence_lag3,0.0,agropastoral,0
acled_event_count_demonstrations_lag3,0.0,agropastoral,0
acled_fatalities_demonstrations_lag3,0.0,agropastoral,0
acled_event_count_strategic_developments_lag3,0.0,agropastoral,0
acled_fatalities_strategic_developments_lag3,0.0,agropastoral,0
acled_event_count_lag6,0.0013910927,agropastoral,0
acled_fatalities_lag6,0.0,agropastoral,0
acled_event_count_political_violence_lag6,0.0015562015,agropastoral,0
acled_fatalities_political_violence_lag6,0.004086852,agropastoral,0
acled_event_count_demonstrations_lag6,0.0,agropastoral,0
acled_fatalities_demonstrations_lag6,0.0,agropastoral,0
acled_event_count_strategic_developments_lag6,0.0,agropastoral,0
acled_fatalities_strategic_developments_lag6,0.0,agropastoral,0
acled_event_count_lag12,0.0,agropastoral,0
acled_fatalities_lag12,0.0,agropastoral,0
acled_event_count_political_violence_lag12,0.0033512462,agropastoral,0
acled_fatalities_political_violence_lag12,0.0,agropastoral,0
acled_event_count_demonstrations_lag12,0.0,agropastoral,0
acled_fatalities_demonstrations_lag12,0.0,agropastoral,0
acled_event_count_strategic_developments_lag12,0.0,agropastoral,0
acled_fatalities_strategic_developments_lag12,0.0,agropastoral,0
maize_yield,0.03442272,agropastoral,0
maize_yield_anomaly,0.0029201373,agropastoral,0
wheat_yield,0.0054424996,agropastoral,0
wheat_yield_anomaly,0.011390639,agropastoral,0
sorghum_yield,0.004767339,agropastoral,0
sorghum_yield_anomaly,0.007889999,agropastoral,0
teff_yield,0.0,agropastoral,0
teff_yield_anomaly,0.0,agropastoral,0
iod,0.0023496726,agropastoral,0
mei,0.00083391636,agropastoral,0
nino34,0.005747876,agropastoral,0
iod_lag1,0.004188494,agropastoral,0
iod_lag3,0.0219286,agropastoral,0
iod_lag6,0.0014877586,agropastoral,0
mei_lag1,0.0,agropastoral,0
mei_lag3,0.0058557815,agropastoral,0
mei_lag6,0.001243304,agropastoral,0
nino34_lag1,0.035037313,agropastoral,0
nino34_lag3,0.0,agropastoral,0
nino34_lag6,0.0,agropastoral,0
wvg,0.0,agropastoral,0
wvg_lag1yr,0.019955574,agropastoral,0
wvg_lag2yr,0.0,agropastoral,0
wvg_lag3yr,0.0019086516,agropastoral,0
total_refugees_hosted,0.006231073,agropastoral,0
total_refugees_hosted_yoy_change,0.0,agropastoral,0
total_asylum_seekers_hosted,0.0,agropastoral,0
total_asylum_seekers_hosted_yoy_change,0.006744373,agropastoral,0
idps_ethiopia,0.0,agropastoral,0
idps_ethiopia_yoy_change,0.0,agropastoral,0
season_national_belg_meher,0.0,agropastoral,0
season_somali_gu_deyr,0.0,agropastoral,0
months_since_assessment,0.0,crop_farming,0
pct_pastoral,0.0003946207,crop_farming,0
pct_agropastoral,0.00060718204,crop_farming,0
pct_crop_farming,0.00046112284,crop_farming,0
is_harvest_season,0.0007106733,crop_farming,0
is_lean_season,0.0041070865,crop_farming,0
is_dry_season,0.005238694,crop_farming,0
months_since_harvest_start,0.004642844,crop_farming,0
months_since_lean_start,0.024189102,crop_farming,0
glofas_reach_count,0.0057413294,crop_farming,0
agss_surveyed_flag,0.0,crop_farming,0
ipc_lag1,0.13254206,crop_farming,0
ipc_lag4,0.0068147504,crop_farming,0
ipc_lag8,0.0058876257,crop_farming,0
ipc_mean12,0.043435205,crop_farming,0
ha_share_lag1,0.008818308,crop_farming,0
ha_share_lag4,0.008900571,crop_farming,0
ha_share_lag8,0.005648097,crop_farming,0
ha_share_mean12,0.021131339,crop_farming,0
total_rainfall_mm,0.0031647931,crop_farming,0
wet_days,0.0022716073,crop_farming,0
max_dry_spell_length,0.0027808098,crop_farming,0
rainfall_sum_1m,0.0,crop_farming,0
rainfall_sum_3m,0.006810951,crop_farming,0
rainfall_sum_6m,0.0043556835,crop_farming,0
rainfall_sum_12m,0.012347695,crop_farming,0
rainfall_sum_24m,0.0070282975,crop_farming,0
spi_1,0.008291273,crop_farming,0
spi_3,0.0039756102,crop_farming,0
spi_6,0.007685832,crop_farming,0
spi_12,0.028488543,crop_farming,0
spi_24,0.0064753904,crop_farming,0
pet_mm,0.0013758058,crop_farming,0
sm_root,0.0034644762,crop_farming,0
precip_mm,0.0,crop_farming,0
spei_balance_mm,0.0011838072,crop_farming,0
sm_mean_1m,0.0,crop_farming,0
spei_balance_sum_1m,0.0,crop_farming,0
sm_mean_3m,0.013067017,crop_farming,0
spei_balance_sum_3m,0.0066699474,crop_farming,0
sm_mean_6m,0.01524865,crop_farming,0
spei_balance_sum_6m,0.016276887,crop_farming,0
sm_mean_12m,0.0012129551,crop_farming,0
spei_balance_sum_12m,0.0022250637,crop_farming,0
sm_mean_24m,0.0022618542,crop_farming,0
spei_balance_sum_24m,0.0019221276,crop_farming,0
ssmi_1,0.01915707,crop_farming,0
ssmi_3,0.009468198,crop_farming,0
ssmi_6,0.017332356,crop_farming,0
ssmi_12,0.0041328548,crop_farming,0
ssmi_24,0.0022050263,crop_farming,0
spei_1,0.0035564005,crop_farming,0
spei_3,0.0015329317,crop_farming,0
spei_6,0.0019312182,crop_farming,0
spei_12,0.01919607,crop_farming,0
spei_24,0.002938713,crop_farming,0
ndvi,0.0028555181,crop_farming,0
ndvi_anomaly,0.004013712,crop_farming,0
ndvi_lag1,0.0040589203,crop_farming,0
ndvi_lag3,0.01140141,crop_farming,0
ndvi_lag6,0.0023072879,crop_farming,0
ndvi_lag12,0.0028152734,crop_farming,0
ndvi_anomaly_lag1,0.013285431,crop_farming,0
ndvi_anomaly_lag3,0.0046075396,crop_farming,0
ndvi_anomaly_lag6,0.004770594,crop_farming,0
ndvi_anomaly_lag12,0.0032385194,crop_farming,0
ndvi_cropland,0.0035619042,crop_farming,0
ndvi_cropland_anomaly,0.010616272,crop_farming,0
ndvi_cropland_lag1,0.021846754,crop_farming,0
ndvi_cropland_lag3,0.014412522,crop_farming,0
ndvi_cropland_lag6,0.008095416,crop_farming,0
ndvi_cropland_lag12,0.003938783,crop_farming,0
ndvi_cropland_anomaly_lag1,0.012227617,crop_farming,0
ndvi_cropland_anomaly_lag3,0.0031791567,crop_farming,0
ndvi_cropland_anomaly_lag6,0.0044687903,crop_farming,0
ndvi_cropland_anomaly_lag12,0.004090916,crop_farming,0
ndvi_rangeland,0.003978023,crop_farming,0
ndvi_rangeland_anomaly,0.0070806956,crop_farming,0
ndvi_rangeland_lag1,0.015333874,crop_farming,0
ndvi_rangeland_lag3,0.028389204,crop_farming,0
ndvi_rangeland_lag6,0.0031677308,crop_farming,0
ndvi_rangeland_lag12,0.0034167613,crop_farming,0
ndvi_rangeland_anomaly_lag1,0.006495491,crop_farming,0
ndvi_rangeland_anomaly_lag3,0.0054907687,crop_farming,0
ndvi_rangeland_anomaly_lag6,0.0032297885,crop_farming,0
ndvi_rangeland_anomaly_lag12,0.002877304,crop_farming,0
acled_event_count,0.002180829,crop_farming,0
acled_fatalities,0.0019363523,crop_farming,0
acled_event_count_political_violence,0.0,crop_farming,0
acled_fatalities_political_violence,0.0,crop_farming,0
acled_event_count_demonstrations,0.0,crop_farming,0
acled_fatalities_demonstrations,0.0,crop_farming,0
acled_event_count_strategic_developments,0.0,crop_farming,0
acled_fatalities_strategic_developments,0.0,crop_farming,0
acled_event_count_lag1,0.0,crop_farming,0
acled_fatalities_lag1,0.002010648,crop_farming,0
acled_event_count_political_violence_lag1,0.0,crop_farming,0
acled_fatalities_political_violence_lag1,0.0,crop_farming,0
acled_event_count_demonstrations_lag1,0.0014354836,crop_farming,0
acled_fatalities_demonstrations_lag1,0.0,crop_farming,0
acled_event_count_strategic_developments_lag1,0.0,crop_farming,0
acled_fatalities_strategic_developments_lag1,0.0,crop_farming,0
acled_event_count_lag3,0.0035232033,crop_farming,0
acled_fatalities_lag3,0.0,crop_farming,0
acled_event_count_political_violence_lag3,0.0,crop_farming,0
acled_fatalities_political_violence_lag3,0.0,crop_farming,0
acled_event_count_demonstrations_lag3,0.0024791465,crop_farming,0
acled_fatalities_demonstrations_lag3,0.0,crop_farming,0
acled_event_count_strategic_developments_lag3,0.0,crop_farming,0
acled_fatalities_strategic_developments_lag3,0.0,crop_farming,0
acled_event_count_lag6,0.0,crop_farming,0
acled_fatalities_lag6,0.0,crop_farming,0
acled_event_count_political_violence_lag6,0.0,crop_farming,0
acled_fatalities_political_violence_lag6,0.0,crop_farming,0
acled_event_count_demonstrations_lag6,0.0,crop_farming,0
acled_fatalities_demonstrations_lag6,0.0,crop_farming,0
acled_event_count_strategic_developments_lag6,0.0,crop_farming,0
acled_fatalities_strategic_developments_lag6,0.0,crop_farming,0
acled_event_count_lag12,0.0,crop_farming,0
acled_fatalities_lag12,0.0,crop_farming,0
acled_event_count_political_violence_lag12,0.0,crop_farming,0
acled_fatalities_political_violence_lag12,0.0,crop_farming,0
acled_event_count_demonstrations_lag12,0.0,crop_farming,0
acled_fatalities_demonstrations_lag12,0.0,crop_farming,0
acled_event_count_strategic_developments_lag12,0.0,crop_farming,0
acled_fatalities_strategic_developments_lag12,0.0,crop_farming,0
maize_yield,0.0027113406,crop_farming,0
maize_yield_anomaly,0.004122415,crop_farming,0
wheat_yield,0.003422671,crop_farming,0
wheat_yield_anomaly,0.0037999453,crop_farming,0
sorghum_yield,0.0028006122,crop_farming,0
sorghum_yield_anomaly,0.005170939,crop_farming,0
teff_yield,0.0043654307,crop_farming,0
teff_yield_anomaly,0.004162687,crop_farming,0
iod,0.0056030205,crop_farming,0
mei,0.0055423225,crop_farming,0
nino34,0.009677833,crop_farming,0
iod_lag1,0.008090608,crop_farming,0
iod_lag3,0.023271948,crop_farming,0
iod_lag6,0.014709731,crop_farming,0
mei_lag1,0.011020677,crop_farming,0
mei_lag3,0.0066332454,crop_farming,0
mei_lag6,0.011716652,crop_farming,0
nino34_lag1,0.0042585917,crop_farming,0
nino34_lag3,0.016659698,crop_farming,0
nino34_lag6,0.008304019,crop_farming,0
wvg,0.01478177,crop_farming,0
wvg_lag1yr,0.005273777,crop_farming,0
wvg_lag2yr,0.02496822,crop_farming,0
wvg_lag3yr,0.007420177,crop_farming,0
total_refugees_hosted,0.0042374954,crop_farming,0
total_refugees_hosted_yoy_change,0.013718774,crop_farming,0
total_asylum_seekers_hosted,0.016682623,crop_farming,0
total_asylum_seekers_hosted_yoy_change,0.0047485526,crop_farming,0
idps_ethiopia,0.0,crop_farming,0
idps_ethiopia_yoy_change,0.0,crop_farming,0
season_benishangul_meher_only,0.0,crop_farming,0
season_national_belg_meher,0.0,crop_farming,0
months_since_assessment,0.0,pastoral,1
pct_pastoral,0.008706442,pastoral,1
pct_agropastoral,0.0015643953,pastoral,1
pct_crop_farming,0.0034250657,pastoral,1
is_harvest_season,0.00045811787,pastoral,1
is_lean_season,0.00090089784,pastoral,1
is_dry_season,0.0,pastoral,1
months_since_harvest_start,0.007705568,pastoral,1
months_since_lean_start,0.017638754,pastoral,1
glofas_reach_count,0.00055492285,pastoral,1
agss_surveyed_flag,0.0050140135,pastoral,1
ipc_lag1,0.12009055,pastoral,1
ipc_lag4,0.011487363,pastoral,1
ipc_lag8,0.008832192,pastoral,1
ipc_mean12,0.012053022,pastoral,1
ha_share_lag1,0.008628007,pastoral,1
ha_share_lag4,0.0062654684,pastoral,1
ha_share_lag8,0.006889781,pastoral,1
ha_share_mean12,0.0059795612,pastoral,1
total_rainfall_mm,0.0019592927,pastoral,1
wet_days,0.004275508,pastoral,1
max_dry_spell_length,0.0075207585,pastoral,1
rainfall_sum_1m,0.0,pastoral,1
rainfall_sum_3m,0.0055259154,pastoral,1
rainfall_sum_6m,0.010239335,pastoral,1
rainfall_sum_12m,0.025797179,pastoral,1
rainfall_sum_24m,0.004103029,pastoral,1
spi_1,0.00266676,pastoral,1
